,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X002466.SZ,X601600.SH,X000792.SZ,X002460.SZ,X600795.SH,X600010.SH,X600111.SH,X000708.SZ,X601699.SH,X000301.SZ,X600426.SH,X600362.SH,X000877.SZ,X000983.SZ,X600027.SH,X600489.SH,X002271.SZ,X600803.SH,X601991.SH,X600160.SH,X000807.SZ,X600176.SH,X600985.SH,X000630.SZ,X000932.SZ,X000408.SZ,X000786.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600688.SH,X600348.SH,X000629.SZ,X000723.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.735271228048886,0.259586811946935,0,0,0,0,0,-0.0332521505847274,0,0,0,-0.145469966963501,0,0,0,0,0,0,0.0751440624705304,0,0,0,0,0,0,0,0,-0.276544745230503,0,0,-0.158824539260237,0,0,0,0,0,0,0,0.0753176955789442,0,-0.0149737490602001,0,0,0,0,0,0,0,0,0,0,0.00736559695529437,0,0,0,6.93889390390723e-18,0,0
X600028.SH,0.478767330408698,0,0.0305332770736532,0,0,0.0778019685753142,0,0.034376212550579,0,0,0.0381745819811971,0,-0.0152768049030352,0,0,0,0.137485496202717,0,0,0,0,0,0,0,0,0,0.0224176303004136,0,0,0.0304068943709237,0,0,0,0,0,0,0,0,0.112548899140623,0,0,0,0,0,0.0147635799729456,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,0.0357804230516919,0,0
X601088.SH,0.0289370286298418,0.155117170019276,0,0,0.0429054795231021,0,0.198414999621831,0,0,0,0,0.1224967946285,0,0,0,0,0,0,-0.106390161141022,0,0,0,0,0,0,0.147019325947751,0,0,0,-0.0758940577633612,0,0,0,0.040075880954989,0,0,0,0,0,0.0788011713219544,-0.107098435401882,0,0,0,0,0,0,0,0,0,0,0.00314480482861307,0.0118675694066058,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063541911127106,0,0,0,0,0,0,0.140694127712927,0,0,0,0.136177017006977,0,0,0.0719830038411794,0,0.0905698219589216,0,0,0.200695867733175,0,0.30391333392338,0,0,0,0.248325381106104,0,0,0,0,0,0,0,0,0.499749805237433,0,0.0108221173850106,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.323156542034785,0,0,0.105876823480375,0,0,0.00065124897481751,0,0,0,0,0,0,0,0.19094511337783,0,0,0,0,0.150001677576695,0,0,0,0,0,0,0,-0.0305215599950526,0.121091655206862,0,0,0,0,0,0,0.202610326766929,0,0,0,0,0,0,0,0,0,0.00825687343079856,-0.0239813181037412,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.136677042270039,0,0.00859258602993637,0,0.0392215994098713,0,0,0,0,0,0,0,0,0.0271480878450281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318343643578466,0.543952644180369,0.0916895009056901,0,0,0.181061799970197,0,0,0,0.226915862148705,0,0,0,0,0,-4.33680868994202e-19,0.0196311876146262,0,0,0,0,0,0
X601898.SH,0.0101370200768605,0,0.258691378290847,0,0.214397412306519,0.0427439664688525,0,0,0,0,0,0.0432226534892878,0.0291114335791479,0,0,0,0,0,0,0,0.00859951085402945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611594847815904,0,0,0,0,0.154013347617654,0,0,0,0,0,0,0,0,-0.00930454699485069,0,0,0,0.0202068192103548,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.207612774061822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272226343433358,0,0,0.0793902339804153,0.0510863701412353,0,0,0.0960174659884079,-0.0456616306801778,0,0,0,0,-0.0153898499794961,0.0530339967695512,-0.113004241268501,0,0,0,0,0,0,0,0,0,0,-0.0131852526904882,0.0290790971469207,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0103343474969293,0,0,0,0,-0.0368076777970347,0,0,0,0,0,-0.0472865547288208,0,0,0.155477845306555,0,0,0.14514908594858,0,0.275125703060842,0,-0.0959134645853774,-0.0137855705377554,0.0104402392328355,0,0,-8.67361737988404e-19,0.0266594867929643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054044191804866,-0.0401618801458009,0.0614472592037173,0,0,0,0,0,0
X600547.SH,0.170494686840118,0,0,0,0.0473986789236898,0,0,0,0,0,0,-0.0717701238424638,0,0,0,-0.0739357008339322,0,0,0,0,0,0,0,0,0,0,0,0.457907869455434,0.0294479157120029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520693150825276,0.0373143292003893,0,-0.055811932689428,0.00449076037823291,-0.00191964954203089,0,0,0,0.0139618634403896,0,0
X600660.SH,0.0143148305376501,0,0,0,0,0.0880588020713026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178348772272511,0,0,0,-0.0375771778109238,0,-0.0428791717056409,-0.0142231155205378,0,0,0,0,0,0.154853397428146,0,0,0,0,0,0,0,0,0,0,0,-0.075215512354382,0.00772271772994762,0.00367841339814865,0,0,0,0.0754219253598902,0,0
X600886.SH,-8.67361737988404e-19,0.0850740587873913,0.16094703718487,0,0,0,0.127745333339995,0.06508070256373,-0.121231401077985,0,0,0,0,0,0,0,0.25037547711372,0,0,0,0,0,0,0,0,0,0,0,0,0.385764416154628,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.1220178289555,0,0,0,-0.0213216942896256,0.0281009823595605,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739965622756808,0,0,0.0422898116599755,0,0,0,0,0,0,0,0,0,0,0,0,0.00989680880422238,0,0,0,0,0,0,0,0,0.0266635130887747,0,0,0,0,0,0,0.126070735860607,0,0,0.00785088919010823,0,2.71050543121376e-20,0,0,0,-0.0251953904564806,0,0
X601600.SH,0,0,0,0,0,0.17164680064105,0,0,0,0,0,0,0.0630641739332341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1124322120431,0,0,0.0758582943350833,0,0.404281073737402,0,0,0,0,0,0,0,0,0.1390278833151,0,0.132292059583633,0,0,0,0,0,0,0,0,0.00367498688454376,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0219740055951171,0,0,0,0,0,0,0.345164053779187,0,0,0,0,0,0.0376793828867409,0,0.0469173185290335,0,0,0,0,0,0,0,0.0964396582888741,0.019689688571975,0,0.0494455886533922,0,0,0,0,0,0.135450199884757,0,-0.0211243103638928,0,0,0,0,0,0,0,0,0.149830942421079,0,-0.113325289260198,0.0107745980785775,-0.0120063594413775,0,0,0,0,0,0
X002460.SZ,0,0,-0.0753358623023794,0,0,-0.0284420952077728,0,0,0,-0.134972634183947,0,0,0.830725672156141,0,0,0,0,0,0,0.135260425254417,0,0,0,0,0,0,0.135808520884966,-0.111237856963663,0,-0.086881545904021,0,0,0,0,0,0,0,0,0,0,0,-0.0206833699576618,0,0,0,0,0,0,0,0,0,0.0025215922901683,0.00150773635951382,0,0,0,0,0,0
X600795.SH,0,0.0214443413186346,0.0191089434168096,0,0,0,0,0.123515213788729,0,0,0,0.309691744157882,0,0,0,0,0,0.202955937779412,0,0,0,0,0,0,0,0,0.0652243579187439,0,-0.203351488011766,0,0.124975634658807,0,0,0,0,0,0.115343348680244,0,0,0.128973922695722,0,0.00398364701284333,0,0,0.0655977839890551,0,0,0,0,0,-0.0431305007987233,-3.3881317890172e-21,5.42101086242752e-20,0,0,0,0.0124079266660385,0,0
X600010.SH,0,0,0,0,0,0,-0.0391589631038634,0,0,0,0,0,0,0,0,0.036883538505681,0.249853454843873,0,0.554053802546788,0.0878569464771429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269501199364331,0,0,0,0,0,0,0,0,0,0,-0.0550943880115611,0.00385898614089512,0,0,0,0,0.0574137622729324,0,0
X600111.SH,0.087215382040606,0,0,0,0,0,0,0,0,0,0,0,0.226091969361895,1.73472347597681e-18,0,0,0.0910577944554101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363554110340373,0,0,0.110704833762789,0.0921657472565489,0,0,0.0580744729537441,0.186196952385296,0,0,0.000205568145126111,0.0308003531081014,0,0,0,0.0356918436432231,0,0
