,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X600801.SH,X002460.SZ,X601898.SH,X000792.SZ,X600010.SH,X600886.SH,X601600.SH,X600688.SH,X600660.SH,X000786.SZ,X600362.SH,X600188.SH,X600795.SH,X601991.SH,X600352.SH,X601992.SH,X600027.SH,X600299.SH,X600111.SH,X600489.SH,X600176.SH,X000723.SZ,X002075.SZ,X002466.SZ,X600426.SH,X000401.SZ,X000553.SZ,X600126.SH,X002353.SZ,X601158.SH,X000898.SZ,X600219.SH,X600516.SH,X600583.SH,X000932.SZ,X000883.SZ,X600486.SH,X000709.SZ,X600529.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0358646417758829,0.0163675157228868,0,0,0,0,0,0,0,0,0,0.136208876065706,0,0,0,0,0,0,0,0,0,0.0314010755599199,0,0,0,0,0.0324594693782512,0,0,0.11901474466304,0,0,0,0,0,0.283284478574581,0,0.0558360032099378,0,0,0,0,0,0,0,0.0133975244158609,-0.00853102280173049,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0181831170907371,0,0,0.0212282183945234,0,0,0,0,0,0.0181852828837522,0,0,0,0,0,0,0,0.102634770350689,0,0.179726572573698,0,0,0,0,0,0,0,0,0.0456859459991501,0,0,0,0.0471524517389344,0,0,0,0,0,0,0,0,0,0,0.0135357131779463,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.0351112025872692,0,0,0,0,0.534737770525956,0.0251703560750899,0,0,0,0,0,0,0,0.0184012905631286,0.138257719095059,0,0,0,0,0,0,0,0,0,0.09040377732555,0,-0.0534019457273785,0,0,0,0,0,0,0,0,0,0,-0.0246662489272199,0,0,0,0,0,0,-0.0247548324453152,0,0.00103796444573694,0,0,0,0,0,0
X601088.SH,0,0,0.0871115791702295,0,0,0,0,0,0.21274456464968,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0913816818622127,0,0.1198293772444,0.161551756538566,0,0,0,0,0,0,0,0,0,0,0,-0.0332856215373573,0.0496316729007459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143077257331467,0.0302954935724602,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0673189657183306,0.0168255491075751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115245827853055,0,0,0.0212031568105967,0.048812641348471,0,0.0718699157205145,0,0,0,0,0.12986271880489,0,0,0,0,0.00740173513426156,0,0,0,0,0,0,0,0.024150720292581,0.0177242299837933,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,-0.116346322351027,0,0,0,0,0,0.0228489626097904,0,0,0,0,0,0,0,0,0,0,0,0.90720745606031,0,-5.42101086242752e-20,0.0824785623919042,0,0,0,0.0453112759537052,0.0999808348361397,0,0,0,0,0,-0.0663699866266325,0,0,0,0,0,0,3.46944695195361e-18,0.0104588918525576,0.0382567646504317,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.00495832056944185,0,0.0233222900623471,0.0940713939842486,0,0,0,0,0,0.0478664517048173,0,0,0.279116036407879,0,0,0,0,0.09294153415744,0.208840392086004,0.0777767995680789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139685628640405,-0.0129134762583649,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0.167434629158976,-8.67361737988404e-19,0,0.105439697077516,0,0,0,0.0829898907791867,0,0,0,0,0,0,0,0,0,0,0,0,0.0927965216149006,0,0.0391706112617996,0.0722880486142598,0,0,0,0.0521481094366873,0,0,0,0,0,0.098796393735257,0,0,0,0,0,0,0,0.00431843353954575,-0.0612853645473637,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663583373174607,0,0,0,0,0,0.00958994110246089,-0.00357741654844758,0,0,0.195380140602861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161850807789748,0.00718564746491266,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.227990061440414,0.138322408708657,0,0,0,0,0,-0.0719141532778291,0,0.092470005124462,0,0,0,0.00319750231468,0,0,0,0,0,0.114087620537666,0,0,-0.0101720914587334,0,0,0,0,0.0970502434487264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414772690715039,0.029314271848811,0,0,0,0,0,0
