,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X002460.SZ,X601898.SH,X600660.SH,X600010.SH,X601600.SH,X600886.SH,X600688.SH,X600801.SH,X600362.SH,X002271.SZ,X600188.SH,X000786.SZ,X600352.SH,X600795.SH,X002466.SZ,X601991.SH,X601992.SH,X600111.SH,X600027.SH,X600299.SH,X000723.SZ,X600176.SH,X000792.SZ,X600489.SH,X000898.SZ,X601158.SH,X000401.SZ,X600516.SH,X000553.SZ,X600426.SH,X002353.SZ,X600219.SH,X000932.SZ,X000709.SZ,X002075.SZ,X000883.SZ,X600126.SH,X600583.SH,X000630.SZ,X000027.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.163639509023447,0,0,0.352766018768875,0,0.0614999387311207,0,0,0,0,0,0,0,0.0555514159280311,0,0,0,0,0,0,0,0,0.193688089768666,0,0,0,0,0.0221190632139285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00454681754852288,0,0,0,0.00869685418418788,0,0
X600028.SH,0.392447254336468,0,0,0,0,0,0,0,0,-0.0347801329006754,0,0,0,0,0,0.00646839063284136,0,0,0,0,0,0.0531358932458246,0,0,0,0,0,0,0,0,0,0,0.0314609914152526,0,0,0,0,0.0611520951196866,0,0.0795654741729771,0,0,0,0,0,0,0,0,0,0,0,0.0207536158038355,0,0,0,0,0.0784338455675577,0,0
X601088.SH,0,0,0,0,0,0.130055236935483,0,0,0,0.0220361764885285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164121318632824,0,0,0,0.0346628491569808,0,0,0,0.0621590605044002,0,0.0313285789694055,0,0.0301915235777624,0,0,0,0.098888292154458,0,0.0636259963097582,0,0.00241699614097951,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.00645708728624702,0,0,0,0,0,0,0,0,0,0.443284050760236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144340533945804,0,0,0.0128230141108634,0,0,0.164807358535567,0,0,0,0,0,0,0,0,0,0,0.0145944188494058,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107273722555126,0.355468296487372,0,0,0,0,0,0,0,0,0,0,0,0,0.12574934226866,0,0,0,0,0,0.0193615809964508,0,0.12974264784321,0,0,0,0,-0.0122015686869672,0,0,0,0,0,0,0,-0.0370382800256167,0.0324403649541953,0,0,0,-0.141214351220114,0,0
X600019.SH,0,0,0,0,0,0,0,0.0790204110682001,0,0,0,0,0,0,0,0,0,0.0428593146079259,0,0,0.049418082316322,0,0,-3.46944695195361e-18,0,0.150075312994534,0,0,0.0253694271501957,0,0,0,0,0.0424868368465509,0,0.0737043126246751,0,0,0,0,0.122645018763427,0.0372137515409907,0,0.00805161959715204,0,0,0.0892463601903036,0,0.16892405805125,0,0,0.0159509565651967,-0.0153340311284398,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.0218947340080869,0,0,0,0,0,0.0152202099161474,0,0,0,-0.0694265411481947,0,0,0,-0.0669256750081926,0,0,0,0,0,0,0,0,1.19024772984427,0,0,-0.0521386996899241,0,0,0,0.0188655320123542,0,0,0,0.0528047055840074,0,0,0,0,0,0,0.0425373797336353,0.00998394535566193,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,-0.0572314911401849,0,0,0,0,0,0,0,0,0,0,0,0.149969524042363,0,0,0,0,0,0,0.129224090289644,0,0,0.240682147066786,0,0,0,0.227475772410513,0,0,0.105749912730186,0,0,0,0,0,0,0.06893523567951,0.0989868768185165,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0506539786920767,0,0,0,0,0,0.0302180596984455,0,0,0,0,0,0.130750745257042,0,0,0.0346706728107744,0.0113151205274755,0,0.347752779019793,0.0313155470570743,0.0481079604695054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201501359700269,0,0.0276143986688881,0,0,0.159519614033562,0,0,0,-0.0149669639983659,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220623977110263,0,0,0.0419217135064507,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0342962915536195,0.214259932925357,0,-0.161474268904346,0,0,0,0,0,0,0,0,0,0,0,0,0.505371277987572,0.011194039237871,0.320609567561607,0,0,0,0,-0.0146491977816177,0.0882604914615089,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.01243660738443,0,0,0,0.23996142792219,0,0.0518451668211796,0,0,0,0.331615320980537,0,0,0,0,0,0,0,0,0.0888210401851162,0,0,0,0,0,0,0,0,0,0,0,0.0139088068485996,0,0,0,0,0,0.0082368794594674,0.100177513213381,0.0782739709671513,0,0,0,-0.0011285826716669,0,0,0,0.00932657101998899,0,0
X600660.SH,0,0,0,0,0,0,0,0.154620711781908,0,0.0183430166086639,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149325078040277,0,0,0,0.153803128919772,0,0,0.111251226421272,0.0217270445888995,0,0,0,0,0,0,0,0,0.00162516607066154,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0373965814186089,0.0637521846981522,0,0,0,0,0,0,0,0,0,0,0,0.0870761887196861,0,0,0,0.0728042872857643,0,0,0.00196404647980036,0,0,0,0,0,0,0,0,0,0,0,0.0797133702080938,0.195693189209408,0,0.0884962526425319,0,0.0156779763787335,0,0,0.214964341160937,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.07658812632861,0.146104564586209,0,0,0,0,0.00969711001380855,0,0,0,0.0461660242611112,0,0.145205534728262,0,0,0,0.250877545813955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297844290913584,0,0,0.111024697260236,0.0597865606606331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
