,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X000723.SZ,X600352.SH,X601600.SH,X601898.SH,X600660.SH,X600547.SH,X601991.SH,X600688.SH,X600188.SH,X600362.SH,X600886.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600111.SH,X002466.SZ,X600176.SH,X600299.SH,X002460.SZ,X000709.SZ,X000786.SZ,X000990.SZ,X600219.SH,X000629.SZ,X002110.SZ,X600808.SH,X002271.SZ,X000553.SZ,X601158.SH,X300072.SZ,X000825.SZ,X600489.SH,X600157.SH,X000883.SZ,X000630.SZ,X600985.SH,X600339.SH,X600583.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0136001761020617,0.022691851547005,0,0.0211916551795238,0,0,-0.0136223442397183,-0.00471256237530828,0,0,0,0,0,0,0,0.144349771824845,0,0,0.0172218298135189,0,0,0,0,0.0222213996507968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819825970321944,0,0,0.00933947719795097,0,0,0.119055059051569,0,0,0,0,-5.42101086242752e-20,-0.0260585253330386,0,0,0,0,0,0
X600028.SH,0,0,0.0893559217524029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122265862422207,0,0,0,0,0,0.0381398344967295,0,0,0,0,0,0,0,0,0.00545356874825267,0,0,0,0,0,0,0,0.00507654951272622,0,0,0.0209427128291396,0,0,0,0.0215023185998447,0,0.100874256155453,0,0.00565568898317063,-0.0343657104638189,0,0,0,0,0,0
X601088.SH,0,0.103935999274028,0,0,0.0429354262742814,0.054365799235331,0,0,0,-0.186392160022162,0,0,0,0,0,0,0.0554955484525825,0,0,0,0,0,0,0.270149667450575,0,0.065506732109759,0,0,0,0,0,0.00771702920264279,0,0,0,0,0,0.0085549871612547,0,0,0.073104937851819,0,0,0.0468707580322454,0,0.00789081537506127,0,0,0,0,0,0,-0.0283030966871578,0,0,0,-0.00310475825110551,0,0
X600585.SH,0,0,0,0,0,0.0886146787757738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484527229467749,0,0,0,0,-8.43596738541163e-05,0,0,0,-0.009936784550321,0,0,0.0601163211106942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154540401657746,0,0,0,0,-0.000365434294837507,0,0
X600019.SH,0,0,0,0,0,0.112478118425087,0,0.0992681240153361,0,0,0.0558327261408687,0,0,0,0,0,0.0550323689272805,0,0,0,0,0,0,0.0823322236593879,0,0.0890552588257797,0.00815851899097572,0,0,0,0,0,0,0,0,0.0648883094043274,0,0,0,0,0,0,0,0.0224456986744498,0,0,0,0,0,0,0,0,-0.00117331057096226,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.024732596574172,0.0225575697486379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115064506341543,0.0241437592604432,-0.151009872670323,0,0.127303679866333,0,0,0,0,0,0,0,0,0,0,0,0.086613324822288,0,0.468532259057392,0,0,0.0334428250180928,0,0,0,0.0178198688164642,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0804154635169385,0,0,0,0,0,0,0,0,0,0,0.466954377306299,-0.0466304024109167,0,0.417586078950521,0,0,0,0,0,0.0513666093010718,-0.0411409323802897,0,0.0226174080233398,0,0,0,0,0,0,0,0,-0.0476959163925842,0,0,-0.00914699357886052,0,0,0.0235697304515992,0,0,0,0,0.00759117860937429,0.0130388844633996,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0392826660819826,0,0,0,0,0,0,3.46944695195361e-18,0.0663465220171707,0,0,0.00518569556119853,0,0,0,0,0.213399863211657,0,0,0,0,0,0,-0.0242587555949373,0.316316626827045,0.0200538112672381,0,0,0,0,0,0.0351497401487693,0.12134792371782,0,0.0849326805510915,0,0,0,0,0,0,0,-0.014307805272327,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0.422597236103546,0,0,0,0,0,0,0,0,-0.0441406139532242,0,-0.101882197200862,0,-0.0912875508268988,0,0,0,0,0,0,0.68511020991432,0,0,0,0,0,0,0,0.280262669244156,0,0,0,0,0,0,0,0,0.0492803105685327,0,0,0,0,0.11125189389066,0,0,0.24209692149515,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0.0623814983878631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389528839915951,0,0,0,0,0,0,0,0.10258447110104,3.46944695195361e-18,0,0,0,0,0,0.273425326056989,0,0.126720928179805,0,0,0,0,0,0,0,0,0,0,0,0.0222407107476934,0,0,0,-0.237359511644364,0,0
