,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X600886.SH,X002271.SZ,X601898.SH,X600010.SH,X000792.SZ,X601600.SH,X600801.SH,X600660.SH,X600362.SH,X600188.SH,X600688.SH,X000786.SZ,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600111.SH,X600299.SH,X002466.SZ,X600489.SH,X600176.SH,X000723.SZ,X000401.SZ,X000898.SZ,X600426.SH,X601158.SH,X600219.SH,X600516.SH,X000553.SZ,X000932.SZ,X000883.SZ,X000709.SZ,X002353.SZ,X600583.SH,X000027.SZ,X600126.SH,X000630.SZ,X600612.SH,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.241867738006036,0,0,0,0,0,0,0,0.108757346441172,0,0,0,0,0.105403586593339,0,0,0,0.0797871692329571,0.0233745326715712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200755521928683,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.142169390236561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694312270823512,0,0,0,0,0,0.0344421608281761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748968273577978,0,0,0,0.0136603255059115,0,0,0,0,0.158505860655046,0,0,0.0217587341082221,0.00250372106338859,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.395792893167038,0,0,0,0,0,0,0,0,0,0.0838107759784398,0.0979486461155085,0,0,0,0,0,0,0,0,0,0.062506769224177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222252349919058,0.0424153893701294,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0704513844653422,0,0,0,0.0862626612811043,0,0,0,-8.67361737988404e-19,0,0.416808101119319,0,0.0667010238453802,0,0,0.063530183096018,0,0,0,0,0,0,0,0.0276087841527108,0,0,0,0.123163608481934,0,0,0,0,0,0,0,0,0,0,-0.00683277896063401,0,-0.0228607592022317,0,0,0,0,0.0134309781560621,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204477346763473,0,-0.0249440870826904,0,0,0.0287107915348089,0,0,0,0,0,0,0,0.24476941403874,0,0,0,0.10130812628661,0,0,0.105475136550587,0,0,0,0,0,0,0,0,0,0,0.0179947310026249,0,2.16840434497101e-19,0.0151620186429438,0,0,0,-0.149000250290587,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333113027498443,0,0,0,0,0,0.185264432073389,0.00225192871622665,0,0,0,0,0,0,0,0,0.814051418740206,0,0,0,0,-0.00724457316679843,0,-0.011496507288604,0,0,0,0,0,0,0,0,0,0,0.187310421720862,0,0,0.0583699089365097,0.0114049413330597,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00249806211425399,0.0589754286532071,0,0,0,0,0,0,0,0,0,0.115154050253457,0,0.0985528092056097,0.022545250187614,0,0,0,0.300918118297914,0,0,0,0.0859076538753484,0,0,0,0.0158420734797482,0,0,0,0.148457406770765,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189078758752428,0,0,0,0,0,0,0,0,0.0593219971513824,0,0,0,0,0.232509075466615,-0.00898129601634927,0,0.198246641993059,0,0.141882849512558,0,0,0,0,0,0,0,0,0,0,0,0,0.149322631646122,0,0,0.151682549741554,-0.178631311663303,-0.00689609855133148,0.00232029458948289,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.134004304462654,0.0323807770033356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499653193604287,0,0,0,0,0,0,0,0,0,0,0,0,0.203566090586746,0,0,0,0,0,0,0,0,0,0,0,-0.0147088615407331,0.0125453092987233,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610698779841567,0,0,0.411073733571083,0,0,-0.159622716972529,6.93889390390723e-18,0,0,0,0,0,0,0,0.0282697045443115,0,0,0.132221960065736,0,0,0,0,0,0,0,0,0.154057460918131,0,0.256203430032135,0.286065761127854,0,0,0,0,0,0,0,0.0348584872223152,-0.261329330456876,0,0,0,0,0
