,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X600111.SH,X000877.SZ,X002271.SZ,X601898.SH,X000708.SZ,X002466.SZ,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X000301.SZ,X600660.SH,X600426.SH,X600886.SH,X600362.SH,X600176.SH,X000786.SZ,X600096.SH,X000723.SZ,X600803.SH,X000983.SZ,X601699.SH,X000408.SZ,X600795.SH,X600219.SH,X600295.SH,X600801.SH,X600141.SH,X601991.SH,X000630.SZ,X000932.SZ,X000807.SZ,X600489.SH,X600486.SH,X000825.SZ,X600985.SH,X000959.SZ,X002080.SZ,X002353.SZ,X600688.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.297143324591946,0,0,0.103565709886832,0,0,0,0,0,0,0,0,0,-0.0284963455517608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213926570818903,0.197858176315298,0.0799231777127968,0,0,0,0,0,0,0.0787858032778584,0,0,0,0,0.0445392809916118,0,0,0.00373427683339023,-0.00767670776666866,0.133737303741643,0,0,0,0,0
X601088.SH,0.233394541912255,0,0,0,0,0.0162036849585312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275179043620517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.437645888125178,0,-0.00610505141860287,0,0,0,0,0,0.0324641927484664,0,0,0,0.0787908693653715,0,0
X600028.SH,0.115615925270654,0,0,0,0,0.0449001678457323,0,0,0,-0.0379044209516961,0,0,0,0,0,0,-0.00531739810790499,0,0,0,0,0,0,0.02541911712179,0,0,0,0,0,0.0214187022825558,0,-0.0341420110984159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303473390885107,0,0,-0.00939064713889616,4.33680868994202e-19,0,0,0,-0.000665838856462395,0,0
X600309.SH,0,0.0761492148891981,0,0,0,0,0,0,0,0,0,0,0,0.167886647686158,0,0,0,0,0,0.202116973774595,0,0,0,0,0,0,0,0,0.0119219140414944,0,0,0,0,0,0,0,0,0,0,0,-0.0168418923206136,0,0.11399956326939,0,0,0.0799489168665453,0,0.0219644874532468,0,0,0,-0.011930063665426,0.0263251741522949,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106455438836976,0,0,0,0,0,0,0,0,0.00599807791330007,0.444309842478569,0,0,0,0,2.16840434497101e-19,0,0,0.0096472008760634,0,0,0,0,0.00194272056194361,0,0,0,-0.00022709427369051,0,0,0,0,0,0
X600188.SH,0,0.396453446830351,0,0,0,0,0,0.235268111236803,0,0,0,0,0,0.156547332297056,0,0,0.0154788361564896,0,0,0,0,0,0,0,0,-0.0647327560945902,-8.67361737988404e-19,0,0,0.342053843403439,0,0,0,0,0,0,0,0,0,-0.071349771807668,0,0,0,-0.0252848439925367,0,0,0,0,0,0,-0.0488545485298663,-0.02610143631408,0.062538799623974,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.279532868612583,0,0,0,0,0.194899188859517,0,0,0,0,0,0,0,0,0,0,0,0.131470937119518,0.382113458170552,0,0,0,0,0,0,0,0,0.157439385035916,0,0,0,0,0,0,-0.245132842348698,0,0,0,0,0,0,0,0,-0.00444450503070471,0,0,0,-0.0170279124468405,0,0
X002460.SZ,0,-0.0695367351636916,0,0,0,0,0.0834092840457894,0,-0.112156752081984,0.269885348932762,0,0,0,0,0.482102111543889,0,0,0,0,0,0.093559310527677,0,-0.132636235103076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144503384611502,0,0,0,0,-0.127138170657001,0,0,0.129784365212781,0,0,0,0.0742159193647457,-0.0359260963654882,0,0.068177466470113,0,0,0,0,0
X600019.SH,0,0,0,0,0.24812615570181,0,0,0,0,0,0.00582792923703768,0,0,0,0,0,0.154090531347619,0,0,0,0.0483917698711299,0,0,0,0,0,0,0,0,0.00600145574950215,0,0,0,0,0.0701732585626369,0.013240251923239,0,0,0,0.231337709171996,0,0,0,0.0559050550483172,0.0343117278830338,0,0,0,0,0,0,0,-0.00928954518612485,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.000659533531211138,0,0.317296957183259,0,0,0,0,0,0,0,0,0,0.172591972809719,0.175458505730866,0.169868560448436,0,0,0,0,0,0,0,0.0929786162409358,0,0.00138603051430063,0,0,0,0,-0.013507372751222,0,0,0,0,0,0.046469334178415,0,0,0,0,0,0,0,0,0,0,0.0600291338611436,0,0,0,0,0,0,0
