,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000708.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600176.SH,X000786.SZ,X002466.SZ,X600011.SH,X600426.SH,X601600.SH,X601898.SH,X600886.SH,X000301.SZ,X600010.SH,X600111.SH,X600188.SH,X600352.SH,X002080.SZ,X600219.SH,X600801.SH,X601991.SH,X600486.SH,X600489.SH,X600795.SH,X300037.SZ,X600688.SH,X600803.SH,X002353.SZ,X601168.SH,X600399.SH,X600027.SH,X601992.SH,X600299.SH,X002497.SZ,X600157.SH,X002409.SZ,X000932.SZ,X300073.SZ,X000898.SZ,X000027.SZ,X000630.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,-0.000159288527865056,0,0.0133561313132391,0,0,-0.016046203586163,0,0,0.0687074603041555,0,0,0,0.0424224400451349,0,0,0,0,0.0150534407598948,0,0,0.079928709286474,0,0,0.00264344954873369,0,0,0,0,0,0,0,0,0,0.0343427872361577,0,0,0,0,0,0,0,0,0,0,0,0.00450208590107508,0,0,0,-0.00186018729163554,0,0,0,-0.000754920309896759,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113162246739196,0.080162129637547,0.0917761887156856,0,0,0.0385800873139704,0.0046613259655581,0,0,0,0,0.0726057789794323,0,0,0,0,0,0,0,0,0,0,0.00146369497842956,0,0.00863149911843681,0,0,-0.0901257822125887,0,0,0,-0.0245105438061432,0.0782221899133043,0,0,0,0,0,-0.00518723160973179,0,0,0,-0.00368851920601759,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0862600778420451,0,0,0,0,0,0,0,0,0.435185373533671,0,0,0,0,0.236599061682101,0,0,0.0785029274874691,0,0,0,0,0,0,0,0,0,0.0270203942314121,-0.0563036401790774,0,0,0,0,0,-0.0113649817016758,0,-0.023840540203383,0,0,0,0,0,-4.33680868994202e-19,-0.0448722323213683,0,0,0,-0.014466831467355,0,0
X600309.SH,0,0,0,0,0,0.00390736454864948,0,0.0604704104134738,0,-0.1202165934123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12619073452916,0,0,0.174838293156266,0,0,0,0,0,0.00644152493132504,0,0,0,0,0,0.00689769694529325,0,0.00115734886226718,0.260974574867915,0,0,0,0,0,0,0.0118027430704569,0.0257033763325514,0,0,0,0.018805709822191,0,0
X600585.SH,0,0,0,0,0,0.0221282122895187,0,0,0,-0.151207436373274,0,0,-0.0466469900893443,0,-0.0241524222103589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229182144748938,0.0336423937268004,0,-0.0113597126436518,0.0852108641910447,0,0,0,0,0,0,0,0,0,0,0,0.190805455445625,0,0,0.0144666720103072,-0.0106744285212441,0,0,0,0.00858823967712994,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.124259273914349,0.0906677550135135,0,0,0,0,0.399050227180272,0,0,-0.142719911076781,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.319135321671618,0,0,0,0,0,0,0,0,0.393272890999795,-0.0406330800347905,-0.0533621876277866,0,0,0,0,0,0,0,0,-0.0310851466036854,0,0,0,-0.00364425256296474,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.272499752024268,0,0.108644178001879,0,0,-0.0855172200891834,0,0,0,0,0,0.0494082911469915,0,0,0.0294730493742263,0,0,0,0,0,0,0,0,0,0,0,0.00339190085638493,0,0,0,-0.0897235250937759,0,0,0,0,0,0,0,0,0,0.0326070771076011,0,0,0,0,-0.000328094816730896,0,0
X000708.SZ,0,0,0.137025760734825,0,0,0,0,0,0,0,0,0.191379541920739,0,0,0,0,0,0,0,0,0,0,0.136012638921077,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.042986292432025,0,0,0,0,0,0,0,0,0,0.113197974469296,0.051394074133232,0,0,0,0,0.0199827085978047,0,0,-0.0155897055474929,0.10864805382784,0,0,0,2.47181115433599e-05,0,0
X600660.SH,0,0,0,0,0,0.0505677570769975,-0.174580594494598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482398888011297,0,0,0,0,0.011734364806888,0,0,0,0,0.186815810017682,0,0,0.0571805267679193,0,0,0,0,0,1.73472347597681e-18,0,-0.0732881791290995,0,0,0,0,0,0,0,0,0.0271242054245717,0,0,0,0.0128092491398687,0,0
X002271.SZ,0,0,0.0714950383387866,0,0,0.0439930590017747,0,0,0,0,0,0,0.188450400387696,0,0.019899247163303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807805810060752,0,0,0.119292789672262,0,0,0,0,-0.0583543356946902,0,0,0,0,0.126606602969022,0.0429299733391309,0,0,0,0,0,0,0,-0.083806880763352,0.213220079618143,0,0,0,0.0189278914613618,0,0
X600547.SH,0,0,0,0,0,0.0469559557627579,0.0549530678425597,0,-0.0468421856365135,0,0,0,-0.0313628033231582,0,-0.0390401353429575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606291515049926,0,0.0465454236375774,0,0,0,0.00195109298715459,0.0467694201300789,0,0,0,0,0,-0.0183093810634888,0,0,0,0,0,0,0,0.00693880347154955,0,0,0,0,0.00478648278835995,0,0
X600362.SH,0,0,0,0,0,0,0,0.140804607582986,-0.0232952312931471,0,0,0,0,0,0,0.19872861261409,0.167029606963366,0.0312770037043617,0.510412858264679,0,0,0,0.340678470324309,0,0.145014212482834,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166284855083388,0,0
X600176.SH,0,0,0,0,0.141591095996767,0,0,0.211397220778316,0,0,0,0,0,0,-0.0634348572988672,-0.108738188401106,0,0,0,0,0,0,0,0,0,0.151304074285986,0,0,0,0,0,0,0,0,0,0,0.014746255285412,-0.0439439906210443,0,0,0,0.0796799041105056,0,0,0,0.344652426434023,0,0,0,0,0,0,0,0,0,0,0.00393764797401026,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107646268591014,0,0.0892521141769181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147178410586643,0.248252954351427,-0.0816812006202047,0,0,0,0,0,0,0,0.192274946727183,-0.110647420410708,0,0,0,0,0,0.0207749470899379,0.00517021276119888,0,0,0,0.0205773008918802,0,0
X002466.SZ,0,0,0,0,0,0,-0.149969888787316,0,-0.12818417030754,0,0,0,0.170886153419363,0,0,0,0,0,0,0,0,0,0.111605337019206,0,0,0,0,0,0,3.46944695195361e-18,0.223355847086641,0,0.180417572251137,0,0,-0.702177623187357,0,0,0,0,0,0.461315146098086,0,0,0,0,-0.560664327233613,0,-0.33317029673329,0,0,0,-0.101827888215553,0,0,0,0.00729754472456881,0,0
X600011.SH,0,0,0,-0.0721197057200112,0,0,0,-0.00231764097706019,0,0,0,0.104059185273267,0,0,0,0,0,0,0,0,0,0,0.00616438035060441,0,0,0,0.0644987977840792,0,0,0,0,0.151321005556135,0,0,0,0.0404129090258505,0,0,0,0,0,0,0.173775398168686,0.00519840239904993,0,0,0,0,0,0.139191261470438,0,0.0408226641969127,-0.0646771461531741,0,0,0,0.014538443913968,0,0
X600426.SH,0,0,0,0.404600301403736,0,0,0,0.00957400760415606,0,0,0,0,0,0,0,0,0,0,0.0945283710015341,0,0,0,0.161450828438654,0,0,0.0327204976204231,0,0,0,0.09599813339671,0,0,0,0,0,0,0.0209997542386149,0.0463400033402439,0,0,0,-0.0672600213631933,0,0,0.0822949925855111,0,0,0,0,0,0,0,0,0,0,0,-0.00744928380654375,0,0
X601600.SH,0,0,0,0,0,0,0.1465856789395,0,-0.0134593308432626,0,0,0.237919589455253,0,0,0.00612187615477692,0,0,0,0.114037556834506,0,0.0529510490762668,0,0.00944418682197345,0,0,0,0.205959536710942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714488898892826,0,0,0,0,0,0,-0.020869962414058,0,0,0,-0.0151883595072196,0,0
X601898.SH,0,0,0.350892229253947,0,0,-0.0748054458380399,0,0,-0.0531519812908607,0,0,0,0.0865124358041297,0.0125566450454204,0,-0.0167273552533245,0,0,0,0,0,0,0,0.333079026247441,0,0,0.0289411061221832,0,0,0.0413893950950751,0,0,0,0,-0.0235422765534467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317226234197285,0,0.0384000847103517,-0.0433056038046138,0,0,0,-0.00467234058765123,0,0
