,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X600660.SH,X600111.SH,X002271.SZ,X000301.SZ,X601898.SH,X002466.SZ,X000708.SZ,X600010.SH,X601600.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X000786.SZ,X600176.SH,X600886.SH,X600011.SH,X600219.SH,X000408.SZ,X600803.SH,X000825.SZ,X000932.SZ,X300037.SZ,X601991.SH,X002080.SZ,X600795.SH,X000027.SZ,X000898.SZ,X000807.SZ,X600352.SH,X600489.SH,X600549.SH,X600399.SH,X601699.SH,X000830.SZ,X002409.SZ,X000959.SZ,X600688.SH,X000723.SZ,X002353.SZ,X600486.SH,X000012.SZ,X002145.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,-0.0305601015602063,0,0,0,0,0,0,0.0583040408073053,0.0840018992308869,0,0,0.0192627132962406,0,0,0,0,0,0,0,0,0,0,0,0.0605919501247892,0,0,0,0,0,0.0528479052711833,0,0,0,0,0,-0.0364462979643716,0.0967444298866921,0,0,0,0.0171596023921842,0.0103426515379097,0,0,0,0,0,0.00184305321580488,0,0,0,0,0,0,0
X600028.SH,0.0396660193166542,0,0,0,0,0,0.116373176880506,0,-0.0720417409087255,0,0.0154659832325354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200645252156637,0,0,0,0,0,0,0.100237893232756,0,0,0,0,0.00776343135072631,0,-0.00896902659332975,0,0.180050307570316,0.0657340484534845,0,0,0,-0.0444988536357507,0,0.013931439984628,0.0533747464549322,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.180901001512358,0.0957764391070816,0,0,0,0,0,0,0,0,0,0.359933846035276,0,0,0,0,0,0,0,0,0,0,0,0.0117287606172919,0,-0.0158137320049458,0,0.0317259945134854,0,0,0,0,0,0,0.0710101676537964,0,0,0,0,0.0699876037825038,0,0,0,-0.00902939702003032,-0.011743303317755,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0436967211470715,0,3.46944695195361e-18,0,0.0205461609311306,0.0409834710996597,0,0.0169580799810342,0.206281382827814,0,0,0,0,0,0,0,0,0.0467764723094344,0,0,0.0127161031438657,-0.120770781793449,0,0,0,0,0,0,0,0,0,0,0,0.0788449360748506,0,0,0,0.000373866596918454,0,0,0,-0.0724591975284463,0,0.0180656942054144,0.0229291776371453,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.0115681749373856,0,0.362353537658021,0,0,0,0,0,0,0.063878937381865,0,0,0,0,0.307465983075015,0.0135976124906402,0,-0.0423910910976372,0,0.23062183543714,0,0,0,0.131019762744129,0,-3.46944695195361e-18,0,0,0.089855206405182,0.0196850169922763,0,0,0,0,0,0,0,-0.1311563369699,0,0.146815322922158,0,0,0,0,0,0,-0.0206729918555475,0,0
X600585.SH,0,0,0.0106042486677964,0,0,0,0.229752125736031,0,-0.140350742281148,0,0.0937100302898777,0,-0.0344060165544566,0,0,0,0,0,0,0,0.147968413235649,0,0,0,0,0.0210031404760006,0,0,0,0.128770384496799,0,0,0,0,-0.0832373207946731,0,0,0.140494380284124,0,0,0,0,-0.0814548006491987,0,0.0340140589837848,0,0,0,0.0274646562249556,0.00838315697981488,0,0,0.0722347941097271,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.0293114592094526,0,0,0,0.061309628922184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350924497240907,-0.0679569631150438,0,0,0,0,0.454368727228113,0,0,0,0,0,0,0,-0.138470640731062,0.0607448982557482,0,0,0,0,0,-0.0583482306584661,0,0,0.0311600793591328,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,-0.176135848874432,0,0.149827821474351,0,0,0,0,0,-0.00657161750246943,0.000907690137411162,0,0,0,0,0.0347279996397477,0,0,0.0535183212928212,0.223097839475902,0,0,0,0,0,0,0,0,0,0,0.137571095381671,0,0,0,0,0,0,-0.112919894945814,0.0361771926804312,0,0,0,0.0288733459134377,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233683002896157,0,-0.0164552566454472,0,0,0,0,0,0,0,0,0,0,0.156888394923494,0,0.174086122295642,0,0,0,0,0,0,0,0,0.365194199998632,0,0,0,0,0,0,0,0.0203846106522657,0,0,0.0785320150678763,0,-0.0240945878593181,0,0,0,0,0,0,0
X002271.SZ,0,0,0.0945916984709483,0,0,0,0,0,0,0,0.0301482271621017,0,0,0,0,0,0,0,0,0,0,0,0.0818363647688106,0,0,0.133448543600425,0,0.0572871078884975,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.00946309985846278,-1.73472347597681e-18,0,0,0,0,-0.10863234292778,0,0.109872654487127,-0.0813264859044284,0,0,0,-0.0236818266787053,0,0,0,0,0,0
