,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X601600.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X600547.SH,X002466.SZ,X600516.SH,X601992.SH,X600027.SH,X600111.SH,X600176.SH,X600352.SH,X600299.SH,X600808.SH,X000709.SZ,X002460.SZ,X002110.SZ,X300072.SZ,X000553.SZ,X600339.SH,X600583.SH,X000932.SZ,X600801.SH,X000786.SZ,X600426.SH,X601158.SH,X000883.SZ,X000301.SZ,X000629.SZ,X600219.SH,X000792.SZ,X000408.SZ,X601699.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0176107663251708,0,0,0,0,0.0149001126760802,0,0,0,0,0,0.0230011906725811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114756094891486,0,0,0.0961758940754874,-0.0318597361687903,0,0.161677772585934,0,0.0420756575858607,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.160982589342955,0,0.00442263669323738,0,0,0,0,0,0
X600028.SH,0,0,0.205984877488739,0,0.107991231097028,0,0,0,0,0.135561622703199,0.185743401765108,0,0,0,0,0,0,0,-0.0517818617977795,-0.0799658160271531,0,0,0,0,0,0,0,0,0,0,0.0177145810599729,0,0,-0.103164995030317,0,0,0,0,0.0886320106552107,0,0,0,0,0,0,0,0,0,-0.11251577139552,0.00468725751771008,0.00615575337555417,0,0,0,0,0,0
X601088.SH,0,0.093611080378092,0,0.158700469508393,0,0,0,0,0,0,0,0,0.0546943928004041,0,0,0,0.179262236985455,0,0,0.0436927414408597,0,0,0,0,0,0,0,0,0,0,0,-0.0719724361087704,0,-0.0461486713179728,0,0,0.0280713195718254,-0.0321888909452623,0,0,0,0,0,0,0,0,0.271300772502119,0.0435786334043898,0,-0.010195957000382,-0.0320431313424449,0,0,0,0,0,0
X600585.SH,0,0,0.191010822860154,0,0,0,0,0,0,-0.0117836329259446,0,0,-0.0680009670606798,0,0,0,0,0,0,0.0701853439330022,0,0,0,0,0,0,0,0,0,0,0,0,0.0678805066819573,0,0.107533158438733,0,0.328432984877631,0.254430375923288,0,0,0,-0.0969490360244543,0,0,0,0,0,0,0,-0.00724220743730913,-0.0116279757125976,0,0,0,0,0,0
X600019.SH,0,0,0.222357418932264,0.0894915224094891,0,0.161012057047218,0,0,0,0,0,0,0,0,0,0,0,0.0253725824712352,0,0,0,0,0,0,0.045516681386756,0,0,0,0,0,0.183842519982266,0,0,-0.0161806879453993,-0.0468326208565071,0.283245611352844,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.0107012063397557,-0.0323469212093437,-6.93889390390723e-18,0,0,0.00198075976095215,-0.00395863611300958,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.187992193100999,0,0,0,0,0.196295322282586,0,0,0,0,-0.0845352618107538,0.41306777458281,-0.0776314862063769,0,0,0,0,0.0448649365198369,-0.234206801438023,0,0,0,0,0,0,0,0,0.101477980506812,0.238334615909028,0.034088760120128,0,0,0,0,0,0,0,0,0,0,0.0435635369548367,0.046727879733194,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10916378440379,0.0505709733886558,0,0,0.774543221830804,0,0,0.0583199949331355,0,0,0,0,0,0,0,0,0,-0.074316506262997,0,0,0,0,0,0,0,0,0,0.0651836347585165,-8.67361737988404e-19,-0.00717818750990738,0,0.005171185764601,0.0202405646150817,0,0,0,0,0,0
X600010.SH,0.162700658471892,0,0,0,0,0,0.000842857034741007,0,0,0,0,0,0,0,0,0,0,0.0918144373542115,0,0,0.285917611908034,0,0,0.0762522302453914,0,0,0,0,0.0310034022059628,0,0,0,0,0,0,0.057919239722249,0,0,0,0,0,0,0,0.252722498137907,0.114147712754678,0,0,0.0540899938002962,0,0.00194106296769478,-0.0233634751192264,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.27364354734073,0,0,0,0,0,0,0,0.0781130832282358,0,0,0,0,0,0,0.153345347895418,0,0,0.0382641233089131,0,0,0,0,0,-0.015834832440331,0,0,0,0,0,0,0,0.076687230799766,0,0.106003705311013,0,0,-0.00962265173723099,-0.00339155317015406,0,0,0,0,0,0
X600660.SH,0,0.294046962857714,0,0,0,0.134109702250436,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.289329511366455,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0.0179535446171905,0.0600411033849053,0,0,0,0,0,0,0,0,0,0.0646535351010694,-0.00822969924617302,0,0,0,0,0,0,0
