,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X601600.SH,X600795.SH,X601991.SH,X600188.SH,X600027.SH,X600362.SH,X601992.SH,X600111.SH,X600157.SH,X600886.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X002466.SZ,X600352.SH,X600489.SH,X000792.SZ,X000709.SZ,X600583.SH,X600309.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000629.SZ,X000630.SZ,X000027.SZ,X002075.SZ,X000959.SZ,X000060.SZ,X000983.SZ,X300072.SZ,X002470.SZ,X600021.SH,X600022.SH,X600176.SH,X601699.SH,X600578.SH,X600098.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.119696367959786,0,0,0,0,0,0,0,0.0204469252414649,0,0,0,0,0.0605194908470133,0,0,0,0,-2.16840434497101e-19,0,0.0445326660862621,0,0.0564753611006618,0.00342711048900958,0.0493775172703566,0,0,0.0629001002238833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605663415160542,0,0,-0.016601820794405,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.263160984025257,0.0249735578774943,0,0,0,0,0,0,0,0,0.0469546645811228,0,0,0,0,0,0,0,0,0,0.013042176855231,0,0,0,0,0,0,0,0,0,0,0,-6.7762635780344e-21,0.00856106144495324,0,0,0.00463721853507489,0,0,0,0,0,0.0451226325052208,0,0.00127810044203121,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.446854987999724,0,0,0,0,0.0638718209057434,0,0.164534508776425,0.0107282644661897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123889957840426,0,0,0,0,0,0,0,0,0,0,0,0.00228630797619326,0,0,0,0,-0.00117001937903073,0,0,0,0,0,0,0
X600011.SH,0,0,0.137670092261284,0,0,0,0,0,0,0,0,0,0.0446960741957866,0,0,0.156029381846645,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.032441875265466,0,0,0,0,0,0,0,0,0.0642424445109855,0,0.0472641060801087,0,0,0,0,0,0,0,0,0,0.13080959620313,0.0140203560610118,0,-0.00091552788891159,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0117397440484461,0,0,0,0,0,0,0.00307608313826023,0,0.0700130006985151,0.0369901375304488,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.158961219144864,0,0,0,0,0,0.0734934553776528,0.227149725425318,0,0,0.0907839015963698,0.098131621467421,0,0,0,0.0871665448104691,0.0976403529781993,-6.93889390390723e-18,0,0,0,0,0,0,-0.0102623030442375,0,0,0,0,0,0
X600019.SH,0,0,0.135753774399474,0,0,0,0,0.048733654275892,0,0,0,0,0,0,0,0,0,0.061254916917442,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,6.93889390390723e-18,0,0,0.351467070435332,0,0,0,0,0,0,0.0951784074077987,0,0.141389708650881,0,0,0,0.0434471160387074,0,0,0,0,0.113060192977337,0,0.0550389102239831,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0337758070096153,0,0.0925226420054714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154678608009324,0,0,0,0,0.0182145623275946,0,0,0,0.109249274025384,0,0,0,0.0833922908576718,0,0.0178971183173864,0,0,0,0.0887166699793507,0,0,0,0,0,0,-0.043635627403738,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0304243907940875,0,0,0,0,0,0,0,0,0,0,0,0.0403149851571206,0.170610557947451,0,0,0.144746589998797,0,0,0,1.73472347597681e-18,0,0,0.0277570056323274,0,0,0,0.192289046195063,0,0,0.0883668469576976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145938253052661,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0426692724205423,0,0,0,0,0,0,0.0602862068236274,0,0,0,0,0,0,0,0.115928198852009,0.00164688712481296,0,0,0.0949507584241426,0,0,-1.38777878078145e-17,0,0,0,0.0401182801970993,0.288549619947558,0.0954439516483936,0,0,0.100508826497027,0,0,0,0,0,0.027257770439999,0,0.00158700387454461,0.0376259242783344,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.22815351470367,0,0,0,0,0,0,-0.0864691425539053,0,-0.0157726866790061,0,0,0,0.0661652368611738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167461203048505,0.388405346585599,0.00640637156160622,-3.46944695195361e-18,0,0,0,0,-0.0250910142216994,-0.0417116975339765,0,0,0,0,0,0
