,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X600660.SH,X000708.SZ,X600547.SH,X601898.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X000786.SZ,X600010.SH,X600111.SH,X600886.SH,X600011.SH,X600188.SH,X600176.SH,X600426.SH,X000027.SZ,X601991.SH,X600489.SH,X600803.SH,X600795.SH,X600801.SH,X600219.SH,X600352.SH,X000932.SZ,X000898.SZ,X000807.SZ,X600688.SH,X600315.SH,X000825.SZ,X000408.SZ,X002353.SZ,X600157.SH,X000959.SZ,X002080.SZ,X000883.SZ,X600027.SH,X600486.SH,X300037.SZ,X600516.SH,X600299.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.209766764612557,0,0,0,0,0,0,0,0,0,0,0,0.0277902535409513,0,0.0295625772993148,0,0.00207560178602591,0,0,0,0.0343153236320701,0,0.0380996643757174,0.0304695670931666,0,0,0,0,0,0,0,0,0,0.0441049327262642,0.029884695218411,-0.0149876531284206,0.0762479773346153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.144403833526138,0,0,0.0172785925416167,0,0,0,0,0,0,0,0.184360939225502,0,-0.0528282505222003,0,0,0,0,0.0133751588614338,0,0,0.135619024072652,0.0214836099959079,0,0.0098325346343253,0,0,0,0,0,-0.0171137695299225,0.0412192192112765,0,0,0,0,0,0,0,0.0781363601067957,0,0,0,0,-0.0159715071294723,0,0
X601088.SH,0,0,0,0,0,0,0.0217674518412562,0,0,0,0,0,0,0,0.0373943144822784,6.93889390390723e-18,0,0,0,0,0,0.170265740119428,0,0,0.0825484175723212,0,0,0,0,0,0.0133659774190225,0,0,0,0.0796823765096567,0,-0.0165032724253238,0,0.0541980194518515,0,0,0,0,0.0350826024011193,0,0,0,0.0394190825027231,0,-0.0264521001611646,0,0,-0.00448700684330676,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0237959886615257,0,0,0,0,0,0,0,0,0,0.134894601534567,0,0.17274194751015,0,0,0,0.0911043945413404,0.150172470686349,0,0,0,0,0,0,0.09094153693169,0,0,0,0,0,0.0301865748276699,0.0831398235000927,0,0,-0.0558165381074808,-0.0602942462107337,0,0,0,0.0264903025950953,0.213451248759979,0,0,0,0,0,-0.0581392173370485,0,0,0,-0.0316887906958281,0,0
X600585.SH,0,0,0,0,0,0,0.0313639734661969,0,0,0,0,0,0,-0.0116288383769903,0.0104136803028397,0,0,0,0,0,0,0,0,0,-0.0239776714475675,0,-0.0176381625124526,0,0,0.261373378148576,0,0,0.0626001005860733,0,0,0,0,0,0,0,0,0.0505751930715395,0,0,0,0.0485239756328776,0,0,0,0,0,0,-0.0201909188036262,0,0,0,-0.0163789094452537,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00245889817468661,0,0,0,0,0,0,0,0.0366166292726387,0,0,0,0,0,0.00526986943062067,0,0,0,0,0.403704450864464,0.0112786315305967,0.0397939217980505,0,0.144031181045063,0.161082160090483,0,0,0,0,0,0.0864673806612618,0,-0.0208283599390526,0,0,0,0,0,0,-0.000789151559035549,0,0,0,-0.0295262362337464,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.255330173294909,0,0,0,0,0,0,0.610549359564458,0,0,0,0,0,0.0851600442872067,-3.46944695195361e-18,0.0128272732075975,0,0,0,0,0,0,0,0,0,0,0.0330129873830399,0,0,0,0,0.0299861830675777,0,0,0,-0.0177156145869641,0,0,0,0,0,0,0,0,-0.0131775346474966,0,0,0,-0.0159596195131072,0,0
X002271.SZ,0,0,0,0,0,-0.230304535053695,0,0,0,0,0,0,0,0,0.0175988108874689,0,0,0,0,0,0,0,0.119690942788497,0.134111903512088,0,0,-0.0363088082177732,0,0,0,0,0,-0.0403166451761981,0,0.0661184577181798,0,0,0,0.0577222198833592,0,0,0,0,-0.0141811761663267,0,0.068894969082532,1.38777878078145e-17,0.0623492178429194,0,0,0,-0.0424595071217517,-0.0608311938362931,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0692002400147561,0,0,0,0,-0.123020608008711,0,0,0.121315363822389,0,0.31781899388015,0,0,0,0,0,0,0,0,0,0,0.00137191872395828,0,0,0.051739561482728,0,0,0,0.0284082005312922,0,0.0860814490959557,0,0,-0.155601765980953,0,0,0,-0.0875932471580838,0,0.241268552069481,0,0.0320876447617031,0,0,0,-0.031391659543261,0,0,0,0,-0.0123646677379952,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.164725438111852,0,0,0.147439412911454,0,0,0,0.0431064777451814,0,0,0,0.00726907010314468,0.12279843578241,0,0,0,0,0,0,0,0,0.0144168203334288,0.250316740537139,0,0,0.209893648576307,0,0,0.209759926541507,0,0.041871583119718,0,-0.0452590236428596,0,0,0,0,0,0.316491390149442,0,0,-0.103069112427701,0,0,0,0,0,0
X600547.SH,0,0,0,-0.0716344218495629,0,0,0,0,0,0,0,0,0,0.0405667100137962,0,0,0,0.0880958980650619,0.136587353865343,0,-0.0413933764994889,0,0,0,0.168338807480053,0,0.016797226185131,0,0,0,0,0,0.00213185553036995,0,0,0,0,0.107679504984695,0.0506590386093906,0,0,0,0.00483511280870815,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0
