,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600547.SH,X600688.SH,X600795.SH,X600188.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600489.SH,X600886.SH,X600111.SH,X601992.SH,X600309.SH,X600660.SH,X300072.SZ,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X600583.SH,X000723.SZ,X000709.SZ,X600352.SH,X000883.SZ,X000898.SZ,X000983.SZ,X000408.SZ,X600549.SH,X002470.SZ,X000539.SZ,X600176.SH,X000027.SZ,X002460.SZ,X000630.SZ,X002407.SZ,X000060.SZ,X600612.SH,X601699.SH,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0528504396716737,0.0191567097874124,0,0,0,0.0031162607397583,0,0.00582290982149028,0,0,0,0.0188229428101572,0,0,0,0.0262643295660679,0,0,0,0,0,0,0,0,0,0,0.159459413811529,0.0472429975415818,0,0,0,0,0,0,-0.0116563551334496,0.0360839178658544,0,0,0,0,0,-0.00686830721895064,0,0,0,8.67361737988404e-19,0,-0.0014632123400555,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0641485318397288,0,0.0535775518643019,0,0.0140092128205681,0,0,0,0,0,-0.0232132210961754,0,0,0,0,0,0.0298038971126696,0.0073498727288554,0,0,0,0.0263761898462579,0,0,0,0,0,0,0.0819273772302435,0.0399113473598521,0.000684668790330267,0.0419868596881869,0,0,-0.00953394937083017,0,0,0,-0.0273805947262637,0,0,0,0,0,0,0.0222218801028596,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.18612308057937,0,0,0,0.0681076089298989,0,0,0,0,0.0396649347027216,0,0,0.032749724349072,0,0,0,0,0,3.46944695195361e-18,0,0.0335930647457223,0,0,0,0,0,0.0177953586117681,0,0,0,0,0,0,0,0,0,0.0539301810853232,0,0,0,0,0,0,0,0,0.0401207202529506,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.11449515500943,0.209322058666649,0,0.0100554726866316,0,0,0,0.0634148626850725,0,0,0,0,0,-0.0124104239688994,0.0619029386840972,0,0,0,0,0,0.0681188832511005,0,0,-6.93889390390723e-18,-0.0356935542936871,0.106839806043918,0,0,0,0,0,0,0,0.101123117196436,0.0292174290681711,0,0,-0.105503589562609,0.0328611920738814,0,0,0,0,0.0288115876966192,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0429147465154522,0,0.114412583156087,0,0,0,0,0,0,0,0,0,0,0,0.509184906507497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454679968997735,0.026769499738759,0,-0.0514492563421633,0,0,0,0.0175131869552913,0,0.0195363892319583,0,0,0,-0.0141235054542698,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0675125092372458,0,0,0,0,0,0,0.0373754224212026,0,0,0,0,0.0895887035028811,0.0154068288347454,0,0,0,0,0,0,0.0350934939938229,-0.146147564828828,0,0,-0.0530116695270654,0,0,0,0,0.187485694830117,0,0,0.0215298845099258,0,0.0917949546356056,0.166816595832438,0,0,0,0.0144536985474143,0,0,0,0,0,0,0,-0.0110730229062753,0.0823503369459851,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.047761937939937,0,0,0,-0.0135926688442917,0,0,0,0,0,0,-0.036255905423847,0,0,0,0.0411796534611157,0,0,0,0.103460654509641,0.0805470402136511,0,0.0085222137730759,0,0.00476423145058878,0,0,0,0,0.0302450692701568,0,0,0.132893474255353,8.67361737988404e-19,0.0111173082134282,0.0534324682800785,0,0,0,0,0,0,0,0,0,0,0,0.0208292775450645,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044346150843449,0,0,0,0,0,0,0,0,0.104907810587883,0,0,0.071253679998073,0.0896679057234154,0,0,0,0,0,0,0,0,0.0394415479870057,0.0225257412850265,0,0,0.00377709379411676,0,0,0,0,0,0,0.277386698981327,0,0,-0.0198251279096115,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412583816009986,0,-0.0489351047827999,0,0,-0.195828745247755,0,0.300083808878428,0.040737458041465,0,0,-0.0218396115796554,0,0,0,0,0,0,0,0,0,0.120806709441627,0,0,-0.0145345189195496,0,0,0,0,0,0.14859575009278,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0
X600688.SH,0,0,0,0,0,0.0986650070005057,0,0,-0.0541317439072582,0,0,0,0,0,0,0,0.0865434113091315,-0.0360548854049639,0,0,0,0,0,0,0.0378240106622034,0.0659417993859769,0,0,0.0273527799056132,0,0.18068329209637,0,0,0.143191282892223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258912739589616,0.033799476147363,0,0,0.0314528298818902,0,0,0,0,0,0
