,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X600362.SH,X600188.SH,X600795.SH,X600352.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X600176.SH,X000709.SZ,X000786.SZ,X600489.SH,X002271.SZ,X002460.SZ,X600516.SH,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X000553.SZ,X601158.SH,X600808.SH,X000630.SZ,X601699.SH,X600985.SH,X600583.SH,X000027.SZ,X000401.SZ,X000301.SZ,X600339.SH,X600612.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0112454300504186,0,0.0220494737598008,0,0,0,0,0,0,0,0.148568682976949,0,0,0,0,0,-0.00814683532716762,0,-0.0164009013728343,0.053662732755445,0,0,0,0,0,0,0,0,0,0,0,0.0541610966509764,0,0,0,0,0.0698413129208234,0,0,0,0.0860018457493506,0.0342391866926569,0,0,0,0,0,0,0,0,-0.00270665754238868,0,0,0,0,0,0
X600028.SH,0,0,0.177973592798987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643228413403575,0,0.0257322982621814,0.0447887331727224,-0.0113312072493832,0.0098643151127953,0,0,0,0,0,0,-0.000101359372868208,0,0,0,0,0,0,0,0,0.000201523392697406,0,0,0,0,0,0.0325584487099145,0,0,0,0.0515488356692965,0,0.0783526460409913,0,6.93889390390723e-18,-0.0262643575461363,0,0,0,-0.00380138296644079,0,0
X601088.SH,0,0,0,0,0.29746114872018,0.0993030454765689,0,0,0,0,0,0,0,0,0,0,0.118984773377789,0,-0.123684251338242,0,0,0.0217844640093422,0,0,0,0,0,0,-0.0647894233611543,0,0,0,0,0,0,-0.0855771741537939,0,0.0213368381429767,0.311394679310862,0,0,0.0965896468492,0,0,0,0.0478886078060384,0,0,0,0,0,0.0171235338593444,-0.0291588568715921,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.136042443274275,0,0,0,0,0,0,0,0,0.00409605723707094,0,0,0,-1.73472347597681e-18,0,0.0255264735128125,0.363654187270856,0,0,0,0,0,0,0,0,0,0.0486800399419395,0.0297116531597959,0,0,-0.0883177563163571,0,0,0,0,0,0,0,0,0,0.0547865252256159,0,0,0.0972083593214437,0,0,-0.00311735047240223,0,0,0,0,0.0265608381462865,0,0
X600019.SH,0,0,0.0766740019098697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108957979760137,0,0,0,0.0573535186643294,0.227700581547382,0,0,0,0,0,0,0,0,0,0,0,0,0.102216617340147,0.0533014447359152,0,0,0,0,0.00876793842922725,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,-0.0057307516571832,-0.0457294071393428,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.189157027672803,0,0,0,0,0,0,0,0,0,0,0,0.204018939059155,0,0,0,0,0,0,0,0,0,0,0,0,0.250353532822286,0,0,0,0,0,0,0,0,0,0,0.0698331971572476,0,0.37398022277026,0,0,0,0.315315484194949,0.0319199659474544,0,0,0,0,0,0,0.0270158590961093,0,0
X600011.SH,0,0,0,0,0,0.105957826940203,0,0.0754911312105857,0.114643460423361,0,0,0,0,0,0,0,0,0,0.135933187519487,0,0.0176875586879945,0,0.0864021130250132,0,0.254868176893841,0,0,0,0,-0.10202458460628,0,0,0,0,0,0,0,-0.104841368255567,0,0,0,0,0,0,0,0,0,0.0717304059206283,0,0,0,0.0304471665992681,-0.0136507207642394,0,-0.0921844231408954,0,0.0162414880721713,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525344686345327,0.0126608885136501,0,0,0,0,0,0,0,0.93088529105785,0,0,0,0,0,0,0,0,0.0623563914596634,0,0,0,0,-0.00298482896672153,0,0,0,0,0,0,0,-0.081827424306156,0.00361570897890158,0,0.059184060641736,0,0,0.0176373131471363,0,0
X600010.SH,0,0,0,0,0,0,0.0750538529754601,0,0,0,0,0,0,0,0,0.382818753113469,0,0,0.107565562057435,0,0.0163986734887119,0.0653420922238964,0,0,0,0,0,0,0,0,0,0,0.1518453700902,0,0,0,0.0719764467023994,0,0,0,0,0,0,0,0,0,0,0,0.235696067924932,0,0,0.016183248393468,-0.00589299516373555,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.276743258192111,0,0,0,0,0,0,0.152750893937215,0,0,0,0,0.0130508943496798,0.0349719738255328,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456425020384462,0,0,0,0.201941997207718,0,-0.00892728541838902,-0.0328241597120265,0,0,0,-0.0328282813773548,0,0
