,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600585.SH,X600886.SH,X600660.SH,X600011.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X000708.SZ,X600111.SH,X600803.SH,X600027.SH,X002460.SZ,X601991.SH,X000301.SZ,X600160.SH,X600426.SH,X000983.SZ,X601699.SH,X002466.SZ,X000786.SZ,X600219.SH,X600176.SH,X002128.SZ,X000807.SZ,X000630.SZ,X600985.SH,X000933.SZ,X000877.SZ,X601168.SH,X600096.SH,X000408.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X600378.SH,X000932.SZ,X600995.SH,X002271.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.727765651419468,0,0,0,0.0708765421016976,0,0,0,0.0722044920683522,0,0,0.114562601246407,0.00409225240707381,0,0.129138585848788,0.0615992138949611,0,0,0,0,0,-0.101535031209836,0.02133723453339,0,0,0,0,0,0,0,0,0,0,0,0.012169418686688,0,0,0,0,0,0.0225861157465303,0,0,0,0,0,0,-0.026606107061027,0,0,0,0,0,0,0,-0.066094711626473,0,0
X600028.SH,0.391340604777752,0,0.14160336659497,0.0418906144137207,0.0893166750160304,0,0.134482804409877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00799517001595954,0,0,0,-0.00945764174193709,0,0,0,0,0,0,0,0,0,0,-0.0585280738254137,0.021631968136262,0.0863561152778274,0,0,0,0.0520659629585831,0,0,0,0,0,0,0,0,5.17344915464089e-05,0,0,0,0,0,0,0
X601088.SH,0,0.222189178525348,0,0,0.0163003813135936,0.117718731065037,0,0,0,0,0,0,0.211123923773889,0,0,0,0,0,0,0,0.147555797210619,-0.0942103849139429,-0.0305299942634717,0,0,0,-0.0904188728732274,0,0.013487168433587,0,0,-0.0732122060589542,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0714140132238346,0,0,0,0.0735291274362316,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0652603620038064,0,0,0,0,0.0122571442957996,0,0,0,0,0,0,0,0,0,0,0,0.204545970113679,0,0,0,0.0249421581022749,0,0,0,0.110055002439912,0,0,0.328536780068682,0,0,-0.0689251069624291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293689352962179,-0.11921679017794,0,0,0,-0.0183977967935613,0,0
X601898.SH,0,0.258628040090117,0.00743300307096035,0,0,0.144295305145505,0,0,0,0.0778572011426815,0,0,0.213887864799049,0,0,0,0,0,0,0,0,0.105088914036841,0,0,0,0,0,0,0.146002202115935,0,0,0,0,0.00691019172685253,0,0,0,0,0,0.0381915970922638,0,0,0,0,0,0,0,0,-0.0200201070508665,0,0,0.0148143336781679,0,0,0,0,0,0,0
X600188.SH,0,0,0.264831107806652,0,0,0,0,0,0,0,0,0,0.0197350894419093,0,0,0,0,0.053082256155611,0,0,0,-0.113214744828172,0,0,0,0,0,0.109049241372971,0.547408270471952,0,0,0,0,0,-0.00861953074304077,0,0.384597515407439,0,0,0,-0.101339007561772,0,0,-0.0699204376891047,0,0,0,0,-0.0574787000438243,0,0,0,-2.16840434497101e-19,0,0,0,0.0311119704344802,0,0
X600019.SH,0,0.117074469880189,0,0,0.228440239222757,0,0,0,0,0,0,0.21495751170862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534404481107281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226940962401882,0.223970859227523,0,0.108948967085139,0,0.0251639098066436,0.0851731741963875,0,-0.0729446351895506,0,0,-0.00389922677756316,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635667415205354,0.0892351718083868,0,0,0.178675236197308,0,0.0382561806316586,0,0,0,0.16708394663784,0,0,0,0,0,0,0,0,0,0.0194838054882915,0,0,0,0,0,0,0,0,0,0,0,0,-0.101554855241483,0,0.17228272918151,-0.102128108129554,0,0,0,0,0.01408813471033,0,0
X600585.SH,0,0,0,0.0218994051945236,0,0,0,0,0,0,0,0,0,0,0.226970440283309,0.014226318595833,0,0,0,-0.0937219155908776,0,-0.02869733245976,0,0,0,-0.0547415168802866,0,0,0,0.135344178457818,0.111628867957835,0,0.0398443211559852,0,0,0,0,0,0,0,0.0716145150495889,0,0,0,0,-0.102231963497652,0,0,0.0399378373782278,0,0,0,-0.00745002592625274,0,0,0,0,0,0
X600886.SH,0.230193811905077,0,0,0,0,0,0,0,0,0,0,0,0,0.0752123689973128,0,0.112327012326621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710432036181869,0,-0.167589429741281,0,0.0496439485268454,0,0,0,0,0,0,-0.224239405579392,0,0,0,0.025824804988359,0,0,0,0,-0.247082818549837,-0.0162557086993547,0,0.140150120856346,0,0,-0.00891778378623203,0,0
X600660.SH,0,0,0,0,0,0,-0.162512333557907,0,0,0,0,0,0,0,0.0603215041400726,-0.0199103374394177,0,0,0,0,0,0,0,0,0,0,0.186559279638106,0,0,0,0.27365967618783,0,0.0860070466619237,0,0,0,0,0.0530536797389832,-0.0465316651098558,-0.102360090585129,0,0,0,0,0,0,0,0,-0.0571466292191682,0,0,0,-0.0463592500341462,-0.317801672735099,0,0,-0.017013877380707,0,0
X600011.SH,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.165335224437227,0,0,0,0,0,0,0,0.157727972294807,0,0.367579317121378,0,-0.049901073837873,0,0,0,0,-0.0696419462775488,0,-0.0125346416548871,0,0,0,0,0.0776815936598101,0,0,0,0,0.00408694138763391,0,0.0113652027053235,-0.0617875729291039,0,0,0,0,0,0.0763593402135912,0.0024776275156817,0,0,0,-0.0808206547519022,0,0
X601600.SH,0.26820648654046,0,0,0,0,0.00211994045568348,0,0,0,0,0,0,0,0,0,0,0.278641697707199,0,0,0,0,0,0,0,0,0.0822055805946452,0,0,0,0,8.67361737988404e-19,0,0,0.0604305275395029,0.237849171080947,0,0,0.0944883908834988,0,0.0466534478425322,0,0,0.133896312425208,0.194947225971466,0,0,0.116718673642268,0,0,0,0,0,0.133143233007156,0,0,0,-0.0212729219048025,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0613676072063551,0,0.076864035411158,0,0,0,0,0,0,0,0,0,0.274420186147008,-0.0230776884745211,0,0,0,0,0,0,-0.125455958766745,-0.119504481195156,0,0,0,0,0,0,0,0,0,0,0,0.271450337433656,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192592804948123,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.000132663324329594,0,-2.16840434497101e-19,0,0,0.116205491143639,0,0,0,0,0.0586858005180766,0,0.2953746207571,0,0.0831827697692659,0,0,0,0,0.0109735719317477,0,0,0,0.0606007008850403,0,0,0,0,0,0,0,0,0,0,0,-0.046633157098358,0,0,0,0,0,0,-0.0175584288997743,0,0,0,4.33680868994202e-19,0,0
