,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X600623.SH,X600111.SH,X600886.SH,X600157.SH,X002466.SZ,X600299.SH,X600660.SH,X600547.SH,X601158.SH,X000792.SZ,X600352.SH,X000709.SZ,X600583.SH,X600309.SH,X600489.SH,X000539.SZ,X000883.SZ,X000898.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X002075.SZ,X300072.SZ,X600021.SH,X002470.SZ,X000060.SZ,X000959.SZ,X000983.SZ,X600176.SH,X600098.SH,X600022.SH,X600578.SH,X000012.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.22352541551406,0,0,0,0,0,0,0,0,0,0,0,0.0112599179782083,0,0,0,0,0,0,0,0.0575864886589193,0,0,0,0,0.0255038934207172,0,0,0,0,0,0,0,0,0,0,0.0370464482479446,0.108025662342296,0,0.0150767600343685,0,0,0,-0.00316197978843509,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.104091890926069,0.230141890904709,0,0,0,0,0.0224738777414364,0,0,0,0,0,-1.73472347597681e-18,0,0.0102360151889173,0,0,0,0,0,0,0.0552310411131897,0,0,0,0,0,0,0,0,0.00901059223516318,0,0,0,0,0,0.000142278268453213,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.383357048097608,0,0,0,0,0.00888862366132343,0.0365162312160749,0.118104300878235,0.0770035694276209,0,0,0.115761025894466,0,0,0,0,0.0538617378980299,0,0,0,0,0,0,0,0,0,0,0.0365938142445694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605296511365354,0,-0.00691910780499133,0,0,0,0,0,0,0
X600011.SH,0,0,0.304041421211175,0,0,1.73472347597681e-18,0,0.0518147935356418,0,0,0,0,0,0,0,0.0357718704465141,0,0,0,0,0.0402158679446683,0,0,0,0,0.0513352426811024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866739669139061,0,0,0.02442989004219,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132082699263852,0,0.103698254743329,3.46944695195361e-18,0,0,0,0,0,0,0.169885795563486,0,0,0,0,0,0.0690394633381145,0,0.066647012671986,0.187876267621585,0,0,0.0618531875312186,0,0.0939072270163025,0.0369583476574487,0,0.0164041470087864,0,0,0,0,0,0,0.0213442401685794,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.086848747903248,0,0.0616817119356537,0,0,0,0,0,0,0,0,0,0,0.0203841136124445,-0.00120051745259877,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0.548170522724743,0,0,0,0,0,0,0,0,0.0452224176297046,0.0827483533610643,0,0,0.0874295091676135,0,0,0,0,0.0360042038949918,0.0547880688439055,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0472322037523969,0,0,0.168828801456103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125722112199521,0,0,0,0,0,0,0.060872634108874,0,0.0196892923103907,0,0,0,0,0,0,0.0559961377576848,0,0,0,0.101737767464709,0,0,0,0,-0.052938170835581,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0998657777904857,0.152802042966688,0,0,0,0,0,0,0,0,0,0,0.148684516185709,0,0,0,0,0,0,0,0,0.0622693162718634,0,0,0,0,0,0,0,0.178600762097966,0,0.0130470592064031,0,0,0,0,0.0750998659605795,0.137194349336626,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903247712197516,0,0,0.138397582814164,0,0.0885555122539032,0,0,0,0.0504902463961578,0,0,0,0,0,0,0,0.218946846572188,0,0.080989478310452,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.139368131544167,0.0358101977768556,0,0.103985010130654,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188714571242465,0,0,-0.0727573526530559,0,0,0,0,0,0,-0.0625285982029607,0,0,0,0,0,0,0,0,0,0,0.0223950123712469,0,0,0,0,0.162339711614469,0,0.0896885919405648,0,0,0.067918158134026,0,0.358834128445398,0,0,-1.73472347597681e-18,0,-0.0348885169960594,0,0,0.0562640021560414,0,0,0,0
