,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X300072.SZ,X002466.SZ,X600795.SH,X600660.SH,X002460.SZ,X601992.SH,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000792.SZ,X000709.SZ,X600157.SH,X600027.SH,X000786.SZ,X000408.SZ,X600339.SH,X600176.SH,X002271.SZ,X600219.SH,X000723.SZ,X600489.SH,X000959.SZ,X000553.SZ,X600352.SH,X601158.SH,X600808.SH,X000883.SZ,X000630.SZ,X000807.SZ,X600549.SH,X000983.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0241260976968696,0,0,0,0,0.0342497022493485,0.000401667098318895,0,0,0.0685605774309847,0,0,0,0,0,0,0.0321729283874145,0,0,-0.0229980439836276,0,0.00471174009603461,0,0,-0.0302274410482993,0.0287987247869847,0,0.0452837986558998,0,0,0,0,0,0.0499017829561657,0,0,-0.0144684851547139,0,0,0,0,0,-0.0145312923851348,0,0,0,0.00405068854675968,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.167767903590517,0,0,0,0,0,0,0,0,0,0,0.0152719208540075,0,0,0.0311428655318704,0,-1.73472347597681e-18,0.0401665614273456,0,0,-0.0473040138553045,0,0,0,0,-0.0251691279254289,0,-0.0355022110968558,0,0,0,0,0,-0.0948885775892049,-0.00419117171620074,0.101189923134101,0,0,0,0,-0.0114099692835076,0,0,0,0,0,-0.00391277382452856,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0456453005959559,0,0,0,-0.0586438560728166,0,0,0,0,0,0.938204245428412,0,1.73472347597681e-18,0,0,0,0,0,0.0325609093706916,0,0,-1.73472347597681e-18,-0.0673298299674408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000612632363519093,0,0.0551162891332672,0.0921288641915557,0,0,0.0639012769121433,-0.0501503462244988,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0397968391550303,0,0.23159336068385,0,0.121775435447608,-0.0263317407687896,0,0,0,0,0,0,0,0,0,0,0.136593588970614,-0.00410375213013328,0,0,0,0,0,-0.025396170729652,0,0,0,0,0,0,0,0,0,0,0.307102422957923,0,0,0,0,0,0,0,-0.0174335518277781,0,-0.0193698258501741,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0761795679948212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141005031894705,0,0,-0.0995174858427875,-0.103571529223531,0,0,0,0.119387575762632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112775863020015,0,0,0,0,-0.0891829352688377,0.000665325539069461,0.00125247766288194,0,0,0,0,0,0
X601600.SH,0,0,0,0.130017906375096,0,0,0.367326271071774,0.144946282641654,0,0.101139339375994,0,0,0.105836899053523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264767358756329,0,0,0.106531758876729,6.93889390390723e-18,0.00301782308026671,0,0,0,-0.0269092934307748,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0201778154115429,0,0,0,0,0,0,0,0,0,0,0,0.214881613084842,0,0,0,0.178972741610245,0,0.0174706942719239,-0.0309176076826262,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134158959608185,0,0,0,0.0454316675752475,0.0689984013144718,0.104627471704474,0,0,-0.0495845362043797,0.0597394290580734,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.332714000229812,0,0,0,0,0,-0.0723136607613013,0,0.278233041156153,0,0,0,0,0,0.318454273368787,0,0,0,0.0494072740801071,0,0,0,0,-0.0881697514625368,0,0,0.258571744678523,-0.0233842408145775,0,0,0,0,0,0,0,0,0,0,-0.0740015984087703,0,0,0.173385068948365,0,0,0.00570393416728344,0.0628811422858999,0.0587354636509215,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.101159099818172,0,0,0,0,0,-0.0111284130732577,0,0,0,0,0.0212396816282143,0,0,0,0,-0.0180960562931996,0,0.0384736430640882,0,0.0704911401915439,0.0881296596720599,0,0,0,0,0,0,0,0,0,0,-0.018064024667224,0.0207758586404312,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952292109794191,0.348229398105727,0,0,0,0,0.125965956174507,0,0,0,0.332468594378429,0,0,-0.0074818152242531,0.0341721646191111,0,0,0,0.0292529388689715,0,0,0,0,0,0,0,0.129049749970601,0,0,0.0174044490889588,0,0,0,0,0.00448256965784164,0,0,0,0,0,0
