,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600547.SH,X600688.SH,X600362.SH,X600795.SH,X600188.SH,X300072.SZ,X601991.SH,X600157.SH,X600027.SH,X601992.SH,X600886.SH,X600111.SH,X600660.SH,X600309.SH,X600489.SH,X000898.SZ,X600299.SH,X601158.SH,X002466.SZ,X000723.SZ,X000792.SZ,X002075.SZ,X000709.SZ,X000959.SZ,X600583.SH,X000408.SZ,X600623.SH,X600352.SH,X000883.SZ,X000983.SZ,X000630.SZ,X000539.SZ,X600549.SH,X600098.SH,X000027.SZ,X002092.SZ,X601699.SH,X000060.SZ,X000937.SZ,X600176.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.244170781271982,0,0,0,0,0,0,0,0,0,0.0453808347874596,0,0,0,0,0,0,0.0851027243773106,0,0,0.000775668181421073,0,0,0.0565231921261779,0,0,0,0,0,0,0,0,0.0347576905200151,0,0.055743785014874,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.00356264917311448,0,0,0,0,0.0431121082484595,0,0,0,0,0,0,0
X600028.SH,0.204507264365769,0,0,0,0,0,0,0,0.0185049253756494,0,0,0,0,0,0.0534287250573653,0,0,0,0,0,0,0.0849977871250708,0,0,0.0460741947418634,-6.93889390390723e-18,-0.0843327457619564,0,0,0,0,0,0,0.335701395961804,0,0,0,0,0,0,0,0,0,0,0.0300526112357626,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.168635827781672,0.144186055761284,0,0.0807139213724101,0,0,0.202940938337338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115931338432226,0,0,0,0.0226798794149552,0,0,-0.126337495791863,0,0,0,0.0227851661328332,0,0,0,0,0,0,0,0.118578576817991,0,0.0377151121517539,0,0,-0.0587693942382389,0,0,0,-0.0766754400456943,0,0
X600011.SH,0,0,0,0,0,0,0,0.0514073150017159,0,-0.0503893484115957,0,0,0,0,0.0641490270338508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264770786309788,0,0,0,0.0721761459279946,0,-8.67361737988404e-19,0,0,0,0,0.0581702212247133,0.0388952365046448,0,0,0,0,0,0,-0.0607403806474481,0.050596749887395,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.37522170909944,0,0.0202078325306848,0,-0.0715093535530807,0,0.0629332823761069,-0.0678531463572714,0.0528206565770455,0,0,0,0,0,-0.0216197290066645,0,0,0.0783459737995089,0,0,0,0,0,0,0,0,0,0.0131026351458298,0,0,0,0,0,-0.186379798583034,0,0,0,-0.0246331131977749,0,-0.00828498737524873,0.337334148255855,0,0,0.0160637685990308,-0.0137282942614159,0,0.0908269559212337,0,-0.109673659559978,0,0,0,0,0
X600585.SH,0,0,0,0.193647762550211,0,0,0,0.207790428973173,0,-0.0425478651713684,0,0,0,0,0.0037810912584902,0,0,0,0,0,0,0.118716606841601,0.129562281377351,0,0.151519824775492,0,0.00653280881930469,0,0.0867667253141243,0,0,0,0.0295836355624815,0,0,0,0,0,-0.0124133827252815,0,0,0,0,0,-0.0865973762300628,-1.73472347597681e-18,0,-2.16840434497101e-19,0,0.103474950842989,0.216419068520218,0.00967794751443521,0.0130140551421225,0,0,0,0,0,0
X600010.SH,0,0,0.00332094129562225,0,0,0.0683922777299977,0,0,0.0406441839802349,0.0229185009461236,0,0,0,0,0,0,0,0,0,0,0,0,0.0962544088231936,0.0410321421154349,0.17600926814841,0,0,0,0,0,0,0,0,0,0,0.0748079833988943,0,0,0.00231400812215578,0,0,0,0,0,0,0,0.0292308001473808,0.0779388956356134,0,0,0,-0.00768506613051908,0.00289289538313098,0,0,0,0,0,0
X601898.SH,0,0,0.333091160586339,0,0,0,0,0,0,0,0,0,0,0.138415019020518,0,0,0.0659732674423807,0,0,0,0,0,0,0,0,0,0.0773652979671821,0,0,0,0,0,0,0,-0.0795979117551218,0.0506505895141639,0.223109232687288,0,0.11407202231547,0,0,0,0,0,0,0,0,0.106362792595166,0.0433234675911162,0,0,0,-0.0742455479653593,0,0,0,0,0,0
X601600.SH,0,-0.0368784771644483,0,0,0,0,0,0.257443541692723,0,0,0,0,0,0,-0.0384895007825404,0,0,0,0,0,0,0.180736976367092,0.0204448577086988,0,0,0,0,0,0,0,0,0,-0.00384916063363134,0,0,0,0,0,0,0.244329690406355,0,0,0,0,0.041929417347376,0,0.142489463659934,0,0,0.130073001341791,0,-8.8461453785137e-05,1.73472347597681e-18,0,0,0,0,0,0
X600547.SH,0,0,3.46944695195361e-18,0,0,0,0,0,0.0055355710323749,0,0,0,0,-0.00146049792988937,0,0,-0.209518603807348,0,0,0,0,0,0,0.993384718888173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0193876256338702,0.0182352208607237,0,-0.0454171360887738,0.008561407747936,0,0.150542277957479,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.259169115124417,0,0
