,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X601898.SH,X601991.SH,X600010.SH,X600688.SH,X600111.SH,X600362.SH,X600886.SH,X600027.SH,X600188.SH,X600157.SH,X600583.SH,X601992.SH,X600021.SH,X000709.SZ,X000898.SZ,X600309.SH,X600352.SH,X601158.SH,X000539.SZ,X000883.SZ,X600489.SH,X000629.SZ,X600547.SH,X000825.SZ,X000792.SZ,X600660.SH,X000060.SZ,X600808.SH,X000027.SZ,X002353.SZ,X600008.SH,X002470.SZ,X600863.SH,X600578.SH,X000831.SZ,X000012.SZ,X600549.SH,X000959.SZ,X000630.SZ,X600307.SH,X600219.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.520296415880625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00272282969786727,0,0,0,0,0.0329919743188157,0.180809683288854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0731990144887204,0,0,0,0,0,0,0,0,0.00518271982788545,0.0191160752250344,0,0,0,0,0,0
X600028.SH,0.648378597092364,0,0,0,0,0,0,0,0.110633092435808,0,0,0,0,0,0,0,0.0320304827736305,0,0,0.014174608854402,0.0331497005184553,0,0,0,0,0.0303500387138114,0,0,0,0,0,0,0,0,0,-0.0114976867013603,0,-0.0848986407111475,0,0.00295166881179139,0,0,0,0,0,0,-0.01504734026449,0,-0.05510890713506,0,0,-0.00785359458991504,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.277568648584859,0,0.213583831652232,0,0,0,0,0,-4.33680868994202e-19,0.00161123711617284,0.0486177091961266,0,0.0267641395248565,0.00405028665254925,0,0.0527278006830602,0.0847823791379685,0,0,0,0,0,0,0,0.0303343483539186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407770686954898,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.161568828590492,0.165524899878188,0.134719421025907,0.0456087482574344,0,0,0,0.423194500473662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,0,0,0,0,0.0908769790363087,0,0,0,0.00347523944141927,0,0,0,0,0,-0.000198584297651543,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.248427566254686,0,0,0,0,0.0429787420920582,0,0,0,0,0.0129876250425782,0,0.0651954470812527,0.246183526479746,0.183835318677475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0396846976994453,0,0,0,0,0,0,0,-0.00152884106319358,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.0734213078455739,0,0,0,0.0925741500745479,0,0.185384179272618,0,0,0,0,0.0231349411126947,0.496262241623229,0,0,0,-0.127903028580008,0.00575706949793136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932305934538156,0,0.0453146383219815,0,0,0,0,0,0,0,0,0,0.0254760173629471,0,0,0,0,0,0
X600585.SH,0,0,0.332234207399297,0,0,0,0,0,0,0,0,0,0,0,0.138948982359869,0,0,0,0,0.112707481031912,-0.0315289797313018,0,0.0107266965841735,0.141879922089151,0,0,0,0,0,-0.0457575995861757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00287229866823896,0,0,0,0,0,0,0
X601600.SH,0,0,0.177843407440588,0,0,0,0,0,0,0.0823146934614306,0,0.0704167102029639,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0186573580097506,0,0.0670280122758564,0,0.035824781157208,0,0,0,0,0,0,0.0634267428909339,0,0,0,0.0495929670498637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501135989985519,0,0,0,0,0,0
X601898.SH,0,0,0.264114592720832,0,0.106825009370979,0,0.0941541272454377,0.132865570563007,0,8.67361737988404e-19,0.0452427976954203,0,0,0,0,0,0,0,0,0.0648443165057342,0.0344479196106819,0,0,0,0,0.154592640268354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408108585373307,0,0,0,0,0,0
X601991.SH,0,0,0,0.211549143990233,0,0,0,0.0349448129078165,0.31013061274901,0,0,0,0,0,0.0345202346066153,0,0,0,0.156725881144779,0.014048160142492,0.186420782164615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530075302403993,0,0,0,0,0,0,0,0,0,0,0,0.137019717205064,0,0,0,0,0,0,0,0,0,0
