,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X600547.SH,X601600.SH,X000792.SZ,X600795.SH,X002466.SZ,X601699.SH,X002460.SZ,X000708.SZ,X600111.SH,X600010.SH,X000301.SZ,X000983.SZ,X600362.SH,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X600160.SH,X600489.SH,X601991.SH,X600985.SH,X000786.SZ,X000408.SZ,X000933.SZ,X002271.SZ,X000807.SZ,X000630.SZ,X600176.SH,X601168.SH,X000932.SZ,X002128.SZ,X600348.SH,X600612.SH,X600219.SH,X600096.SH,X601666.SH,X600995.SH,X000027.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.326227519935281,0,0.121856548421679,0,0,0,3.46944695195361e-18,0,0,0,0,0.14681003149117,-0.12156246859495,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165254915040808,0,0,0,0,0,0,0,0,0.131566857630029,0,0,0,0,0,0,-0.0486540899652873,0.0308870617721236,0,0.0325599325858905,0.125811981140147,0.110808524908695,0,0,0,0
X601088.SH,0.0479091961271279,0,0,0,0.296034103824735,0.170075461599837,0,0.0541894259496827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057532987164746,0,0,0,0,0,0,-0.0810711967003242,-0.141551882268618,0,0.0751937758363335,0,0,0,0,0,0,-0.110581843114888,0.0161199953532114,0,0,0,0,0,0,0.0735845210552923,0,0,0,0,-4.93799098205752e-05,0.000559110333859697,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0124413467621134,0,0,0,-0.19360825082778,0,0.158782057522784,0,0,0,-0.0739620806041014,0,0,0,0,0,0,0,0,0.119071033862949,0,-0.0615222768903497,0,0,0,0,0,0,0,0,-0.0209664010032763,0,0,0,0.0435299731338709,0.166542598828737,0,0,0,0,0,0,0,0,0,0,0,0.00832016456102685,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206262148703446,0,0,0,0,0,0.0920495173776705,0.311454901768363,0,0,0,0.0220541226650869,0,0,0,0,0,0,0,0,0,0,-0.0363468153719041,0,0,0,0,0,0.0773981666727231,0,-0.000965208709541919,0,0,0,0,0,0,0
X600188.SH,0,0.0269442556185237,0,0,0,0.256248763946759,0,0,0,0,0,0,0,0,0.0604426767514474,0,0,-0.0501392226846335,0,0,0,0,0.176863114519902,0,0,0.0441995418661491,0,0,0.0542910866526413,0,0,0,0,0,0,0,0,0,0,0,0,0.0385724706783327,0.238934332324066,0,0,0,0,0,0,0,0,0.00546475516520347,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.153264700236882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36357804223778,0,0.408504891834168,0,0,0,-0.0199425879121004,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.020710017557934,0,0,0,0,0,0,0,-0.0172073660007331,0,0.0912756946069031,0,0,0,0,0
X600019.SH,0,0,0,0,0.0236961666055561,0.131940723436442,0,0,0,0,0,0,0,0,0,0,0.0389436127319415,0,0,0,0,0,0,0,0,0,0,0,0,0.0897661096068614,0,0,0,0,-0.116924289861086,-0.0200788938836757,0,0,0,0.177048572098026,0.084430112653767,0,0,-0.0464428448468163,0,0,0,-0.0317258992810743,0,0,0,0,0.0203772299265316,0,0,0,0,0,0
X600011.SH,0.160243173148906,0,0,0,0.0183927877653976,0.072389047835284,0,0,0,0,0,0,0,0,0.20331102598281,0,0,0,0,0,0,0,0,0,0.276112462944708,-0.0735761381713156,0,0,0,0,0.0900835346689012,0,0,0.0721276317741857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019945547340773,0,0,0,0,-0.00352446549667252,0.0410644059227812,0,0,0,0,0
X600585.SH,0,0,0,0.160426704557085,0,0,0,0,0,0,0,0,0.185545112411744,0,0,0,-0.000535028338281741,0.0221782634747219,0,0,0.111951013322231,0.0320286073115916,0,0,0,0,0,0.0236259707894543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222945578863063,0.0252418743777279,-0.0531816308361246,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0610320555168426,0,0,0,0,0,0.126607146702328,0,0,0,0,0,0,0,0,0,0,0.0546019364770866,0,0.0564554636868779,0,0,-0.0236025060536115,0,0,0,0,-0.0753685056487854,0,0,-0.144118336149017,0,0.144693687255106,0,-0.0571262544383093,0,0,0,0,0,0,0,0.0699314143005004,0,0,0,0.0117630113392785,0,0.0224616937457085,0.299604664574882,0,0,0,0
