,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X601600.SH,X600188.SH,X600547.SH,X600362.SH,X600886.SH,X600795.SH,X000898.SZ,X600027.SH,X601992.SH,X002466.SZ,X600516.SH,X600111.SH,X600176.SH,X000629.SZ,X300072.SZ,X600299.SH,X000709.SZ,X002460.SZ,X600808.SH,X600339.SH,X000825.SZ,X600352.SH,X600801.SH,X000553.SZ,X600583.SH,X002110.SZ,X600426.SH,X601158.SH,X000786.SZ,X000301.SZ,X600489.SH,X000883.SZ,X000932.SZ,X600219.SH,X000792.SZ,X601699.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.226286729877822,0,0,0,0.0640456587811973,-0.112917144789956,0,0,0,0,0.181260290458658,0,0,0,0,0,0,0,0,0,-0.0275032884596606,0,0,0,-0.00914703689058907,0,0,0,-0.0213685890269308,0.0263675674937881,0.163124706488902,0,0,0,0,0,0,0.0165282132636222,0,0,0.104841592424322,0,0,0,0,0,0,0,-0.0193519885016601,0.0287397358024737,0.0308347143857887,0,0,0,0,0,0
X600028.SH,0.380487185695707,0,0,0.328803515119804,0.0747203897046207,0.0899154667983758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341746589160654,0.0985492626159829,0,0,0,0,0,0,0,0,0,0.0448234717690993,0,0,0,0.132973142691326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031316047455533,0.0177280535785628,0,0,0,0,0,0
X601088.SH,0,0.0816497467052757,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.123273611135674,0,0,0,0,0,0.0142306060157892,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0061666583265626,0,0.0355091590786971,0,0,0,0,0,0,0,0.0825964052228147,0,0.0264686153480673,0,0,0.337674398871153,0.0235884718751992,0,-0.0152248026695325,-0.0286819632895997,0,-0.128668807826504,0,0,0,0
X600585.SH,0,0.0580547340074182,0,0,0.106675157107474,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0127984376378554,0,0,0,0,0,0,0,0,0,0,0,0,0.0990490367671866,0,0,0.297662872466808,0,0,0,0,0,0.333931023843093,0,0,0,0,0,0.0221342488242064,0,0,0,-0.0105151526042027,-0.0111606619246446,0,0,0,0,0,0
X600019.SH,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648314624755553,0,0,0.00462027544856303,0,0,0,0,0,0,0,0,0,0,0,0,0.146413590190436,0.0169621310924594,0,0.000400313219751225,0,0,0,0,0,0,0,0,0.0445401743291945,0,0,0,-0.00202778112736576,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105102033746215,0,0.0130788365202602,0.784572385566375,0,0,0,0,0,-0.0509251821220965,0,0,0,0,0,0,0,0.0478607392390647,0,0,0,0.00274805995320868,0,0,0,0,0,0,0,0,0,0,0,0,0.0255740583883238,0.0403390458307292,0,0,0,0,0,0
X600309.SH,0,0,0,0.0634309298447103,0,0,0,-0.355738270599413,0,0.274553794700439,0,0,0,0,0,0,0,0,0,0,0,0,0.37017985786967,0,0,0,0,0.128193635659819,0,0,0,0,0.0911683046524579,0.204843255458742,0.00363277004336193,0,0,0,0.0715377882323559,0,0.0252776432969906,0,0,0,0.00414255009648852,0,0,0,0,0,0.00918897649534694,0.0286369454815161,0,0.371243919204753,0,0,0,0
X600010.SH,0,0,0,-0.105735283854546,0,0,-0.0346107844934291,0,0,0,0,-0.0578621184718426,0,0,0,0,0,0,0.233991367388507,0,0.0594552020526158,0.0441254389884683,0.24847789746421,0.0498172880116155,0,0,0,0,0,0,0,0,0.0145238426483482,0,0,0,0.137044127735465,0,0,0,0,0,0,0,0.014742783631542,0,0.120338151897161,0,0,0.0690613667364799,-0.00323472610217453,-0.00411315860658166,0,0,0,0,0,0
X601898.SH,0,0.155514549215919,0,0,0,-0.017923511579752,0,0,0,0,0,0,0.178802136344344,0.149189038172634,0,0,0,0,0,0,0,0,0,0,0,-0.0142678336344614,0,0,0,0.0857477933317932,0,-0.0225583216498408,0,0,-0.0446851651555797,0,0,0,0,0,0.013950764423827,0,0,0,-0.0207463033364532,0,0.00326639733712923,0.177171727321521,0,0,-0.00727243671555588,0.00376478290267793,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.116638729750552,0.0870105512553345,0,0,0,0,0,0,0,0.201083547226395,0,0,0,0,0,0,0.127039775058344,0,0,0,-0.0131934509076127,0,0.0255582960170679,0,0.0440737652762369,0,0,0,0,0,0,0,0,0.0931733557344423,0,0,0,0,0,0,0,0,0,0.212228887309131,0.0367632013775582,-0.00338644318069336,8.67361737988404e-19,0,0,0,0,0,0
