,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X002466.SZ,X601898.SH,X000792.SZ,X600547.SH,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600027.SH,X600362.SH,X600426.SH,X601991.SH,X601699.SH,X600803.SH,X000983.SZ,X600176.SH,X600489.SH,X000807.SZ,X600995.SH,X000786.SZ,X600219.SH,X600160.SH,X000408.SZ,X600688.SH,X000629.SZ,X300037.SZ,X000932.SZ,X600612.SH,X600096.SH,X000539.SZ,X600157.SH,X000933.SZ,X600985.SH,X002080.SZ,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.722044569314384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154088804738099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148512354698573,0,0,0,0,0,0,0,0.0399770996075161,-0.078369822590314,0.141163135800557,0,0,0,0.022005511406215,0,0.0140949929676422,0.0517640539731161,0,0.0818283076428885,-0.0591315141073188,0.16248906659794,-0.211358957188681,0,0,0,0
X600028.SH,0.731166070206146,0,0,0,-0.126082119697287,0,0.0179362667482958,0,0,-0.0934303507807606,0.0608885564826958,0,0,0.0483677197181083,0,0,0,0,0,0,0,0,0,0,0,0.0718344206714705,0.0606286892087017,0,0,0,-0.0369518828587543,0,0,0,-0.161742050527616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436439691899869,-0.0505757206169473,0,0,0,0,0,0
X601088.SH,0.0937619894344163,0,0,0,-0.244377247141675,0,0,0,0,0,0.252735656688946,0,0,0.0877525621557395,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.044356759504964,0,0,0,0,0,0,0.0351751293234973,0,0,0,0,0,0,0.150272366860701,0,0,0,0,0.146624984348003,0,0,0,0,-0.0324336822297036,-0.00481764072038771,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.126010455338479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23489524438541,0,0,0,0,0,0,0.131166024037987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308336231737705,0,0,-0.0309032691045865,0.0348215775168295,0,0,0,0,0,0
X600188.SH,0.144666707752126,0,0,0,0,0,0,0,0,0,0.0477901770395068,0,0,0,0,0,0,0,0,0,0,0,0.100436987602075,0,0,0,0,0,0,0.132759080313727,0,0.0763171979370706,0,0,0,0,0,0,0,0,0,-0.0152358232398829,0,0,0,0,0.231662845780613,0.162014794418019,0,0,0,-0.0769816080035889,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155363402004928,0,0,0,0,0,0,-0.137287739462624,0,-0.0837837386181165,0.431559957776424,0,0,0,0,0,-0.176144629940189,0,0,0,0,0,0,0,0,0,0,0,0.0366419028396713,-0.120235090024422,0,0,0,0,0,0.0502206924318782,0,0,-0.0101842864187232,0,0,0,0,0,0,0
X600019.SH,0,0.117121460017151,0,0,0.0785709559633887,0,0,0,0,0,0,0,0.0308431672994195,0,0,0,0,0,0,0,0,0,0.0691443644800182,0,0.036755568161006,0,0,0,0,0,0.078040945633218,0,0,0,0,0,0.00969310010365444,0,0,0,-0.0616052822276463,0,0,0,0,0,0,0,0.015037600095894,0,0,0.171569903283139,-0.0383595398485457,0,0,0,0,0,0
X600585.SH,0,0,0,0.0971557223733469,-0.0173487785394587,-0.030203456992625,0,0,0,0,0,0,-0.00449793352934005,0,0,0,0,0,0,0,0.435714550835274,0,0.0599212273879137,0,0,0,0,0,0,0,0.134833627344842,0,0,0,0,0,-0.0214377138400986,-0.0305925602378646,0,0.0388511139308411,0.0433250125930817,0,0,0,0,0,0.0711806509050458,0,-0.0850024418342786,0,0,0.00703181359674479,-0.000957401062027374,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.690721752042989,0,0,0,0,-0.115962637562406,0,0,0,0,0,0.179539691669932,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128454606113295,0,0,0.0943738803424495,0,1.35525271560688e-20,0,0,-0.0511540288855209,0,0,0,0.0345272235796363,0,-3.46944695195361e-18,0,0,-0.00248204643204125,-0.00656133223985883,0,0,0,0,0,0
X002466.SZ,0,-0.160557980400336,0,0,0,0,0,0,0.449011213042979,0,0,0.00793494565901058,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.213373548966706,0,0,0,0,0,0,0,0,-0.0334704888195058,0,0,-0.167687014927625,0,0.114153348320563,0,0,0,0.0576002551444996,0,0,0,0,0,0.16026301911146,0,0.0653521677888939,0,0,0,0.00949062925231512,0,0.511390733602736,0,0,0,0
