,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600795.SH,X300072.SZ,X601600.SH,X600188.SH,X600547.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600886.SH,X600111.SH,X601992.SH,X600309.SH,X600489.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000723.SZ,X000898.SZ,X600352.SH,X600583.SH,X000408.SZ,X000883.SZ,X000959.SZ,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600126.SH,X002470.SZ,X600021.SH,X000630.SZ,X000012.SZ,X600098.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0272903529810048,0,0,0.0203449685012449,0,0,0,0.00249491162414269,-0.00404289899452031,0,0,0,0.0732459335587531,0,0,0,0.0129011189403702,0,0,0,0.0328501766859719,0.00598999513726063,0,-0.00224025993886756,0,0.0556152341686055,0,0,0,0,0,0,0,0,0.0449247141790721,0,0,0,0,0,0,0,-0.011924984500071,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0183956549940325,0,0,0,0,0,0,0,0,0,0,0,0.0289733546305996,0,0,0,0,-0.0214596002121926,0,0,0,0.0537302824254122,0.0181188932908245,0,0,0,0,0.0718918864490419,0,0,0,0,0.00614116087159529,0,0.00981436395953707,0,0,-0.0250674760829659,0,0,0,0,0,0,0.0728002319641016,0,0.000880761401946249,0.00891069608767498,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0513354090789001,0,0,0,0.183510575525488,-0.0142104798813588,0,0,0,0,0,0.070553244310251,0.121143269557004,0.0400459444756758,0,0,-1.0842021724855e-19,0,-3.46944695195361e-18,0,-0.0226070538741101,0,0,0.0369550626255118,0,0,0,0,0,0,0,0,0,0,-0.0182054617542599,0.0094874052506577,-0.0350800305755399,0,0,0,0,0,0,2.8870552614307e-05,0.0742752317046037,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0752418213218895,0,0.119172700889617,0,0,0.150187195414089,0,0,0,0,0,0,0,0,-0.0572342516568304,-0.117535031129549,0,0,-0.0161987923316941,-0.0105887857755208,0,0,0,0.0981387023813336,0,0,0,-0.0590513782522844,0,0.0910664743739994,0,0,-0.140040063893045,0.0210964132870995,0,0,0,0,0,0,0,0.0249614232405004,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0427835710163429,0,0,0,0,0,0,0,-0.0388410815522142,0,0,0,0.032674859948861,0,0.109298831834354,0,0,0,0,0,0,0,0.0171659832622402,0,0.0319662061945603,0,0,0,0,0,0,0,0,0.0872134424788831,0.111343881189375,0,0,0,0,0,0,0,0.0103590641255436,0,0.021747465790282,0,0.00828295866394861,-0.0230838903512015,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0260530739631827,0,0.152351462027714,-0.0325293351445017,0,0,0,0,0,0,0.110672887659127,-0.0434534211994582,0,0.166021545548832,0,0,0,0,-0.202645126652203,0,0,0,0,0,0,0,0,0,0,0.133245039761671,0,0,0,0,0,0,0,-0.0715636544876591,0.0263292459765767,0.0265583552410383,0,0.0494286460007697,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214387892842771,0,0,0,0,0,0,0,0.0146973675810595,-0.0344590828444504,0,0,0.048031771990332,0.0104421711558617,0,-0.0141403146707753,0,0,0,0,0,0,0,0,0.00359705321052099,-0.0139629126436753,0,0,0,-0.0654763380332159,0,0,0,0,0.0219688641439428,0,0.0342632649117632,0,-0.0413657063889256,0.00713972795027224,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0442512145403109,0,0.0967219606569851,0,0,0,0,0.0710188061943304,0,0,0.0451965473340645,0,0.00402555354946261,0,0.0457779552064088,0,0,0,0,0,0,0.0243226186395687,0,0,0,0.0497552582903138,0,0.0851446355746382,0,-0.0902899493594115,0,0,0,0.070010750191001,0,0,0,0,0,0.327993556880223,0,0.0610507810302713,-0.0485437079577173,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0921075264588454,0,0,0.0696473227238654,0,0.0711663627054741,0,0,0,0,0.0202597461408244,0,0,0,0,-0.031528412659481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00938293327892087,0.0610845364635402,0,0,0,-0.0276427889119774,-0.00999522491483393,0.106924011359912,0.175430769565584,0,0,0,0,0,0.00421287755589181,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0236697343958847,0,0,0,0,0.14437404258651,0,0.100209566005689,0.105572535885829,0,0,0,0,0,-0.00666085546198188,0,0,0.00533477383973425,0,0.0899412800573295,0,0,0,0,0.0159078045379635,0,0,0.0074625990936683,0,0,0,0,0.0475452367627478,0,0,0,0,0,0,0,0,0.0134385017478146,0,0,0,0,0,0,0
