,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X600688.SH,X601600.SH,X600660.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X600027.SH,X600111.SH,X600516.SH,X601992.SH,X000629.SZ,X600299.SH,X000709.SZ,X600176.SH,X002466.SZ,X600808.SH,X002460.SZ,X600352.SH,X000825.SZ,X002110.SZ,X600489.SH,X600801.SH,X600339.SH,X300072.SZ,X601158.SH,X600583.SH,X600219.SH,X000553.SZ,X601699.SH,X000883.SZ,X000932.SZ,X000786.SZ,X600426.SH,X000959.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.187560950668898,0,0,0,0.0631562509710855,-0.0192772122920119,0.129511832242314,0.307061921652299,0.105061254494009,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.0687537267711064,0,0,0,0,-0.046544226998541,0,0,0,0.163151378585262,0,0.18581065644251,-0.0324737482860057,0,0.0820727298770873,0,0,0,0,0,0,0,0,0,0,0.00353782217640947,0.024644417172446,0,0,0,0,0,0
X600028.SH,0,0,0,0.203202547381865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195842323302254,0,0,0,0.381121406216852,0,0.00475675922798162,0,0,0,0,0,0,0,0.0794450195086114,0.0240193361165097,0,0,0,0.119091178907987,0,0,0,0,0,0,0,-0.0579631703292115,0,0.0492041616892626,0,0,0,0,0,0
X601088.SH,0.203971552106242,0,0,0,0.052773855789975,0,0,0,0.113048703793472,0,1.73472347597681e-18,0,0.108151086830794,0,0.119495698722605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00881142401359553,0,0,0.04885715183016,0.00580011501818905,0,0,0,0,0,0.0841552359947873,0,0.0435298370623662,0,-1.73472347597681e-18,0,0,0,0,0.0182243229741393,0,0,0,0,0,0
X600019.SH,0,0.101584524548413,0,0,0.0709831016665841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569585793960799,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-1.73472347597681e-18,0,0.0631837511202523,0,0,0,-0.0238501416883336,0,0,0,0,0.120922451037289,0,0,0,0,0,0,-0.00333753111320307,0,0,0,0,0,0
X600585.SH,0,0,0.0314905159871517,0,0,0.0165445435691791,0.0533925207622262,0,0,0,0,0,0,0,0,0,0,0,0.174293784401286,0,0,-4.33680868994202e-19,0,0.0489942294297805,0,0,0,0,0,0,0,0,0,0,0.511138353220976,0.0569976075930635,0,0,0.129796920594204,0,0,0,0,0,0,0.0185508835775565,0,0,0,0.0166606906543295,0.00319286218281163,0,0,0,-0.0190256720533668,0,0
X600011.SH,0,0,0,0,0.126567065793059,0,0,0.00298830365166549,0,0,0,0,0,0,0,0,0,0,0,0.770924406922931,0,0,0,0,0,0,0,0,0,0.0482217158181776,0,0,0,-0.0880485251708394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298014011719131,0.0343459644078009,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131547618578277,-0.33748730906455,0,0,0,0,-0.268584991689132,0,0,0.150336636884379,0,-0.252576690913454,0,0,0,0,0,0,-0.150613027093348,0,0,0,0,0.441744094186061,0,0,-0.102415189822683,0.00648894222087821,0.0341633251958821,0,0,0,0,-0.428672288116332,0
X600010.SH,0.0930614324766679,0,0,0,0,0.0138910560090093,0.109889148450406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022515558637597,0,0.0440912581017079,0,0,0,0.0945773219441115,0,0,0,0.0205369637922156,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0.212313713695596,0,0,0,0,0,0.00532652324300757,-0.0515708817802101,0,0,0,0,0,0
X601898.SH,0.0217389768217224,0,0.356699775731561,0,0,0,0,0,0,0.393659894726096,0,0,0.0509610223461828,0,0.230316576031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113760285152096,-0.0228675234896377,-0.047848101707142,0,0,0,0,0,0
X601991.SH,0,0.0400225167142571,0,0,0,0,0,0.0297504166694977,0.149649363985121,0,0,0,0,0.0347744516937693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078525092913006,0,0,0,0,0,0.0263229311907069,0,0.0561927375093519,0,0,0,0,0,0,0,0.0186072939725649,-0.0241419242687449,0,0,0,0,0,0,0
