,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600111.SH,X600547.SH,X600157.SH,X600362.SH,X600886.SH,X600188.SH,X002466.SZ,X601992.SH,X600623.SH,X600309.SH,X600489.SH,X000792.SZ,X600299.SH,X600660.SH,X300072.SZ,X600549.SH,X601158.SH,X002075.SZ,X600583.SH,X000883.SZ,X000723.SZ,X000709.SZ,X600352.SH,X002407.SZ,X000539.SZ,X000898.SZ,X002460.SZ,X000027.SZ,X000630.SZ,X002470.SZ,X000761.SZ,X000012.SZ,X000060.SZ,X000983.SZ,X600219.SH,X600021.SH,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.108241004733729,0,0,0,0,0,0.073848906961105,0,0,0.00341780436251612,0,0,0,0,-0.0116001580512372,0.16250606877025,0,0,0,0,0,-0.0240285897446808,0,0,3.46944695195361e-18,0,-0.0454399900965558,0,0,0,0,0,-0.0205604862574596,0,0,0,0,0,0,0,0,0,0,0,0,0.00857976434168623,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.125067446884901,0,0,0,0,0,0,0,-0.0226802356326051,0.036455513421573,0,0.0676545735728906,0,0,0,0.0827005965096705,0,0,0,0,0,1.73472347597681e-18,0,0,0.144681096246905,0,-0.0741302582182596,0,0,-0.00585568279752845,0,0,0,0,0,0,0,0,0,0,0.0166456249175938,0,0,0,0.0106710392157594,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.274197562242851,0,0,0,0,0.0216360417076868,-0.0309135727231735,0.0239109600120588,0,0,0.0226704487882729,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0359993200044774,0,0,0,0,0.0625035819440141,0,0,-0.00391997452395035,0,0,0,0,0,0,0,0,0,0.0220240146559707,0,0,0,0,0.0163729554348755,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.156984268064904,0,0,0,0,0,0.0410162236467867,-0.0540316530768882,0.0084458350654032,0,0.142929263756522,0,0.0160279593379137,0,0.0313828272530113,0,0,0.0122066482960074,0,0.0411353367160257,0,3.46944695195361e-18,0.142475953749761,-0.0337017266576648,0,0,0.0135078433278855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00214945904393546,-0.0261589435877832,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.133524545747646,0,0,0,0.400436080819145,0.0338801033316557,0,0.0568609171205453,0,0.0381982252491327,0,0,0.00705934093862086,0,0,0,0.0243622597702112,0,0,0.0381171275594761,0,0.0132798863944605,0,0,0.034717520400275,0,-0.0367079502657995,0.0139755097550481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27722729821558,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0087812972560141,0,0,0,0,0,0.0546142864958705,0,0,0,0,0,0,0.0741405993652093,0.104606659574863,0,0,0,0,0.0622234366511805,0,0,0,0.230650932531969,0,0,0,0,-0.0121266977036581,0,0,0,0,0,0,0,0,0.00429843673370659,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.17700688849107,0.124517435984407,0,0,0,0,-0.0602827088480412,0,0.0246788252361774,0,0,0,0,0.0800145708147653,0,0.0760464388403942,0,0,0,0,0,0.170310484057348,0,3.46944695195361e-18,0,0,0.169049595314523,0,0,0,0,0,0,0,0,0,-0.107766642392829,0,0,0,0.11954788968585,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792104716764419,0,0,0,0,0,0,0,0,0.316084205782437,0.0452028860096433,0.0577167794459373,0.126146259881955,0,0.182025682376688,0,0,0,0,0,0,0,0,0,0,0,0,0.0286008743812697,0,0,0,0,0,-0.0350608813789616,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0523051151842666,0,0,0,0,0,0,0,0,0,0,0,0.00252167010504016,0,0,0,0,0.183623029799763,3.46944695195361e-18,0,0.063891695589264,0.0471564002499048,0,0,0,0,0.076557232983829,0,0,0,0,0,0.0096221559396401,0,0,0,0.0438173009015368,0,0,0.20082316820043,0,0,0.07169426152701,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0414465530033775,0,0,0,0,0,0,0,0.109386455737167,0,0,0,0,0,0,0,0.0616551344824322,0,0,0.0911259386332899,0,0,0,0.0390209171090608,0,0.0478243421445381,0,0,0.053616325263877,0,0,0,0,0.109547907058594,0,0,0,0,0,0,0.204267899347724,0,0,0,0,0,0,0.0157338687446866,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0132301294201311,0.010031899732764,0,0,0,0,0,0.0705665086739623,0,0.0251581157204927,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.049436131114947,0,0.0280069236033111,0,0.0269954283931816,0,0.0959603447305166,0,0,0,0.0131741790603471,0,0,0,0,0.0306302713665769,0,0,0,0,0,0.00408698282483978,0,0,0,0,0.0150881100622509,0,0,0,0,0,0,0
