,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X000709.SZ,X600516.SH,X600299.SH,X600352.SH,X002460.SZ,X600489.SH,X601158.SH,X600808.SH,X000629.SZ,X600219.SH,X600801.SH,X000825.SZ,X000883.SZ,X000786.SZ,X000553.SZ,X000539.SZ,X600612.SH,X600583.SH,X000408.SZ,X002470.SZ,X600021.SH,X002110.SZ,X300072.SZ,X600339.SH,X000301.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0383246980731628,0,0,0,0,0,0,0.21578525338105,0,0,0,0,0,0,0,0.0549887654605498,0,0,0,0,0,0,0,0,-0.0477763333390306,0,0,0,0,0,0,0,0.146828595331316,0,0,0,0,0.0710251586185578,0,0,0,0,0,0,-0.0551049245523688,0.251678116774565,0.0899806948770324,0,0,-0.0304710857463399,0.0268060792085773,0,0,0,-0.0616577468092881,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.369471633829751,0,0,-0.00735405575708212,0,0,0.0100230418358674,0,0,0,0,0,0,0,0.0789489616844206,0,0,0,0,0,0,0.0697250983884764,0,0,0,0,0,0,-0.0599460797113739,0,0.0375345222443543,0,0,0,-0.105184891984446,3.3881317890172e-21,0.447399035816654,0.15046645989825,0,0,0,0.118800766136,0,-0.00339933022458761,0,-0.0674859378483482,0,0
X601088.SH,0.404935562413752,0,0,0.00387094326276248,0,-0.290274538017311,0,0,0,0,0,0,0,0,0,0,0,0,0.176109744808253,0,0,0.0834760339224154,0.110437633494786,0,0,0,0,0,0,0,0,0.0851592370400511,0.0993726784018217,0,0,0,0,0,0,0,-0.139704207544818,0,0,0,0.000117596826163324,0,0,0,0,0,0,-0.000796119509817856,0,-0.0644816751161803,0,0,0,0,0
X600585.SH,0,0,0,0,0.0640340838941969,0,0,0.0246898129725085,0,0,0,0,0,0,0,0,0,0,0,-0.106617108355505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639451000988332,0,0,0,0,-0.0683092277355139,0,0,0.0995202579227904,0,0,0,0,0,0,0,0,-0.0149221243131458,0.031757500591061,0,-0.258450264498124,0,0.011663859783147,0,0
X600019.SH,0,0,0,0,0,0,0.0979700054455061,0,0,0,0,0,0,0,0,0,0,0,0.192873987851515,0,0.318775888493804,0,0,0,0,0,0,0,0,-0.0669046023192289,0,0,0,0,0,0,0,0,0,0,0,0.0838299775049296,0,0,0,0.05079109252229,0,0,1.73472347597681e-18,0,0,0.0118184130076277,0.0112100251116632,0,0,0,0.0214634865758647,0,0
X600011.SH,0,0,0,0.16828526198055,0,0,0.116426401136479,0,0,0,0,0,0,0,0,0,0,0.619492797577473,0,0,0,0,0,0,0,0,0,0,0,-0.209391663011895,0,0,0.0346672606880468,0,0,0,0,0,0,0,0,0,0,0.0288483252745743,0,0,0,-0.0762932702636901,0,0,0,-0.012315368354927,0,0.0232536127688086,0,0,-0.0948099987555879,0,0
X600309.SH,0,0,0,0,0,0.316389413551068,0,0,0,0,0,0,0,0,0,0,0,0,0.253016993523967,0,0,0,0,0.0439608358893616,0,0,0,0,0,-0.193298014877187,0,-0.29789958165517,-0.354834292681537,0,-0.045198425318259,0,0,0.243623064761431,0,0.0296286759636129,0,0,0,0.356845948968111,0,0.319436587740533,0,0,0,0,-0.369206452513172,-0.043121596898221,0,0,0,0,0,0,0
X600010.SH,0,0.147892601940563,0,0,0,0.0012079561251446,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0159274948673551,0,0,-0.0928962872480156,0,0.089327257787111,0,0,0,0,0,0,0,0,0,0.046800421689473,0.177234183909854,0,0,0,0.186434394203021,0.0403087112513861,0,0,0,0,0,0,0,0,0,0,0,0,0.007504365846411,0,0,0,0.0235389746459976,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425891457093201,0,0,0,0,0,0.0252320187045883,0,0.133801183915525,3.46944695195361e-18,0,0,0.64340236869401,0,0,0.0229853933671671,0,-0.0674248471812762,0,0,0,0,0,0,0,0,0,0.0672196472873242,0,0.0955667153278084,0,0,0,0,0.0101653580105873,-0.0336137145621353,0,0,0,0,0,0
X601898.SH,0.166904688935145,0,0,0,0,0,0,0,0,0,0.344262748186702,0,0,0,0,0,0,0,0,0,0,0.0499755472628113,0.0967170568657264,0,0,0,0,0,0,0,0,0,0,0,0.0375326731340608,0,0,0,0,0,0,0,0,0,0,0,0,0.0727159374846656,0.17953569997746,0,0,-0.0208221637455572,0.037522995476864,0,0,0,0,0,0
X601991.SH,0,0.0337979814120086,0,0,0,0,0,0,0,0.121485970522435,0,0,0,0,0,0,0,0.0743573522381514,0,0,0,0.186158968726099,0,0,0.0464263064174223,0,0,0,0,0.0429520683366565,0,0,0,0,0.0313284039184589,0,0,0.0634413813320036,0.0766162922874604,0,-0.0158838546581873,0,0,0,0,0,-0.0152126871657492,0,0,0,0,-0.0111357762501655,0,0,0,0,0,0,0
