,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600299.SH,X600188.SH,X601158.SH,X000027.SZ,X601992.SH,X600583.SH,X000539.SZ,X600309.SH,X000792.SZ,X600623.SH,X002466.SZ,X000630.SZ,X600352.SH,X000709.SZ,X000883.SZ,X000898.SZ,X600660.SH,X600021.SH,X002470.SZ,X600098.SH,X600160.SH,X600863.SH,X601918.SH,X600489.SH,X600808.SH,X600307.SH,X600578.SH,X600547.SH,X000060.SZ,X000629.SZ,X600315.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.656503503810299,0,0,0,0,0,0.039968843084528,0,0.0496299962343809,0.00973275903695659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00800267570797025,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0664733645286137,0,0,-0.0283960687247608,7.00456348377743e-05,0,0.0637741591167744,0,0,0,0
X600028.SH,0.251543242788691,0,0.125991192517841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015003209762067,0,0,0,0,0.186802702578956,0,0,0,0,0.049618934248385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108338609103909,0,-6.93889390390723e-18,0.109999837517033,0,0,0,-0.0100534785774296,0,0.0378994525229579,0.0335671533670994,0,0,0,0
X601088.SH,0,0,0,0.179643451532953,0,0.00895240565891799,0.0039133238553794,0,0,0,0,0.303301953507031,0,0,0,0,0,0,0,0,0,0,0.223954964473529,0,0,0,0,0.0870149343652607,0,0,0,0,0,0,0,0,0,-0.0388475325769906,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118382135568913,-0.0124878929195623,0,0,0,0,0,0
X600011.SH,0,0,0.142152083617539,0,0,0,0,0,0,0,0,0.376935612215308,0.138230184649678,0,0,0,0,-0.0414070963010776,0,0,0,0.105637072720863,0,0,0,0.0551665259396064,-0.0110452308561878,0,0,0,0,0.0860358796097077,0,0,0,0.107336693763974,0,0,0,-0.0549314792083297,0,0,0,0,0,-0.00171731720664784,0,0,0,0,0,0.00195144157424668,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115578658191085,0.0397403521336832,0,0.120520297877006,0,0,0,0,0,0,0,0,0.0843177556093216,0.0871277638383135,0,-1.73472347597681e-18,0.164806658925894,0.321296390290902,0,0,0,0,-0.0467355581248737,0,0.0202210633350842,0,0,0.0647236410143633,0,0,0.0813414061899339,0,0,0,0,0,0,-0.036043159652842,0,0,0,0,0
X600019.SH,0,0,0,0,0.0312308320536319,0,0,0,0,0.156830559800795,0,0.111498964154893,0.0651052370054133,0,0,0,6.93889390390723e-18,0,0.021577244049518,0,0,0,0.106062967485449,0,0,0,0,0.0436001497264022,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.164538758651828,0,0.0116532595658907,0,0.0513522110164627,0,0,0,0,0,0.0323857139980627,0,-0.0215899473143261,0,0,0,0,0,0,0
X600585.SH,0,0,0.389224210997199,0,0.00130114551345488,0,0,0,0,0,0.021862174320105,0,0,0.116746022680699,0,0,0.106156866355703,0,0,0.00103147120733757,0,0,0.0752804279013546,0,0.154811731102349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211993041629428,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.295525032592456,0,0,0,0,0.165025048824407,0,0,0,0,0.0460382054726376,0.0584949770070713,0,0,0,0,0,0,0.00551966459719991,0,0,0,0,0,0,0.196960451315654,0,0,2.16840434497101e-19,0,0.144814703924347,0,0,0,0.0189979972573966,0,0,0,0,-0.0643519247688645,0,-0.0400362312217379,0.00917112248665229,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.283968686515345,0,0,0.0869391956465432,0,0,0,0,0,0,0,0.159612961718423,0,0,0.00452556412486448,0.0219769641476794,0,0,0,0.146643674449385,0,0,0,0,0,0,0.0851544256932247,0,0,0,0,0,0,0,0,0,0,0,-0.0257455211116454,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0990565486296147,0,0,0,0,0,0,0.181111713560909,0,0,0.0157841309904622,0,0.0742207402138941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156304906120213,0,0.019137013554916,0.176229482004713,0,0.117870096557467,0,0,0,0.164185622365058,0,0,0,-0.0271082519635878,0.0174038230671135,0,0,0,0,0,0
