,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600886.SH,X600585.SH,X600660.SH,X600011.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X002460.SZ,X000301.SZ,X600160.SH,X600426.SH,X000983.SZ,X601699.SH,X002466.SZ,X000786.SZ,X600219.SH,X600176.SH,X002128.SZ,X000807.SZ,X000630.SZ,X600985.SH,X600096.SH,X601168.SH,X000877.SZ,X000933.SZ,X000408.SZ,X000883.SZ,X000027.SZ,X600995.SH,X002353.SZ,X600378.SH,X000932.SZ,X600688.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.617069319448509,0.158233691435586,0,0,0.033311453819946,0,0,0.132578470557385,0,0,0,0.130404863194672,0.0295413393008506,0,0.153759628977282,0,0,0,0,0,0,0,-0.0358889546393661,0,0,0,0,0,0,-0.00935359005559923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668265749669363,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.043322426162852,0,0
X600028.SH,0.500988993413596,0,0.1193107560512,0,0.0331307414086359,0,0.0293928083293984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00428225557100098,0,0,0,0,0,0,0,0,0,0,0,-0.0166241756852216,0.0548005450197999,0,0,0,0,0,0,0,0.057927775939871,0.079277729688365,-0.0511535372069325,0,0,0,0.0168544696749554,0,0
X601088.SH,0,0.231988458294091,0,0,0,0.19378298693987,0,0,0,0.0978348501579193,0,0,0.143098812622098,0,0,0,0,0,0,0,0.177003099051359,-0.0700658403534339,0,-0.0635921278868083,0,0,-0.102304544883757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0609752164816446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196875764013609,0,0
X600309.SH,0,0,0,0,-0.0124495264651315,-0.0310376768977017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783095352914576,-0.20767595484711,0,0,0,0,0.213716842346169,0,0,0.00815756402341612,0,0,0,0.412536971452475,0,0,0,0,0,0.0540982060289593,0.0374056671308129,0,0,0,0,0,0.0584280407535405,0,0,0,0,-0.0597536951296553,-0.022486374604094,-2.16840434497101e-19,0,0,-0.00636452267509203,0,0
X601898.SH,0,0.271874330746631,0.0103508435333263,0,0,0.16402212669712,0,0,0.0903279924288161,0,0,0,0.190810039449692,0,0,0,0,0,0,0,0,0.108894846591283,0,0,0,0,0,0,0.145469304722039,0,0,0,0,0,0,0,0,0,0.0431032440212689,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.00392752438748311,0,0,0,0,0,0,0
X600188.SH,0,0,0.105291926500851,0,0.185164018846626,0,0,0,0,0,0,0,0.170268988960335,0,0,0,0,0,0,0,0,-0.10963348799547,0,0,0,0,0,0.150716451999597,0.480785096580057,0,-0.0788558276953237,0,0,0,-0.283022153657259,0,0.365952324528847,-0.0567862038094107,0,0,0,0,0,0,0,-0.0971229498579489,0,0,0,0,0,0,0.0399453773606098,0,0,0,0.012054245061773,0,0
X600019.SH,0,0.284198974472791,0,0,0.118786110618789,0,0,0,0,0,0,0.227813438717277,0,0,0,0,0,0,0,0.126263365741004,-0.0827986584825856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827970600113051,0,0,0,0,0,0,0,-0.10282204740329,0.134259230441005,0,0,0,0.15265142155099,0,0,0,0,-0.00990220173128113,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609531242736863,0.151608285332418,0,0.0950351973322738,0,0,0.00931735611196804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714538076976138,0,0,0,0,0,0,0,0,0,0,-0.248500768849863,0.153630242413845,-0.0641682433062983,0,0,0,0,0.038558992978248,0,0
X600886.SH,0.271939743737269,0,0,0,0,0,-0.136193208701089,0,0,-0.0301316982856275,0,0,0,0.325912365271562,0,0.129703028477265,0,0,0,0,0,0,0,0,0,0,0.0416848069867303,0,0,0,-0.110194695132938,0,-0.174671402163074,0,0,0,0,0,0,0,-0.019002378266984,-0.397203209690311,0,0,0,0,0.0292398450401758,0,0,0,0,-0.0541553870494267,-0.00953269333917948,0.0493108612016513,0,0,-0.000670655876741145,0,0
X600585.SH,0,0,0,0.0815836477516958,0,0,0,0,0,0,0,0,0,0,0.180398016180063,0,0,0,0,0,0,-0.0382528567518987,0,0,0.00103412443720183,-0.0384541167605882,0,0,0,0.0970421288751984,0.032181233940453,0,0.100336666211731,0,0,0,0,0.0233710449847747,0,0,0,0,0.0662559115998174,0,0,0,-0.0378772751030559,0,0,0,0,0,0,0,-0.0804282482611219,0,0,0,0
