,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X601898.SH,X600019.SH,X600585.SH,X600795.SH,X601600.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X600157.SH,X000709.SZ,X600188.SH,X600362.SH,X600111.SH,X600583.SH,X601158.SH,X002075.SZ,X601992.SH,X600309.SH,X000539.SZ,X000027.SZ,X000898.SZ,X600352.SH,X600021.SH,X000883.SZ,X002353.SZ,X601918.SH,X002470.SZ,X000629.SZ,X000792.SZ,X600808.SH,X600307.SH,X600863.SH,X000878.SZ,X600660.SH,X600098.SH,X600489.SH,X000060.SZ,X600578.SH,X000825.SZ,X600547.SH,X600008.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.87003838342899,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0156215769896801,0,0,0,0,0,0,-0.0913065002535357,0,0,0,0,0,0,0,0,0.0267370296785176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00889877390318635,0.027171251209297,-0.0558212181149562,0,0,0,0,0,0
X600028.SH,0.433371121964628,0,0,0,0,0.0510902181904975,0.135861045514791,0,0,0,0,0,0,0,0,0,0.0271520539431189,0,0,0.0999335758059513,0.030390599087565,0,0,0,0,0,0,0,0,0,0,0.0632642108155754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200713676775113,0,0.0114724214792118,0,0,0,0,0
X601088.SH,0.0287950064518236,0.236801700933457,0,0,0.0765415989898867,0.120232397051391,0,0,0,0,0,0.093903479696784,0,0,0,0,0.0170752638684055,0,0,0,0,0,0,0.0434657917094759,0,0,0,0,0,0,0,0,0,0,0.0633432440066047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00385225303322754,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,6.93889390390723e-18,0.18703569401598,0,0,0,0.100964451521647,0,0.180430218677878,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-6.93889390390723e-18,0.0100658946800875,0,0,0,0,0.0218632627985587,0,0,0,0.0768961859522208,0,0,0,0,0,0,0,0.261686598433618,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.306388144227621,0,0,0,0,0,0,0,0,0.271550994269387,0.0470822804030621,0.028487727546239,0,0,0,0,0,0,0,0,0,0,-0.0138469803185117,0,0,0,0,0,0.0558779288074692,0,0,0,0,0,0.0441314253163906,0.0810277331693681,0,0,0,0,0,0,0,-0.0400547128433123,0,0,0,0,0,0
X601898.SH,0,-0.0416876718502443,0,0,0,0,0,0,0,0.19628791444028,0,0,0,0,0,0,0.340654077990079,0,0,0.279987158303578,0.07545917142497,0,0,0,-0.0814278481101503,0,0,0,-0.00890947219239207,0,0,0.0770018286605802,0,0,0,-0.0897025261978855,0,0,0,0,0,0,0,0.213356536849691,0,0,0,0,0,0,4.33680868994202e-19,0,0.0650918133699987,0,0,0,0
X600019.SH,0.0244962913696654,0.0405500402527527,0.179834985485744,0.0486890699497735,0,0,0,0,0,0,0,0,0.0963796954218388,0,0,0,0,0,0,0,0,0,0,0.0317743529618872,0,0,0.34428733890485,0,0,0,0,0.0212920040273719,0,0,0.0446587135854466,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0344248721935495,0,-0.0267427773891072,0,0,0,0,0,0
X600585.SH,0,0,0.110124385615692,0.131441685209281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573290324803911,3.46944695195361e-18,0,0,0,0,0,0.0967468961091142,0.115896611156763,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.196496092787152,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0.131749321149162,0,0,0,0.155646154030407,0,0,0,0,0,0,0,0,0,0.07334693681643,0,0,0.108983398091832,0,0,0,0,0,0.0440333463279677,0,0,0.0355845548521004,0,0.0629731937907428,0,0,0,0.028357721804281,0,0,0,0,0,0.121577761954743,0,0.0491902384568328,0.00876167646382134,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0.0455390837997847,0.185714137703576,0,0,0.177829070867022,0,0,0,0.260633844093592,0,0,0,0,0,0.237150260890609,0,0,0,0,0,0,0,0,0,0,-0.0865311611715272,0,0,0,0,0,0,0,0.116866397656642,0,0,0,0,0,0,0,0,0,0,0,0.00521992493500005,-0.049701741228995,0,0,0,0,0,0
