,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X002460.SZ,X600547.SH,X601898.SH,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600027.SH,X600176.SH,X601991.SH,X600803.SH,X600489.SH,X000807.SZ,X000983.SZ,X601699.SH,X000786.SZ,X600160.SH,X000932.SZ,X000408.SZ,X600219.SH,X002080.SZ,X000539.SZ,X000629.SZ,X300037.SZ,X600995.SH,X600688.SH,X000630.SZ,X000933.SZ,X002409.SZ,X000723.SZ,X600157.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.16348133177736,0,0,0,-0.0997418135607864,0,0,0,0.00791242844956552,0,0,0.0229935574356437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19910076330383,0,0,0,0,0.223280662195038,0,0,0,0.040102267069675,0,0,0,0,0,0,0,-0.0768540841899581,0.0457865473046405,0,0,0,0.103740039503658,-0.167202309470196,0.123162266821718,0,0,0,0,0
X600028.SH,0.676729845492839,0,0,0,1.73472347597681e-18,0,0.219778922862984,0,0,0,0.0738851969491776,0,0,-0.0300909568478322,0,0,0,0,0,-0.0770771938187497,-0.0775738329253156,0,0,0,0,-0.00980848512354728,0,0,0.0613159106171604,-0.0656233993152815,0,0,0,-0.0539969490128612,0,0,0,0,0,0,0,-0.116067910245997,-0.093734788035513,0,0,0,-0.0196367398684941,0,0,-0.0367416648088599,0,0,0.041116996053254,0,0,0,0,0,0
X601088.SH,0.00323405342255509,0,0,0,0,0,0,0.343026943798465,0,0,0,0,0,0,0,0,0.0762635136291774,0,0,0,0,0,0,0.00962906513561687,0,0,0.00794192938611156,0,0,0,0.14306794627871,0,0,0,-0.0317407350360013,0,0,0,0,-0.054602722827137,0,0,0,0,0,0,0.0867908322872177,0.0690203879669417,0,0,0,0.0176083314358769,0,0,0,0,0,0,0
X600309.SH,-0.0433228621739414,0,0,0,-0.0627455238768013,0,0.128703699099111,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0175129769241062,0,0.0185275079488134,0,0,0,0,0.115336061601761,0,0,0,0,0,0,0,0,0,0.0519968549395767,0.0263365773667963,0,0,0,0.200301982332451,0,0,0.0163856381558923,0,0,0,0,-0.0156221126805424,0,0,0.0506116157381381,0,0.0009311714516974,-0.0156796581041804,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.274246622046855,0,0,0,0,0,-0.154463912132892,0,0,0.341529071985719,0,0,0,0,0,0,0,0,0,0.33257003474598,0,0.499311263247685,0,0,0,0,0,-0.155431408128282,0,0,0,0,-0.280582162920408,0,0,0,0,0,0,0,0,0,0,0,0,0.0544661559815006,-0.0777090545779883,0,0,0,0,0,0
X600019.SH,0,0.118854856662799,0,0,0,0,0.135530597915102,0,0,0,0,0.00493056654926416,-0.0494668583598114,0,0,0,0,0,0,0,0.0467326809850091,0,0,0.0556802482225976,0,0.0226644820173699,0,0,0,0,0.0900258892813151,0,0.173365973554187,0,-0.00327106023850932,0.259350983821929,0,0,0,0,0,-0.0358748314872743,0,0,0,0,0,0,0,0,0,0.0281385486052749,-3.46944695195361e-18,0,0,0,0,0,0
X600585.SH,-0.0154440527197441,0,0,0,0.174116222589127,0.389195047605321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239941249229999,0,0,0,0,0,0,0,0,0,0,0.273690810415741,0,0,0.0925468117831242,0,0,0,0,0,0.0925985998955538,-0.0668868553007645,-0.0678742248384067,0,0,0,-0.0419840042340952,-0.00935842641347101,0,0,0,0,0,0
X600188.SH,0,0,0.374088106573243,0,0,0,0,0,0,-0.0924062099073066,0.160131528653675,0,0,0,0,-0.0422018296753515,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.363330984592875,0.169826416678244,0,0.411975215742618,0,0,-0.312743618946294,0,0,0,0,0.398799079719177,0,0,0,0,0,0,5.28213999219994e-05,0,0,0,0.114215587612543,-0.229985490930038,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,-0.0507451545142012,0,0,0.575807650617228,0,0,0,0,0,0,0,0,0,0,0,0.0716101703442471,0,0,0,0,0,0,0,0,0,0,0.249381673672867,0.1828821566211,0,0,0.0117294866039931,0,0.0448601932051892,0.0295155785634392,0,0,0,0,0,0,0.123501251269978,0.036835057311665,0.00339131213290073,0,0,0,0,0,0,0
X600547.SH,0.00896122823355452,0,0,0,0,0,0,0,-0.094152304251511,0,0,0,0,0,0,0,0,0,-0.215181115375905,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.661476613238013,0.140799177868282,0,0,0,0,0,0,0.132873021739583,0,0.0570505039901239,0,-0.0183686708791731,0.0369895535653823,0,0,0.0200189402197571,0.0433092752121388,-0.0577037472389696,-0.284162643123831,0,0,-0.00633436474876537,0,0,0,0,0,0,0
