,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X300072.SZ,X600489.SH,X601992.SH,X600660.SH,X600309.SH,X600299.SH,X600623.SH,X000792.SZ,X002466.SZ,X002075.SZ,X000709.SZ,X601158.SH,X000898.SZ,X000408.SZ,X000723.SZ,X600583.SH,X600352.SH,X000883.SZ,X000983.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X000959.SZ,X002470.SZ,X600021.SH,X000630.SZ,X002460.SZ,X000012.SZ,X601699.SH,X002407.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0515439687189062,0.0241377934683448,0,0,0,0.0101354667169929,0,0,0,0,0,0.0361641566813417,0,0,0,0.0243719391051051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136270283730324,0.0817629664646226,0,0,0,0,0.00133310425187972,0,0,-0.00510544316828773,0,0,-0.0219217581086212,0,0,0,0
X600028.SH,0,0,0,0.0370736943696291,0.0241269455279962,0.0198565512534672,0,0,0.0374988658910832,0.0271708247153284,-0.0166859379360907,0,0,0,0,0,0,0,0,0.0214922698373089,-0.0270402147529379,0,0,0,0,0,0,0,0.0238942664659887,0,0,0,0.0734718997180109,0,0,0,0,0.0365029530517074,0.0320611436540876,0,-0.0034462109992017,0,0,0,0,0,0,0,0.00835623797877561,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0578256786164981,0.0298480705410079,0,0,0.071991804650887,0.117971460367554,0,0,0,0,0,0,0,0,0,0.0051104540366163,0,0.0349879408558697,0,0.0371373940950947,0,0.0406982090653837,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0672856795562385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924890218658496,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.132329670893392,0,0,0,0,0,0,0,0,0,0.0186282825265384,0,0,0,0.0802514090056933,0,-0.0207480109151684,0.0292916313853,0,0,0,0,0,0.126665821722596,0,0,0.15689548395081,0,0,0,0,-0.10441519283802,0,0,0.0572205429054741,0,0,0,0,0,0,0,-0.0155050084679026,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.238090596290642,0,0.0176557506139385,0,0,0,0,0.150239189879923,0,0,0.00992044250080258,0,0.199867863497277,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0425590682329699,0.0966356476980178,0,0,0,0,0,0,0,0,0,0,-0.0038589925215416,0,0,0.00656612871628466,0,0,0,0.0148753647260845,0,0,0,-0.00126202227019564,-0.000213377132184272,0,-0.108450597205858,0,0,0,0
X600585.SH,0,0,0,0,0.256702054730525,0,0,0,0.031512444592127,0.0478973391842125,-0.0202269824769829,0,0,0,0,0,0,0,0,0,0,0.0172275945226951,0.24866133190343,0,0,0.174227160411664,0.0660024531464909,0,-0.14091678971149,0,0,0,0,0,0,0,0.0712456490072641,0,0.0597840127194436,0,0,0,0,0,0,0,0,-0.172325918675321,0,0,0,0.0125265174874856,0.127571198293461,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0755427410351843,0,0,0,0,0,0,0,0,0.0181571172245671,0,0,0,0.0282619575725549,0,0,0,0,0.0145084800094225,0,0,0,0,0,0,0,0,-0.0093330882354854,0.0426396220180575,0,-0.0110777350445656,0,0,0.0443417890937528,0,-0.00184193969185935,0,0,-0.022922702343655,0,0,-0.0575829237787534,2.16840434497101e-19,-0.00662665160290345,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.164668587740451,0,0,0,0,0,0,0,0,0,0,0.0391885027349699,0,0,0.00576013157698904,0,0.117018812186691,0,0,0.0493849909169056,0.0739603424740548,0,0.0197315155129683,0.0683756907907501,0,0,0,0,0,-0.0760712389953244,0,0,0,0.0309523442609929,0,0,0,0,0,0.346951217349308,0.0672508303969527,0,0.00197475358196091,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0739002983659491,0,0,0,0,0,0,0,0,0,0,0,0,-0.0534016824727274,0,0,0,0,0.0743131757732166,0,0,0.0484885560613376,0,0,0,0,0,0,0.140452975099613,0,0.133933066223631,0,0,0.00488119059558791,0,0,0.154410086083491,0.0426878952234677,0,0.0498821657481173,0.0259530426085147,0.0225898962842021,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11855750173683,0,0,0,0.0751962533759376,0,0.081668327514043,0,0,0,0,0,0,0,0,0,0,0,0.679939761072666,0,0,0,0,0,0,0,0,-0.00407375142851217,0.161268618689556,0,0,0,0.00116134888979856,0.266945093521577,0,0,0,0,0,0
