,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600795.SH,X601600.SH,X600027.SH,X601991.SH,X600111.SH,X600188.SH,X600547.SH,X600157.SH,X600362.SH,X600886.SH,X002466.SZ,X600623.SH,X601992.SH,X000792.SZ,X600309.SH,X600299.SH,X600489.SH,X600660.SH,X300072.SZ,X600549.SH,X002075.SZ,X601158.SH,X600583.SH,X000883.SZ,X000723.SZ,X000709.SZ,X600352.SH,X000539.SZ,X000898.SZ,X002407.SZ,X002460.SZ,X000027.SZ,X002470.SZ,X000983.SZ,X000630.SZ,X000761.SZ,X000012.SZ,X000060.SZ,X600176.SH,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0899403068945556,0,0,0,0,0.0448460363357811,0,0,0,0.0155061048803993,0,0,-0.0078128909422226,0,0,0.184351245608518,0,0,0,0,-0.021599805678515,0,0,0,0,-0.0390907183890591,0,0,0,0,0,-0.0336820401156379,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.00393903410907162,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.168647788961811,0,0,0,0,0,0.0275852213379471,-0.0218676437700146,-0.018003337358652,0.00995214124862172,0,0,0,0,0,0.00793986202890353,0,0,0,0,0,0,0,0.235618001524066,0,-0.0708117976760746,0,0,0,0,-0.0142733172498265,-0.0256853150982853,0,0.0199394064931752,0,0,0,0,0,0,0,0.0855205744132674,0,0,0.0190675457020739,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.266232448361576,0,0,0,0,0,0.0236979604400454,0.00864623205578573,-0.0253221628110465,0.00363669089534121,0,0,0,0,0,0,0,0,0,0,0,0.0389437319286892,0,0,0,0,0.0579006163069355,0,0,0,0,-0.00757787957661038,0,0,0,0.0430058419282095,0,0,0,0,0,0,0,0,0,0.0159593474992069,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0195596142138722,0,0.132604850642271,0,0,0.156732148801101,0,0.0382255832142607,0,-0.0386546725858617,0,0,0.239956882424144,0.0364390380433187,0.0584424574083692,0,0,0,0,0,0,0,0,-0.0292075536705063,0,0,0,0.0191465480722154,0,0,0,0,0,0,6.93889390390723e-18,0,0.0144291071108625,0,0,0,0,0,0,0,0,-0.00745788571600994,-0.00801742261951402,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0112317076853271,0,0,0,0,0.400420849140965,0,0,0,0,0,0,0.0276653036550721,0,0,0,0.0428462897288596,0,0,0,0,0,0,0,0,0.171566314978524,0,0,0,0,0,0,0,0.0455103686777363,0,0,0,0,0,0,0,-0.00376197771495573,0,-0.00144525321082422,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00381127194963501,0,0,0,0.0207831955262737,0,0,0,0,0,0,0,0.0612794620176724,0.023434488982396,0.12984642243757,0,0,0,0.0627060436794351,-8.67361737988404e-19,0,0.277864120795953,-0.0361377018313317,0,0,0,0,-0.028456670160906,-0.0341373030455368,0,0,0,0,0,0,0,0.0269690420744024,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0515414650256066,0,0,0,0,0,0,0,0.193761202310972,0,0.105039348631948,0.0791496841976664,0,0,-0.0656912069228788,0,0,0,0.0394922165629074,0.0657709043274549,0,0,0,0.0989765727357398,-0.0683852926963304,0,0,0,0.0539878585244664,0,0.20719812545036,0,0,-3.46944695195361e-18,0.143241374649435,0,0,0,0,0,0,0,-0.145514607788395,0,0,0,0,0,0.157144585334686,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0290575330501349,0,0.138448091887227,0,0,0,0,0,0,0,0,0,0,0,0.174822793184637,0,0,0,0,0.0698330522286533,0.0299536055146504,0.0392387979222265,0,0,0,0.0529947614919418,0,0,0,0,0,0,0,0,0.136529584772984,0.0230395613572069,0.0654398396901525,0,0,0.0444678942231118,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296942235977928,0,0,0,0,0,0.106207701741071,0,0.149257046674709,0,0,0.199369037211503,0.0906943276322394,0.0738981213252741,0,0.00315483223922851,0.258564987201521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348296098101687,0,0,0,0,-0.0301861992883641,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188482924936711,0.0563667487703657,0,0.0140544251430921,0,0,0.00971562160061614,0,0,0,0,0,0,0,0.0306031505159139,0,0,0,0.107133804508197,0,0,0,0,0,0,0,0,0,0,0.0268087521229956,0,0,0,0,0,0,0,0,0,0.0346799846344326,0,0,0,0,0,0
