,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000877.SZ,X000301.SZ,X002271.SZ,X600027.SH,X600795.SH,X601991.SH,X600362.SH,X600426.SH,X600803.SH,X000983.SZ,X600176.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X000408.SZ,X000539.SZ,X600219.SH,X600160.SH,X600995.SH,X300037.SZ,X000629.SZ,X000932.SZ,X600688.SH,X600612.SH,X002409.SZ,X002080.SZ,X000027.SZ,X000933.SZ,X600157.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.681870009966406,0,0,0.0455054580656821,0.188902584381444,0,0,0,0,0,0,0,0,0,-0.0910775166463885,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0226908108011421,0.0777169018956943,0,0,0,0,0.0738846871357398,0,0,0,-0.138680702277118,0,0.13266609046194,0,0,0,0.0582663911507909,0,0,0,0.0346126925714649,0,0.379416684583568,-0.0677658004345067,0,0,0,0
X600028.SH,0.708741913071078,0,0,0,0,-0.0855909375629743,0,0,0,-0.0663847849586773,0.0872293443651649,0.0482291673124559,0,0,0,0,0,0,0,0,0,-0.0245965260191045,0,0,0.0655930844836793,0,0,0,0,-0.0473666653096922,0,0,0,-0.0195577938405016,0,0,0,-0.00801574986908675,0,-8.67361737988404e-19,0,0,0,-0.0120423309300992,0.0107542683322035,0,0,0,0,0,0,0.0111137363202226,0,0,0,0,0,0,0
X601088.SH,0.101876826303888,0.115212962788249,0,0,0,-0.148292588803958,0,0.0630323486792283,0,0,0,0.371621729065338,0,0,0,0,0,0,0,0,-0.0864052303880518,0,0,0,0.061680075050027,0,0,0,0,0,0,0,0,0.207223093204907,0,0,0,0,0,0,-0.0252543237307505,0,0,0,-0.0146089362206195,0,0,0.241261046108196,0,0,0.0584837481045298,-0.0400850319794693,0,-0.0489329278741777,0,0,0,0,0
X600309.SH,0,0,0,0,-0.218409300492322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.147406318633761,0.015650541724986,0,0.126847211728044,0,0,0.0222340640803049,0,0,0,0,0.011082510778688,0,0,0,0,0,0,-0.0102371330610287,0.00215989931113224,0,0.0246565427598704,0,0,0,0,-0.00960179392819947,0.0539226362416385,0,0,0,0,0
X600011.SH,0,-0.0344768916557302,0,0,0,-0.0587789730727808,0,0,0,0,0,-0.124143161109529,0,0,0,0,0,0,0,0,0,0,0.0790972613569642,0.601143204898854,0.230607533919773,0,0,-0.0406952570481094,0,0,0,0,0,0,-0.318761344997805,0,0,0,0,0,0,0,0,0,0,0.152966794602166,0.0729055687472337,0,0,0,0,0.0409309892560073,0,0,0,0,0,0,0
X600188.SH,0.0921047996681989,0,0.0296759851706387,0,0,0,0,0.095598217056232,0,0.0290769201046203,0,0.300667580543618,0,0,0,0,0,0,0.348127998107958,-0.0657051773346038,0,0.0869250213213712,0,0,0,0,0,0,0,0,-0.151221438875454,0.265234819961839,0,0,0,-0.0650732802855511,0,0,0,0.245468049429683,0,0,0,0,0.00569034648648226,0,0,0.238497442047599,0,0,0,-0.115773340639741,0,-0.114354862404845,0,0,0,0,0
X600585.SH,0,0,0,0.120947252276577,0,-0.0588383971016463,0,0.139531858670234,0,0,0,0,0,0,0,0,0,0,0,0.101351792706264,0,0,-0.0917699569923566,0,0,0,0,0.00482150250080194,0,0,0,0,0,0.223166332611081,0,0,0,0,0,0,0,0,0,0,0,0.00282080572590038,0,0,0,0,0,-0.0158435078645055,0,-0.0612065107048847,0,0,0,0,0
X600019.SH,0,0.00856875893197307,0,0,0,0.153840875261073,0.016284019565444,0,0,-0.0523521823568771,0.0662735147853061,0,0,0.0260046424108815,0,0,0,0,0,0,0,0,0,0,0.0669019807230424,0.0890197394922263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280137439450559,-0.0379636661187182,0,0,0,0,0,0,0.0559875309882918,0.0444308064811312,0.0222223098923669,0,0,0,0,0,0
X002460.SZ,-0.0208357211421145,0,0,0,0,0,0,0,0,0.596222708246613,-0.116479317492794,0,0,0,0,0,0,0,0,0.160914855130746,0,0,0,0,0,0,0,0,0,0,-0.0203968869681218,0,0,0,0.130952442126664,0.0223472723814943,0,0,0,0,0,0,0,-0.00247265937284954,0,0,0,0,0,0,0.229795364697089,0.0469359986881094,0,0,0,0,0,0,0
X002466.SZ,0,-0.0888012282037083,0,0,0,0,0,0,0.33917979042431,0,0,0,0.289946445008822,0,0,0,0,0,0,0,0.141359352526088,0.179164568527972,-0.102181911908803,0,0,0,0,0,0.0303680352959594,0,0,0.149343544831087,0,0,0,0,0,0.0857353657926815,0.0949318244396035,0,0,0,0,0,0.0295672653846173,0.0193606713418008,0,0.193077993557558,0,0,0,0,0.0464557965856753,0,0,0,0,0,0
X600547.SH,0.0395639952346503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455871686353189,0,0,0.0168796807194966,0,0,0,0,0,0,0,0,0.638588563152579,0,0,0,0,0.0874857608150925,0,-0.0291349974199609,-0.0517112724547086,0,0,-0.0204048747199823,0,0,0.0120662533816035,0.0131852290666394,0,0,0,0,0,-0.0120976988540821,-0.0251798140716374,0,0,0,0,0,0
X601898.SH,0,0.142558363846712,0.472353887733143,0,0,0.245213810258159,0,0,0.0227003706512194,0.1589681837041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09164382907896,0.254350009733616,0,0,0,0,-0.432366102930506,0,0,0,0,0.046060130660376,0,-0.0116214115176378,0,0,0,0.0118099693896707,0.116980434206418,0,0,-0.184655783188928,0,0,0,0.0338164205375909,0.0619520436086921,0,0,0,0,0,0
X000792.SZ,0.0069246189968506,0,0,0,0,0.0808591980072513,0,0,0,0.343409072822738,0,0.045569308817112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151258064457089,0,0.059326054434348,0.101715191473537,0,0,0.107589830495229,0,0,0,0.0400083093107732,0,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.0326131923108164,0,0,0,0,0,0,0
X601600.SH,0.174066943636963,0,0,0,0.0435814151840799,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208428443433966,0,0.581389281814895,0.152836839864336,0,0,0,0,0,-0.0341426937194468,0,0,0,0,0.0148718062929207,0,0,0,0,0.158348176115304,-0.0580467329422844,0,0.0897589446343687,-0.154886887604127,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21659809980422,0,0.165070076765431,0,0.209238743340197,0,0.156180925272334,0,0,0,0.2050378228835,0.164068623985652,0.0203019058043004,-0.145475465013929,-0.0706111726390501,0,0,6.93889390390723e-18,0,0,0,0,-0.186169015546707,0,0,0,0,-0.0438064392265264,0,0,0,0.109799572951508,0,-0.0946013600742626,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0751322299597361,0,0,0,0.117891762193691,0,0.0541915773604932,0,0,0.00242867209981127,0.0500640280961805,0.052389218197167,0,0,0,0,0.193225896776921,0,0.0692236146160707,0,0,0.0193690984339932,0,0.0200991631238994,0,0,0,0.10852870191153,0,0.0180097388272263,0,0,0,0,0,0,0
