,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600426.SH,X002271.SZ,X600362.SH,X600795.SH,X600027.SH,X600803.SH,X601991.SH,X600176.SH,X600489.SH,X601699.SH,X000983.SZ,X000807.SZ,X000786.SZ,X600160.SH,X000539.SZ,X000408.SZ,X300037.SZ,X000629.SZ,X000932.SZ,X600219.SH,X002409.SZ,X600995.SH,X600612.SH,X002080.SZ,X600688.SH,X600096.SH,X000723.SZ,X600378.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.534926529782621,0,0,0,0,0,0,0,0,0,0,0,0.161019645325131,0,0,-0.136968449543198,0,0,0,-0.00997252438289608,0,0,0,0,0,0,0,0,0,0,-0.053349141840599,0,0,0.0953270218596667,0,0,0,0,0,0,0,0,0.357769141332491,0.00951942839747709,0,0,0.0264858949962561,0,0,0,0.047786610622259,-3.46944695195361e-18,0,0,0,0,0,0
X600028.SH,0.678793244202062,0,0,0,0,0,0,0.263550159129548,0,0.0542951268905322,0,-0.0409439096073429,0,0,0,0,0,0,0,0,0,0,-0.0438121588906999,0,0,-0.0235847602551382,0,0,0,0,0,0,0,-0.0661920812437816,0,0,0,-0.0690682314770043,0,0,0,-0.066833393049431,-0.0766134510499571,0,-0.0651280865178558,0,0,0,0,0,0,0.0317876073128965,0,0,0,0,0,0,0
X601088.SH,0,0.0902640915640132,0,0,0,0.30678827267501,0,0,0,0,0,0,0,0.0675158853863701,0,0,0.0549926037259328,0,0.022618373318555,0,0,0.0863643365482884,0,0,0,0,0,0,0.127500068276045,0,0,0,0,0,-0.023535776515372,-0.12209695656785,-0.0493528688757701,0,0,0,0,0.024984569831797,0,0,0,0,0,0,0,0,0,-0.0321375736879737,0.0490900820052318,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.137969523905429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138776938202673,0.203600083350066,0,0,-0.03442151801315,0,0,0,0.139792173240657,0,0,0,0.019606475590126,0,0.0289224488062354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271841199187901,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.106500196225891,0,0.0974887754984187,0,0,0,-0.0859776598692204,0,0,0,0.299697828936798,0,0,0,0,0,0,0,0,0.563485711985812,0.47125852142466,0,0,0,0.250825660920909,0,0,0,-0.123637296315418,-0.091538511940698,-0.0663902443459553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176833810728571,-0.0684727587169619,0,0,0,0,0,0
X600188.SH,0,0,0.18733294432638,0,0,0,0.0437687257200075,0,0,0.184353929520692,0,0,0,0.376380750519601,0,-0.13333260971205,0,0,0.152011158380146,0,0,0.0221370174530043,0,0,0,-0.00739248065025708,0,0,0,-0.413394262620325,0.422545847820706,0,0.047140511420228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100257668809585,0,0,0,0,0,-0.17215576562005,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0111183115649321,0,0.0960410502357373,0,0.0414389858614812,0,-0.00275306932756041,0,0.0791507795181409,0,0,0,0,0,0,0,0.0987372002092453,0,0,0.0483956735070684,0,0,-3.46944695195361e-18,0,0,0.0664221695089198,0,0.081438401748307,0,0,0,0,-0.152461043618154,0,0,0,0,0,-0.0334048080564163,0,0,0,0,0,0.19184726967748,0,0.0473360265670288,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.00147687643100883,0,0.162104336153536,0,0,0,0,0.0665221281190437,0,0,0,0,0,0,0,0,0,0.060724889851616,0,0,0,-0.0238609983612449,0,0,0,0,0,0.129974553069774,0,0,-0.0803495883036889,0,0.100083827480548,0,0.125397739803127,0,0,0,0,0,0,0,0,0,0,0,0,-0.00877296399969361,-0.071246864313853,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.518402609902971,0.02519089297962,0,0,0,0,0,0,0,0.148939671280829,0,0,0,0,0,0,0,0,-0.0585530649617824,0,0,0,0,0.0460085001892203,0,0.171161486154599,0,0.0551290121487293,0.00937841383883286,0,0,0,-0.00965017160721918,0,0,0,0,0,0,0.243677731249407,0.0218610843375305,0,0,0,0,0,0,0
X601898.SH,0.118090194822545,0,0.0362646170833356,0,0,0.264819130165372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232766669695111,0,0,0,-0.0483799602365395,0,0,0.0426040942937857,0,0.298962215458411,0,0,0.103069632926271,0,-0.102479329819671,0,-0.0727957639259369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503028576003569,0.0201014626373516,0,0,0,0,0,0
