,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600660.SH,X600886.SH,X600801.SH,X601898.SH,X600010.SH,X601600.SH,X600362.SH,X600188.SH,X600352.SH,X600489.SH,X601991.SH,X600688.SH,X000786.SZ,X600795.SH,X600126.SH,X600111.SH,X002466.SZ,X600027.SH,X600176.SH,X601992.SH,X600299.SH,X600426.SH,X002075.SZ,X002353.SZ,X600315.SH,X600529.SH,X000723.SZ,X600486.SH,X600219.SH,X600612.SH,X002080.SZ,X601158.SH,X600516.SH,X000898.SZ,X000401.SZ,X002409.SZ,X000932.SZ,X000883.SZ,X000553.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.00691542804451643,0,0,0,0,0,0,0,0,0,0,0,0,0.097001649476744,0,0.18444396617974,0,0,0,0,0,0,0.0601539693865919,0,0,0,0,0.0578230682941589,0,0,0,0,0,0,0,0,0,0,0.0209564020085079,0,0,0,0,0.0148323168144627,0.00270647197461627,-0.0116438276916598,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.126433719711851,0.0537207258466052,0.0184775329415786,0,0,0.0178422960649147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0647536174287043,0,0,0.0866307053180778,0,0,0,0,0,0.0573891235210693,0,0,0.00502239085809739,0,0,0,0,0.0036338968021986,-0.00390749673530454,0,0,0,0,0,0
X601088.SH,0,0,0,0.202715193430251,0,0,0,0,0,-0.0444146167080255,0,0,0,0,0,0,0,0.071475582132343,0.333274921564557,0,0.048187595806455,0,0,0,0,0,0,0,0.0026100242097283,0.0592645551550097,0,0.0247428577474663,0,-0.18299254308035,0,0,0.0344992066785913,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024368771900704,0.0128176325992787,-0.00608517175301162,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369272517634793,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0292198840457305,0,0.0630828089402522,0,0,0,0,0,-0.0616980688213549,0,-0.00785075929563704,0.118523983106317,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0536060927898435,-0.00468823966121034,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193297396025753,0,0,0,0,0.203089526773482,0,0.185810515613999,0,0,0.165771468182217,-0.00491075016450997,0,0,0.0441285346833515,0,0,0,0,0,0,-0.0543331612086117,0,0,0,0,0,0,-0.00183393099078702,0.0109574538967698,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0.118856042354706,0,0,0,0,0,0,0,0,0,0.308997127251761,0,0,0,0,0,0,0.0654296409678715,0,0,0,0,-0.0547932272002934,0.0505738758657507,0,0,0,0,0,0,0.0914561974194912,0,0,-0.0808012146286088,0,0,-0.19212900190754,0,0,0,-0.0205435247915655,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.184267892122673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106162616311956,0.0945541972402915,0,0,0,0.0182984015399076,0,0,0,0,0,-0.0160385103454902,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116770084814153,-0.0139525991560718,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479432900414976,0,0.077226797480369,0.277172685495033,0,0.00357848577947803,0,0.0243438760301631,-0.265603062772735,0.176034960655819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1091122997792,-0.0133890801940863,-0.00570603807460363,0,0,0,0,0,0
X600011.SH,0,0,0.147919047601009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331043929406118,0,0,0,0,-0.0717917863705339,0,-0.0566356007215203,0.145195575090199,0,0,0.155308203105771,0,0,0,0.0910643682433092,-1.73472347597681e-18,0,0.263786804103552,0,0,0,0,0,0,0.0881305274901313,0,0,0,0.0100573485186876,0,0.0271942248904417,-0.02671436336191,0,0,0,0,0,0
X002271.SZ,0,0,0,0.349450645852877,0,0,0,0.0211182591131329,0,0,0,-0.100794245389344,0,0,0,0,0,0,0,0,0,0,-0.0306183704657635,0,0,0.0172773434307226,0,0.0941718678606277,0,0,0,0,0,-0.00804298049632581,0,0.04756642639935,0.12012584904845,0,0.149534447263726,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134956395493605,-0.0110163767088078,0,0,0,0,0,0
