,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600362.SH,X600886.SH,X600795.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600027.SH,X600583.SH,X002353.SZ,X601992.SH,X000792.SZ,X601158.SH,X000898.SZ,X000883.SZ,X000629.SZ,X600315.SH,X600489.SH,X600490.SH,X000709.SZ,X600547.SH,X000825.SZ,X000831.SZ,X600352.SH,X000539.SZ,X600660.SH,X601699.SH,X000630.SZ,X000983.SZ,X600549.SH,X600307.SH,X002470.SZ,X000937.SZ,X000027.SZ,X600578.SH,X000960.SZ,X000959.SZ,X600863.SH,X600516.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.172866256848571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505780522734208,0,0,0,0,0.00123111273419744,0,0,0,0.0435320385206003,0,0,0.0421143734625403,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107369694853178,0,0.00496788915608259,0,0.0682330052475515,0,0,-0.000431714226211863,0,0,0,0,0,0
X600028.SH,0,0,0,0.104127188968516,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0390288489220455,0,0.0719270351244539,0,0,0,0,0,0,0,0,0,-0.000775517514195915,0,0,0,0,0,0.054929563746926,0,0,0,0,0,0,0.125912483784793,0,0,0,0.0615262478572686,0.018500054065663,0,-0.00388765913129159,0.00499021387620064,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0437665706231623,0,-0.040644111878793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338998336967349,0,0,0,0.0664995802763777,0,0.105690346902482,-0.0251543392051246,0,0,0,-8.67361737988404e-19,0,-0.00593790275494905,0.0101366963654747,0,0,0,0,0,0
X600585.SH,0,0.118490067779871,0.230502322900073,0,0,0,0.061298329859288,0,0,0.0208388391460391,0,0,0,0,0,0,0,0.0297350505367986,0,-0.0474511935202833,0,0.224094190789083,0,0.034992301047945,0,0,0,0.0915325117147636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216121330654378,0,0,0,0,0,0,0,0,0,-0.00488924957930726,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0464513978113809,0,0,0,0,0,-0.0156415966438925,0,0.233866400645726,0,-0.12552166828468,0.0614060380293005,0,0,0,0,0,0.297091031675255,0,-0.0637001371395464,0,0,0,0,0,0,0,0,0,0,0,-0.0215537042026604,0,0,0,0.060878196458956,0,0.132419116299935,0,0,-0.0189451268124466,0,0.0152721288648242,0.0158212572971884,0,0,0,0,0,0
X600019.SH,0,0,0,0.0404911073596734,0,0,0,0.043483776058109,0,0,0,-0.10594611135056,0,0,0,0,0,0,0,0,0.101985173620956,0,0,0,0,0.190453944598635,0.274571824806358,0,0,0,0,-0.0282933068798782,0,0,0,0,1.38777878078145e-17,0,0,0,0.0583507436717701,0,0.021448170414186,0,0,0,0.110703332325954,0.127826388747648,0,0,0,-0.00503308807283961,0,0,0,0,0,0,0
X601898.SH,0,0,0,-8.67361737988404e-19,0.0363560555967851,0.11838469707079,0,0,0,0,0,0,0,0.0138878426954482,0,0,0,0,0,0,0.0886673978992416,0,0,0,0,0.0584190844811601,0,0.102833055677872,0,0,0,0,0.148105281748969,0,0,0,0,0,0,0,0,0,0.118035896413076,0,0,0,0.0311744702770056,0,0,0.00424723844323027,0,0.00114900855773177,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.12090947488575,0,0.155241706432047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00972901259053518,0,0,-0.0405406897359597,0.0123679431625929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223874766970033,0,0.0315224054257885,0.0487063297684638,0,0.00492415282961139,0,-0.000155985937999687,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.0304041269880686,0,0,0,0,0.0118662242233258,0,0,0,0,0,0.055749460670684,0,0,0.00399295705565505,0,0.00455924512306259,0,0,0,0,0,0.0237053746891789,0,0,0,0,0.0934901915443727,0,0,0.279861927956808,0.0775782667848426,0,0,0,0,0.0755625240398997,0.00206729722561087,0,0,0,0,-0.00805465764991496,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841135556126916,0,0,0.112807108090121,0,0,0,0,0,0.222556773157548,0,0,0.30354656162819,0,0,0,0.129094829436007,0,0,0,0,0,0,0,0.0832502645631449,0,0.153308062998069,0.072674759265203,0,0,0.0360434622831488,0,-0.201043625128722,0.0620074898846184,0,0,0,0,-0.0445276306007448,0.034912301567269,0,0,0,0,0,0
