,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600111.SH,X600019.SH,X600188.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600011.SH,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X000786.SZ,X600803.SH,X601991.SH,X002080.SZ,X600795.SH,X000807.SZ,X600801.SH,X000983.SZ,X601699.SH,X600688.SH,X000825.SZ,X002353.SZ,X600352.SH,X000932.SZ,X600027.SH,X300073.SZ,X000630.SZ,X000959.SZ,X600157.SH,X600489.SH,X000960.SZ,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520532966846186,0,0,0,0,0.080969915841328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228741763836793,0.0252216103494457,0,0,0.153658988517175,0,0,0,0.063017884449616,0,0,0,0,0,0.0102479087310393,0,0,0,-0.0240043776078058,0,0,0,3.46944695195361e-18,0,0
X600028.SH,0.174876766673093,0,0.0259623068776148,0,0,0,0,-0.0419305141160816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529437680880502,0.0160991279050115,0.0336866562753311,0.0847073525457238,0,0,0,0,0,-0.0424855133578693,0.0409478094804788,0,0,0,0,0,0,-0.00321406044906516,0,0,0,0,0,0,0
X601088.SH,0.153428201122346,0,0,0,0,0,0,0.0212761418002999,0,0,0,0,0,0,0,0,0,-0.090518764509632,0,0,0,0,0,0,0,0.0400089966691482,0,0,0,0,0,0,0,0,0,0.341762307317253,0.0561105715608715,0.195785367094512,0,0,0,0,-0.0229620925578893,0,-0.0861130485840647,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.00497982156126324,0,0,0,0.104216905244267,0,0,0,0,0.0466378232696916,0,0,0,0,0,0,0,0,0.0927093060486169,0,0,0.0785239672090163,0,0,0,0,0,0.0261182971966353,0,0,0.00322607105716346,0,0,0,0,3.46944695195361e-18,0.046398478538262,0,0,0,0,0,0,0,-0.00869322706154958,0,0,0,0,0,0
X600585.SH,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0879389226490479,0,0,0,0,0.0263180076950363,0.0132702109766845,0,0,0,0,0,0,0.0341227601789616,0,-0.017715631379948,0,0.100411048820994,0,0,0,0,0,0.40147039223403,0,-0.0334347612891286,0,0.0321745620246672,0,0,0,0,0,0,0.0174372092539171,0,0,0,0,0,-0.00675720703224994,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.169153435723842,0,0,0.325378508856836,0,0,-0.012094054015216,0.147964876555829,0,0,0,0,0,0,0,0,0,0,-0.234128909498608,0,0,0,0,0,0.262284039599506,0,0,0.0477862974340946,0,0,0,0,0,0,0,0,0.281695661832399,0,0,0,0,0,0.074072971244401,0.0659409180540645,0,0,0,0,0,-0.00673207624429267,0,0
X000792.SZ,0,0,0,0,0,0,0,0.231658973755868,-0.0967159747414638,0,0.403102462757078,0,-0.0479120664918791,-0.0223134603407933,0,0,0,0.239188311207283,0,0,0,0,0,0,0,0.13884681904738,0,0.216359889707278,-0.0178724983350883,0,0,0,0,0,0,0,-0.0698586764030466,0,-0.268920263650407,0,0,0,0,0,0,0,0,0,-0.113171406146933,0,0,0.0152950288595116,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.124932286532537,0.050942761991964,0,0,0,0.216932421520209,0,0,0,0,0.137187935466359,0.270575779100134,0.0505493836153951,0,0,0,0,0,0,0,0.0278684953790036,4.33680868994202e-19,0,0,0,0,0,0,0.0759970355570317,0,0.0838615235959452,0,0,0,0,0,0,-0.00516295407418822,0,0,0.0163646742995695,0,0,0,0.0529982301957724,0,0.00301645304265816,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.107242279140166,0.084048396315204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127469763883254,0,0,0.00457150640058323,0.0438582456849261,0,0,0.291759888074407,0,-0.0132339968486872,0,0.12293704366172,0,0,0.121636165624193,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199653302609095,0,0.053140760530993,-0.144223021717356,0,0,0.139377317388374,0,0,0.0683789325027511,0,0,0,0,0,0,0.255943569469207,0,0.170105592617793,0,0,0,0.452644377795097,0.0659289788944517,0,0,0,0,0,0,0,0,0.057148441089192,0,0,0,0,0,0,0.0211083178861248,0,0,0,0,0,0
