,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X002466.SZ,X600660.SH,X002271.SZ,X000301.SZ,X600010.SH,X000708.SZ,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X600219.SH,X600011.SH,X600886.SH,X000825.SZ,X000786.SZ,X000408.SZ,X600803.SH,X000932.SZ,X300037.SZ,X600399.SH,X002409.SZ,X601991.SH,X600795.SH,X002080.SZ,X000898.SZ,X000959.SZ,X600549.SH,X000807.SZ,X000830.SZ,X000027.SZ,X600489.SH,X600352.SH,X600486.SH,X002407.SZ,X000630.SZ,X002192.SZ,X002353.SZ,X601168.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0937664803241298,0,0,-0.0217112263056422,0,0,-0.0219490742496307,0.0331970876654754,0,-0.0181500060711222,0,0,0,0.0117794310742218,0,0.0263300675415028,0,0,0,0,0,0,0,0.116442391878537,0,0,0,0,0,-0.0487179187113399,0,0,0,0,0,0.0292398587941484,0,0,0,0.0518501874526316,0,0,0,0.0584630563217618,0,0,0.0524513051928842,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0
X600028.SH,0.144127786133641,0,0,0,-0.0212408826607368,0,0,0,-0.0138188130344731,0,0,0.0248359922681693,0,0.0783868641117986,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00766281215725368,0,-0.0432984058119821,-0.00250271356960619,0,0,0,0,0.0336721715396867,0,0,0.103740295929325,0,0,0,0,0,0,0,0,0,0.0294468265674069,0,0,0.0531082659052865,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.156329401358398,0,0,0,0,0,0,0,0,0,0,0,0.289173532577739,0,0,0,0,0,0.0440764672921293,0,0,0,0,0,0.0711558768807303,0,0,0.0625823934999607,0,0,0,0.0497811683924162,0,0,0,0,0.0462987313357395,0,0,0,0,0,0,0,-0.0109523191667648,0,0,0,0,0,0,0
X601088.SH,0.0763150286119655,0,0,0,-0.0354776515477239,0.08413468883017,0.0524892032345677,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0273145268744586,0.181274440660391,0,0,0,0.0301089475976571,0,0,0,0,0.0748183777414668,-0.000614019236758393,0,0,-0.0830413202606479,0,0,0,0,0,0,0,0.0325441796967657,0.0621054140603215,0,0,0,0,0,0,0,0,0,0,0,0,0.0166979872492648,0,0,0,0,0,0,0
X002460.SZ,0,0,0.0077998283887358,0,0,0,0,0,0.286120912276804,0.138974450972325,0,0.106094222652987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2776089684479,0,0,0,0.0801023614242522,0,0.0659942782759756,0,0,0,0,0,0,6.93889390390723e-18,0.0501522046149545,0,0,0,0,0.00840130523459783,0,0.3494507107279,0,0,0.0330741373748316,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,-0.0500716436342365,0,0,0.105752154717851,0.0148921860929122,0,0,0,0,0,0,0,0,0,0,0,0,0.141574287561964,0,0,0,0,-0.0162096530443769,-0.0892540550373579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229041264961122,0,0.051962450043485,0.0432778940333889,0,0,0,0,0,0
X600019.SH,0,0,0.085180778806579,0,-0.00818428629233374,0,0,0,0,0,0,-0.0730380637794643,0.0257756297898655,0,0,0,0,0,0,0,0.040911553710699,0,0,0,-3.46944695195361e-18,0,-0.0183922510259923,0,0,-0.0591977312070515,0,-0.101598153525037,0,0,0,0.359931328186452,0.123364089288922,0.0826574793050199,0,0,0,0,0,0,0,0,0,0.0215072730498817,0,0,0,0,0.0362282712415773,0,0,0,0,0,0
X600111.SH,0,0,0.0046347837686827,0,0,0,0,0,0,0,0,0,0.246625973126152,0,0,0,0,0,0,0,0,0,0,0,0.0863977215043818,0,0,0,0,0.260154834284967,0,0,0,0,0,0,0,0.275512968268531,0,0,0,0,0,0,0,0,0.103670064659286,0,0,0.0358334775532432,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,1.38777878078145e-17,0,0,0.19665298105951,0,0,0,0,0,0,0.156362418887951,0,-0.278876630206925,0.259010970956251,0,0,0,0,0,0,0.00245181320302601,0,0.152128981403676,0,0,0,0,0,0,0,-0.0188007356905767,0,0,0,0,0,-0.0413467734682831,0,0,0,0,0,0.408146186763096,0,0,-0.0848714415882302,0,-0.335827393904399,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,-0.0924474462730621,0,0,0,0.0212595392097271,-0.00636852725537894,0,0,0,0,0,0,0,0,0,0,0,0,0.0182492323216647,0.0364145633279388,0,0.0602014993747387,0.237730680478136,-0.0492482419007283,0,0,0,0.0210293314314639,0,0,0,0,0,0,0,0,0,0.158627980244824,-0.0166445263789527,0,0,0,0,0,0,0,0,0,0,0,0,0
