,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X002466.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X002271.SZ,X600111.SH,X600011.SH,X600010.SH,X600660.SH,X000877.SZ,X000301.SZ,X000708.SZ,X600547.SH,X600886.SH,X601600.SH,X600795.SH,X600176.SH,X600362.SH,X600096.SH,X600426.SH,X000786.SZ,X000408.SZ,X000983.SZ,X600803.SH,X000723.SZ,X600141.SH,X601991.SH,X300073.SZ,X002080.SZ,X002192.SZ,X600219.SH,X601699.SH,X600027.SH,X600486.SH,X600801.SH,X300037.SZ,X002407.SZ,X002497.SZ,X000629.SZ,X002353.SZ,X600295.SH,X600160.SH,X000683.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0488167766041933,0,0,0,0.0327562537682796,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.168894363059996,0,-0.121490891445901,0,0.175254460786885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776057490710616,0,0.00861103979771701,0.0304244877787145,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.189284896092932,0,0.0327146132398282,0,0.0737347532631437,0,0,0,0,-0.148392812262714,0,-0.0515866977211433,0,0,0,0,0,0,0,0,0,0,0,0.0330219766610216,0,0,0,0,-0.0155681496436762,0,0,0,0.124445538685246,0,0,0,0,0,0,0,0,0,0,0,0,-0.0092717697306729,0,0,0,0,0,0,0
X600028.SH,0,0.0336972139337933,0,0.0223018609512958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158858307807568,0.0576087252046226,0,0,0,0.00800959416823884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218791966022317,0.0572758061844638,0,0,0.00218503825069309,0,-0.0108954070918431,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.10060373371967,0,0,0,0,0,0.170540818049339,-0.0329525330046305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660546862927586,0,0.056555312799866,0.125752979951834,0,0,0,0,-0.0281014259758583,0,0,0,-0.0272164682125814,0,0
X002460.SZ,0,0,0,0,0,0.178201645286169,0.0656370752189621,0,0,0,0,0,0.120726136957558,0,0.11578314358694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483124906056347,0,0,0,0,0,0,0.105746706076526,0,0,0.0795253502797906,-0.00972580388213922,0,0,0,0,0.303053850546104,0,-0.155165165983264,0,0,0,0.0640096710956858,0.0074022128702737,-0.0889768697128058,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.711650883603158,0,0,0,0,0,0,0,0,0.0515313182574212,0.143837220823167,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104276286612338,0,0,0,0,0,0,0,0,0.0802606153355625,0,0,0,0,0,0,0,0.0303326655531799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.333762218053637,0,0,0,0,0,0,0.0421493779049647,0,3.46944695195361e-18,0,0,-0.247913866398226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00644244921756394,0,0,0,0,0,0,0,0,0,0,0.397873194530238,0,0,0,0,0,0,0,0,0.068904551034531,0,0,0,0.0518674782526521,-0.0909585249429629,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,-0.0465077741107469,0,0,0.152938438189942,0,0,0,0,0,0,0,0.131495811580893,0,0,0,0,0,0,0,0,0,0,0,0.0148314070068321,0,0.0224889867809144,-0.0321888009734849,0,0,0,0,0,0,0.377289984038168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00573411483207257,0,0
X000792.SZ,0,0,0,0,0.138623688140967,0,0.149562130282601,0,0,0,0,0,0,0,0,-0.0152774213659241,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0623493857367212,0.413134850347391,-0.0331148728215623,0,0,0.0577364945429942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.0123631646671062,0,0
X600019.SH,0,0,0,0,0,-0.053716667989598,0,0,0,0,0,0.105464969287665,0,0,0.0645766201730723,0,0,0.00190380035341903,0.0356098969316939,0,0,0.00600165544421357,0,0,0,0,0,0,0,0,0,0.0936073388351864,0,0,0,0,0,0.039065831992862,0.0374763580521798,0,0,0,0,0,0,0.0910418088257596,0.0171371764166795,0.133168661152831,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0
