,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600688.SH,X600795.SH,X600309.SH,X600660.SH,X300072.SZ,X601600.SH,X601991.SH,X600886.SH,X600188.SH,X600547.SH,X600362.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X600299.SH,X002271.SZ,X000723.SZ,X000883.SZ,X600176.SH,X600352.SH,X600219.SH,X002460.SZ,X600578.SH,X600583.SH,X000630.SZ,X000408.SZ,X000539.SZ,X600021.SH,X000027.SZ,X000792.SZ,X000786.SZ,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.255910754278218,0,0,0,0,0,0.0367998923433221,0.104436936006082,0,-0.0223636493190966,0,0,0,0.112331764685698,0,0,0,-0.00758115655320422,0,0,0,0.0120295850250032,0,-0.0189086747271833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105278278150688,0,0,-0.00632646397497047,0,0,-4.92282390128452e-05,0.00095158817092004,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.100688653958197,0,0,0,0,0,0,0,0.0390108145816186,-0.142769391759573,0,0,0,0,0,-0.0492196141047509,0,0.0542726383465847,0,0,-0.109984571315282,0,0,0.0499273551724646,0,0,0,0,0,-0.0353249807018791,0,0,0,0,0,0,0,0,0,0,-0.0240442572850143,-0.00461118912191663,0.00153206306686685,0,0,0,0,0,0
X601088.SH,0,0,0,0.115305622458259,0,0,0,-0.0281867220495621,0,0,0,0,0,0,0,-0.0145964784149163,0,0,0,0,0,0,0,0,-0.00976694470778073,0,0.173581200524607,-0.0119686888109785,0,-0.0818005105573558,0,0,0,0,0,0,0,0,0,0,-0.0180610887450639,0,-0.0196231876042266,-8.67361737988404e-19,0,0,0,0,0,0,-0.0159124727734981,-0.00885787908532074,0,0,0,0,0,0
X600019.SH,0,0,0.0235757897041514,0,0.0401800707895171,0,0,0,0,0,0,0,0.0659689636411679,0,0,0,0,0.0888333095120867,0,0,0,0,0,0,0.0946040507567899,-4.33680868994202e-19,0.385760429740778,-0.0342427518860861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043108378662689,0,0,0,0,0,0
X600011.SH,0,0,0.201073698507883,0,0,0,0,0,0,0,0.11538518675663,0,0,0,0,0.100995939911601,0,-0.00794015210656467,0.010616696296262,0,0.318955563512354,0.0318282247981786,0,0,0.0567333162756845,0,0,0,0,0,0.087389532106892,0,0,0,0,0,0,0,0,0.0351174769307077,0,0,0,0,0,0,-0.0782658944553807,0,0,0,0.0526433164715081,-0.0409579510928436,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,-0.0140552416355609,0,0,0,-0.0863639758024531,0,0,0,-0.0739858834035737,0,0,0,0,0,0,0.0958649238863717,0,-0.110006927945392,0,0.135208129212286,0,0,0,-0.0647003995947047,0,0,0,0,-0.0157178730914019,0,0,0.000348856603788545,0,0,0,0.181108360542735,0,0,0,0,0,0,0,-0.0337061212143225,-0.0115777645180854,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196850725118477,0.106161091658922,0,0,0,0,0.0554987005779221,0,0,0,0,0,0.0865201808524801,0.138654693006468,0,0,0,0.115224636323324,0,0,0,0,0,0,0,-0.0303962801474224,-0.0645151146748863,0,0,0,0,0,0.118316057215643,0,0,0,0,-0.00490939076629502,0.00820187430272095,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,-0.239203266911506,0,-0.075785608100997,0.0953840734269736,-0.137465051760835,0,0,0,0,0,0.521137611414302,-0.251525825147192,0,0,0.203652698585437,0.121454451733105,0,0,0.178044203673371,0.377965549441437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319873516881676,0,0,-0.0117008530815228,0.0638248466836576,0,0,0,0,0,0
X601898.SH,0,0,0.173033775091904,0,0,0,0,-0.0022358062710336,0,0,0,0.0370489238368891,0,0,0,0,0,0.0335857348377552,0,0.340036653228052,0,0,0.0200323940190958,0,0,0,0,0.011652460045221,0,0,0,0,0,0,0,0.0807283583695696,0,0,0,0.148404090606464,0.117558869546933,0,0,0,0,0,0,-0.0375529883725711,0,0,0,-0.0042069808516716,0,0,0,0,0,0
X600688.SH,0,0.258356051866897,0,0,0,0,0,0,0,0,0,0.0309861448894805,0,-0.0749537876847853,0,0,0,0,0,0,0,0,0,0,-0.0217602870109267,0,0,0,0,0,0.00243789261848846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0928402890434063,-0.0565067319038288,0,0,-0.0160834005289248,0.00709579543622261,0,0,0,0,0,0
