,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X002466.SZ,X600362.SH,X000708.SZ,X002460.SZ,X600010.SH,X600111.SH,X600027.SH,X000301.SZ,X600160.SH,X601699.SH,X000877.SZ,X600803.SH,X600489.SH,X000983.SZ,X601991.SH,X600426.SH,X000786.SZ,X000630.SZ,X000408.SZ,X000807.SZ,X000933.SZ,X601168.SH,X600985.SH,X600176.SH,X002271.SZ,X600612.SH,X600219.SH,X000932.SZ,X002128.SZ,X600096.SH,X600348.SH,X000027.SZ,X000883.SZ,X600378.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.212199777061227,0.0169046097252215,0.0498037653766226,0,0,0.128319321706034,0,0.107890695554431,0,0,0,0,0,0,0,0,0,0,0,-0.0774225471873745,0,0,0,0.0742187114831788,0,0,0,0.008234286324805,0,0,0,0,0.0702050365562072,0,0,0,0,0,-0.0457064514536921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698028482428875,0,0,0,0,0
X601088.SH,0.0472911703939266,0,0,0,0.186394568233353,0.0538721016810883,0.135970423349087,0,0,0,0,0,0,0,0,0,0,0,-0.022059821454964,0,0,0,0,0,0,0,0,0,0.161684754769537,0,0,0,0,0,0,0,0,0.0557343028850679,-0.0399183303494834,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183525870131148,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.165635474500434,0,0,0,0,0,0,0,0,0,-0.120165474181874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248337481871127,0.0132376255544444,0,-0.100271105862322,0,0,0,0,0,0,0,0,0.0210482243996762,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571747358588447,0,0,0,0.249571114488219,0,0,0,0,0,0,0.098841473950744,0,0,0,0.0119005396055965,0,0,0,0.10613835778747,0,-0.0484726303217163,0,0,0,0,0,0,0,0.0746428813246659,0,0,-0.0202192742232611,-0.06451468257847,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.157900022282983,0,0,0,0,0,0,0,0.0244282291307121,0,0,0,0,0,0,0.00935872276445085,0,0,0,0.344121726098413,0,0,0,0.0562864297118837,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0.0665353315646832,0.128816833772728,0,0.105111008936169,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.266476928210988,0,0.641802947266751,0,0,0.0450303398442724,0,0,0,0,0,0,0,0,-0.0350213432566033,0.221743241607038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533737406110974,0,0,0,0,0,0,0,0,0,0,0,0,-0.121993688043425,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-3.46944695195361e-18,0.168930174551013,0,0,0,0,0,0,0,0.140303304513736,0,0,0,0,0,0,0,0.275097243890549,0.0231421088975159,0,0,-0.0616350724431958,0,-0.0226841285564253,0,0.177100761946821,0,0,0,0.0225227332423434,0,0,0.00811365941414192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200794253549286,-0.0496832049247733,0.0635426143411078,0,0,0,0,0
X600019.SH,0,0,0,0,0.0930603407136417,0,0,0,0,0,0,0,0,0.0117433772917397,0,0,0,0,0,0,-0.0594393452455134,0,0,0,0,0,0,0.0797099837549274,0,0,0,0,0,0,0,0,0.110441211254887,0.0407038486482858,0,0,-0.0328001559809909,0,0.104699176060573,0,0,0,0,0,0.00440080743362023,-0.0235768608363379,0,-0.00266914554424781,-0.0122081599832984,0,0,0,0,0,0
X601600.SH,0.199444073698272,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.0419435779066323,0,0,0.122614792006761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419801777042284,0,0,0,0,0.192739791909695,0,0.233560653525805,0.0464597075870742,0,0,0.0329633839929556,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0787579678087188,0,-0.00827740915561946,0,0.0409343189143683,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.136106208901741,0,0,0.0430570323799484,0,0,0,0,0,0,0,0,0,0,0.0785343788800686,0,0,0.0195878454126536,0,0,0,0,0,-0.0419245238902755,0,0,0,0,0,0,0,-0.0916470656151806,0,0.243031183804134,0.122917849402535,0,0,0.0679359757495402,0,0,-0.0773684922407381,0,-0.0352871453894317,0,0,0,-0.0915641862500397,0.0907422078570471,-0.0208487203202161,0,0,0,0,0
