,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002271.SZ,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600362.SH,X600547.SH,X000786.SZ,X601600.SH,X600111.SH,X000301.SZ,X600886.SH,X600010.SH,X600188.SH,X600176.SH,X600011.SH,X600426.SH,X002466.SZ,X000932.SZ,X600803.SH,X600801.SH,X600219.SH,X601991.SH,X600352.SH,X000898.SZ,X600795.SH,X600157.SH,X000027.SZ,X600489.SH,X600315.SH,X600688.SH,X600486.SH,X000807.SZ,X002080.SZ,X000723.SZ,X601168.SH,X000825.SZ,X600516.SH,X600027.SH,X300037.SZ,X600299.SH,X002353.SZ,X000883.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.364072972505626,0,0,0,0,-0.0357473148124715,0,0,0,0.0420103667731404,0.0141767006868399,0,0.0183875459046842,0,0,0,0,0.00926825058607089,0,0,0,0.0388542979642539,0,0,0,0,0,0,0,0,0,0,0,0,-0.00378229564664443,0,0,0,0,0,0,0,0,0,0,0,0.0560687659090611,0,0,0,-0.000268541328517847,0,0,0,0,0.00852397373172102,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0631732002974166,0,0,0,0,0,0.0406456248611503,0.0103986610270357,0,0,0,0,0,0,0.110541561471074,0.0249799540059611,0,0,0,-1.73472347597681e-18,-0.0751032804018388,0,0.124306773961124,0,0,0,0,0,0,0,0.12180207969496,0,0,0,0,0,0,0,0,0,0.0119988813272242,0,0,-0.00786337165561653,-0.0120112798903099,0,0,0,0.00606479519306989,0,0
X601088.SH,0,0,0,0,0,0,0,0.100317295857464,0.0266239728631775,0,0,0,0,0,0,0,0,0,-0.0082628248462667,0.0967244403146212,0,0,0,0.0165137470535223,0,0,0.0529769639911921,0,0,0,0,0,0,0.0187726752509596,0,0,0,-0.0400567092846798,0.168711010625591,0,0,0,0,0,0,0,0,0,0.0255744036904456,0,0,0.020195041335535,0,0,0,0,0.0155327431464188,0,0
X600309.SH,0,0,0,0,0,0,0,0.207633931761802,0,0,0,0,0,0.159434286460648,0,0,0,0,-0.0287866293044337,0,0,0,0,0.0331594399108075,0,0,0,0.0653491275871649,0,0,0,0,0,0,0,0.050053802134741,0,0.117752280715229,0,0,0,0.121010534711457,0,0,0,0.0620370699219009,0,0,0,0,0,0,-0.0606499936615023,0,0,0,-0.0125041443932722,0,0
X600585.SH,0,0,0,0.0210618320093968,0,0,0.0189093344617425,0.00763825406397907,0.0275344841192072,0,0,0,0,0,0,0,0,0,-0.00686347557209497,0.103044454721645,0,0,0,0,0.0389302276778847,0,0.130952816931474,0,0,0,0,0,0,0,0,0.0265793789118095,0,0,0,0,0,0,0,0.0318917502299631,0,0,0,0,0,0,0,-0.0296627764959593,0,0,0,0,-0.0268225829124517,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039617749210979,0.0410152926743266,0,0,0,0.118887224810815,0,0,0,0.116604650550196,0.35720096350655,0.0434706124460267,0,0,0,0.0157845588849622,0,0,0,-0.0182684208932008,0,0,0,0,0.0417096760444604,0,0,0,0.281267278715203,0.000743299257120637,0,0,0,0,0,0,0,0,-0.00767520621038607,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.0963064696224452,0,0,0,0.110626271889106,0,0,0,0,-0.0545352670934088,0,0,0,0,0,0,0,0,0,0,0,0,0.111309217681681,0,0,0,0,0,0,-0.0434680346038912,0,0,0.0739913360978218,0,0,0,0,0,0,0,0.147194823241998,0,0,-0.0306739720606977,-0.102139638734584,0,0,-0.0344970227858057,0,0,0,-0.0463042408339124,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.00198360107537829,0,0.05348241566181,0,0.169533934936502,0,0.0888058982930584,0.301147403662177,0,0,0.0486939060174257,0,0,0,0.399042080148597,0.0375435996382958,0.0621976299717778,0,0,0,0,0,0,0,0,0,0,0,0.099629000661892,0,0,0,0,0,-0.041149254597269,0,0,0,0.000450404018619767,0,0,0,0,-0.00288415250772756,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,-0.101198271205177,0,0,-0.113805584663829,0,0.229980474227354,0,0,0,0,0,0,0,0,0,0,-0.0886974810724577,-0.384058035333109,0,0,0.232103209086127,0,0,0,0,0.142178616011861,0,0,0,0,0,0,0.00683249227905442,0,0,0,0.35913612600929,0,-0.0839983390985051,0,0,0.264887890055625,-0.236206692937672,0,0,0,-0.0427365537456463,0,0
X600660.SH,0,0,0,0,0,0,0.197889613103133,0.0204242842427969,0,0,0,0.107356666672167,0,0,0,0,0,0,0,0,0.0137254417210788,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159660139866841,0,0,0,0.181830751826282,0,0,0,0,0,0,0,0.0499499596903081,0,0,0,0,0,0,-0.0329581979230248,0,0,0,-0.0370684108385443,0,0
