,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600188.SH,X600660.SH,X600795.SH,X601992.SH,X300072.SZ,X002466.SZ,X600362.SH,X600547.SH,X601991.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X000709.SZ,X600516.SH,X600157.SH,X000786.SZ,X600176.SH,X600027.SH,X000792.SZ,X000553.SZ,X000408.SZ,X600808.SH,X600219.SH,X600352.SH,X600489.SH,X000959.SZ,X600339.SH,X002271.SZ,X000723.SZ,X600299.SH,X601158.SH,X601699.SH,X000983.SZ,X000883.SZ,X002092.SZ,X000825.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.589871440994975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340659888837143,0,0.0221623004726508,0,0,0,0,-0.0120337574194159,0,0,0,0,0.0309459797968531,0,0,-0.00628414384935324,0,0.0231994135881545,0,0,0,0.0759232607004717,0,0,0,0,0,0,0,0,0,0,-0.00858009463812112,0,0,0,0,0,0,0
X600028.SH,0.569761371302792,0,0,0,0.0350016553179209,0,0,0,0,0,0.0912244316957676,0,0,0.0376079925015731,0.0372834552574777,0,0,0,0,0,0,0,0,0.00031735624739387,0,0,0,0,-0.0491657607974062,0,0,0,-0.0243316407551092,0,0,0,-0.130326028298557,0,0,0,0,0,0,0,0.00842157621932097,0,0,-0.0156414768140131,0,-0.0327586205718721,0.0462391831551453,-0.0209574541422157,0,0,0,0,0,0
X601088.SH,0,0,0,0.0363578057630708,0,0,0,0,0,0,0,0.0513325121997819,0,0.739312332904142,0,0,0,-0.0225870894652517,0,0,-0.0108559160292954,0,0,0,0,-1.73472347597681e-18,0,0.0937136119570867,-1.73472347597681e-18,0,-0.0743654780700279,0,0,0,0,0.00510028877932459,0,0,0,0,0,0,0,0.0539743400881309,0,0,0.222517968812431,0,0,0,0.0822590514309003,-0.056891352195966,0,0,0,0,0,0
X600019.SH,0,0,0.123774663967162,0,0,0,0,0,0,0,0,0,0.120168448878337,0,0,0,0,0,0,0,0,0,0,0.141095973813303,0,0,0,0,0,0,-0.0313169611477717,0,0,0.280960217465485,0,0,0,0.0896802129919271,0,0,0,0,0,0.0519002808291677,0,0,0,0,0,-0.147495527989088,0,-0.00943311813525998,0.109350805107531,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927764728157296,0,0,0,0,0,0,0,0.0558835386859378,0,-0.123020424144488,0.10569184193507,0,0.124472302603486,0,0,0,0,0,0,-0.0926034725400849,0,0,0,0,0,0,-0.118067133061297,0,0,0,0.0339246742744728,-0.19880692571553,0,0,0,0,0
X601600.SH,0,0,0.0175758381913177,0.0487461591898632,-0.0103849808238123,0,0,-0.018272735471258,0,0,0.0563041609041224,0,-0.0583068573422672,0.0293691262627947,0,-0.0181617522550409,0,0,0,0,-0.0251591241350569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669089722009285,0,0,0,0,0,0,0,0,0,0,0,0.0109398578194363,0,0,0,-0.0336969676861742,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0677368663808847,0,0,0,0.02695367324505,0,0,0.0691467584619243,0,0,0,0,0,0.0166930356145396,0,0,0,0,0,0,0,0.0500434561663512,0,0,0.0356428064182395,0,0.212996773876643,0,0,0,0,0,0,0.0268114368230772,0,0,0,0.0794658795407553,0,0.0392988279407992,0,0,0,0,0.00212439482955906,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166469868390585,0,-0.35874800506322,0.0776008138843211,0,-0.0557205318005427,0,0,0,0,0,0,-0.0596383315045016,0.038112134897787,0,-0.0163358844006586,-0.0324388351869832,0,0,0,0,0,0,0,0,0,0,0,-0.0541668437516925,0,0,0.660669636181681,0,0,0,0,0.0199669512047542,0,0,0,0,0,0
X600011.SH,0,0,0.013212409956406,0,0,0,0,0,0,0.116831536131996,0,0.0369791784581892,0,0,0.00094350601485222,0,0,0,0,0,-0.00429691499013307,0,-0.090921824561021,0,0,0,0,0.0142436661794973,-0.0273004840912106,0,0,0,0,0,0,-0.0173469412709412,0,0,0,0,0.00991004609371179,0.0467818601013513,0,0,0.0892660810529901,0,0,0.026400998199983,0,0,0.0120659221812772,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0529097615964917,0,0,0,0,0.245083698069605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205433760266845,0.0397459343302382,0,0.0562965313434577,0,0,0,0,0,0,0,0,0,0.0671548123752696,0.141314247133669,0,0,0,0,0,-0.000937492378923273,-0.00285275681949618,0,0,0,0,0,0
