,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X601600.SH,X600019.SH,X600660.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X002460.SZ,X000708.SZ,X600803.SH,X000301.SZ,X600027.SH,X600160.SH,X002466.SZ,X000786.SZ,X600426.SH,X601991.SH,X000983.SZ,X601699.SH,X000807.SZ,X600219.SH,X000630.SZ,X600985.SH,X600176.SH,X000408.SZ,X601168.SH,X000933.SZ,X002128.SZ,X600096.SH,X000877.SZ,X600378.SH,X000883.SZ,X600995.SH,X600352.SH,X002353.SZ,X002271.SZ,X000027.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.34570119445193,0,0.231703961708231,0,0.000609092412093847,0,0,0,0.0588442356128387,0.0469758342261854,0,0,0,0,0,0,0.0572033667729954,0,0,0,-0.0542150537096278,0,0,0,0,0,0,0,0,0,0.340584639081951,0.250016376047645,0,0,0,0.0906167415034502,0,0,0,0,-0.330026613658329,0,0,0,0.0623852532199995,0,0,0,0,0,-0.0527980186175664,0,0,0,0,0,0
X601088.SH,0.243557107846642,0,0,0,0.0998661278837045,0.0027009152123884,0,0.0366793191154507,0,0,0,0,0,0,0.0652299210828916,0,0,0,0,-0.234091641612998,0,0,0,0,0,0,0,0.0702866223625785,0,0,0,0,0,0,0.161276888538431,0,0,0,0.0810550334824009,0,0,0,0,0,0,0,0,0,0,0,0,0.0219672969225777,-0.0497234022731789,0,0,0,-0.025792269804236,0,0
X600028.SH,0.468404934525474,0,0,0,0.24290523195163,0,0,0,0,0,0.0639659672883668,0,0,0,0.120726164303051,0,0,0,0,0,0,0,0,0,0,-0.09484182695799,0,0,0.0493564125524638,0,0,0,0,0,0,0,0,-0.0618231961082123,0,0,0,0.0235837525406401,0,0,0,0,0,0,0,0,0,0.0271485198296329,0,0.000221747403904271,0,0,-0.00866274216106154,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666662218967909,0,0.0657197849181583,0,0,0,0,0,0.372454628700617,0,0,0,0,0,0,0,0,0,0,0,0.122606592208428,0,0,0,0.00290990967952343,0,0,0.118442698503154,0,0.0177233842935205,0.154042551036268,0,-0.112743730635651,-0.0219901988681612,0,0,0,0,0,0
X601898.SH,0,0.623020591226437,0.150546124575752,0,0,0.141765589019773,0,0,0,0.112310167410993,0,0,0,0,0,0,0,0,0.111664014532439,0,0,0.00587492692478291,0,0,0,0.0192502635877435,0,0,0,0,0,0,0,0,0,-0.106121944459946,0,0,0,0,0.06269834230307,0,0,0.0473165082541196,0,0,0,0,0,0,0,0.0105863022513484,-0.0538967176367537,0,0,0,0.0301060127929938,0,0
X600188.SH,0,0,0,0,0.138115956371707,0,0.0561279423370817,0,0,0,0.0864756047411484,0,0,-0.108601225510889,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114946432819104,0,0,0.212011732525819,0,0,0,0.579055440041974,0,0,0,0,0,-0.0233274443224277,-0.0227648725984753,0,0,0,0,0,0.123641704879035,0.168473401218488,0,0,0.0549271292978301,0,0.0392009476600945,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178432291905253,0,0,0,0,0,0,0,0,0.00961508635423948,0,0,-0.0357328444964215,0,0,0,0,0.535268123078423,0,0,0,0,0,0.359396721933495,0,0,0,-0.022228709761808,0,0.203472691055198,0,0,0,0,0,0,0,-0.0467188951092298,0,0,0,0,0,0,0
X600019.SH,0,0,0.293163662683538,0,0,0,0,0,0,0,0,0,0.207108586745649,0.155311784715865,0,0,0,0,0.0566956885054592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188008126567512,-0.0371998759276585,-0.0138488983181363,0,0,0,-0.192996655744091,0,0
X600660.SH,0,0,0,0,0.0253718187928738,0,0.170516948530141,-0.0251703831532973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106366476908813,0,0.183810151427945,0.0838710364141542,0,0,0,0,0,0,0,0,0,-0.207627948300872,0,0,0.0188605546006772,-0.507807149830484,0,0,0,0,0,0.276754828792446,0,0,0,0,-0.0591036139406369,-0.116506814950074,0,0,-0.120877377283773,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159499531963868,0,0,0,0,0,0,0,0,0.0350120931709543,0,0,0.0347508867691829,0.123647970738986,0,0.0604085629652085,0,0,0,0,0,0,0,0,0,0,0,0,0.137475425167307,0,0,0,0,0,0,0,0,0,0.0914588632412888,0.0198854032919216,0,0,0,-0.0427276896448244,0,0
