,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000301.SZ,X600489.SH,X002466.SZ,X000708.SZ,X600160.SH,X600027.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600426.SH,X000786.SZ,X600219.SH,X000983.SZ,X000877.SZ,X002128.SZ,X601699.SH,X000630.SZ,X000408.SZ,X600157.SH,X601168.SH,X600985.SH,X600096.SH,X000933.SZ,X002353.SZ,X600688.SH,X600352.SH,X600378.SH,X600995.SH,X002271.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.12157999196364,0,0,0,0,0,0,0.0994175564755316,0,0,0,0,0.0863478379864891,0,0,0,0.308551188963496,0,0.0433725790522366,0,0,0,0,0,0,0.07647942696514,0,0,0,0.0580133103428156,0,0,0,0,0,0,0,0.0641970809111174,0,0,0,0,0,0,0,-0.0677253339108957,0,0,0,0,0.0150258949954831,0,0,0,-0.0898894785337717,0,0
X601088.SH,0,0,0,0,0.461389300009465,0,0,0,0,0,0,0,0,0,0,0,-0.102054022694957,0,0,0,0,0,0,0.00101970502549599,0,0,0,0,0,0,0,0,0,0,0.147001314693838,0,0,0,0.0470631954304893,0,0,0,1.73472347597681e-18,0.0150371663665656,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244498167632284,0,0
X600028.SH,0.665917247950889,0,0,0,0.0178066497849477,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.109842717095636,0,0,0,0,0,0,0,0,0.0667400341916701,0,-0.0607338692679911,0,0,0,0,0.0157386440496088,0,0,0,0,0,-0.0154643104294878,0,0,0,0.043800762035734,0,0,0,-0.0147748818812986,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770977835191468,0.116174408575352,0,0.129879071092873,0,0,0,0,0,0.111582019695206,0,0,0,0,0,0,0,0.0653154384737242,0,0,0.313702444890192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.105062590825525,0.188355330103426,0,0,0,0.0774685769357152,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.169655733454702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0190147781086675,0,0,0,0,0,-0.0709640311893208,0,-0.0390911024609514,0,0
X600019.SH,0.0476070812300294,0.199860128683609,0,0,0,0,0,0,0,0.229898267563068,0,0,0,0,0,0,0,0,0,0.0559689822825278,0,0,0,0,0,0.163667682032522,0,0,0,0,0,0,0,0.129738686993746,0,0,0,0,0.099774509698938,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121769071997957,0,0,0,0,-0.0119434355039867,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0984480510850842,0,0,0,2.71050543121376e-20,0,0,0,0,0,-6.93889390390723e-18,0,0.272162181322149,0,0,0,0,0,0.0060544866681984,0,0,0,0,0.221248399855598,0,0,0,0,0,0,0,0,0,0,0.29710135238011,0,0,0,0,0,0,0,0,0,-0.0733156242910635,0,0
X600660.SH,0.147310794773924,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0.0210362778112604,0,0,0,0.0446366930476745,0,0,0.3270971901353,0,0,0,0,0.147996075316543,-0.0196507434507337,0,0,0,0,-0.0814742833794544,0,0,0.0539612877410431,0,0,0,0,-0.441603405555549,0.0612986916002331,0,3.46944695195361e-18,0,0,0,0,0,-0.0873221882528149,0,0,0,0,-0.00388084550689496,0,0
X600585.SH,0,0,0,0,0,0.176267730249738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399288497901665,0.0399101864945377,0,0,0,0,0,0,0,0,0,0,0,0.276212125216706,0,0.000932542458632738,6.93889390390723e-18,0,0,0,0.0566170118346844,0,0,0,0,0,0,0.0517499764258122,0,0,0,0,0,0,0,0,-0.0486939125204018,0,0
X601600.SH,0,0,0,0,0,0.366683660019722,0,0.0862769202596509,0,0,0,0,0,0,-0.0700707436591955,0,-0.172543829121151,0,1.28938232731774,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.186227682460332,0,0,0.0112950727778276,0,-0.21874676971521,0,0,0,0.0664741143164816,0,0,-0.0468767970137372,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0437120287255947,0,0,0,0,-0.0391903789061794,0,0
X600886.SH,0,0.0740310252549552,0,0,0,0,0,0,0,0,0,0.0799430541761905,0,0,-0.185499788405219,0.466658661597519,-3.46944695195361e-18,0,0,0,0,-0.0207707450871132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487232035405757,0,0,-0.00636343224541099,0,0,0,0.0227213999161235,0,0,0,0,0,-0.115241699269345,0,0,0,0.00397609728682818,0,0,0,0.00269344343478389,0,0
X600011.SH,0,0,0,0,0,0.135920324945808,0,0,0,0.0319750047646026,0,0,0,0,0,0,0,-0.000908203646382475,0,0.0552897334056978,0,0,0,0,0.364017590410069,-3.46944695195361e-18,0.0620218251562433,0,0,0,0,0,0,0,0,0,0,0,0.0440165123690648,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0140022207454413,0,0.0620433100002961,0,0,-0.0211593101426523,0,0
