,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X002466.SZ,X601600.SH,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X601699.SH,X000708.SZ,X600010.SH,X600426.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600027.SH,X002271.SZ,X600803.SH,X600489.SH,X601991.SH,X600160.SH,X600985.SH,X600176.SH,X000807.SZ,X000786.SZ,X000408.SZ,X000630.SZ,X600612.SH,X000932.SZ,X000933.SZ,X300037.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X600688.SH,X600157.SH,X000723.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.739070158498769,0,0,0,0,0,0,0,0,0,0.0586696347025868,-0.218894946415259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.240942982227252,0,0,0,0,-0.0749025622514216,0,0,0,0.19458913891497,0,0.27253135789855,0,0,0,0,0,0,0,0,0,0,-0.0953229820399393,0,0.00936381405562383,0.0117171678576273,0,0,0,0,0,0
X600028.SH,0.702214390903837,0,0,0,0,0,0,0,0.0528063043742102,0,0,0.0247701925715732,0,-0.0421317906135085,0,0,0,-0.0104578302276532,-0.0799427595550286,0,0,0,0,0,0,0,0.113174678691535,0.0780090331561025,0,0.127748024249064,0,0,0,0,0,0,-0.0207096189252069,0,0,0,0,0,0,0,0,-0.0588434482848511,0,0,0,0,0,0,-0.00344403961835618,0.0807362097507498,0,0,0.00688846618027342,0,0
X601088.SH,0.167216180263921,0,0,0,0.0968899593437072,0,0.170981605837514,0,0,0,0,0,-0.0144323072094192,0,0,0,0,-0.0583364301168411,0.0285364256096617,0,0,0,0,0,0,0.0378688078130571,0,0,0,0,0,0,0,0.113617736988524,0,0,0,0,0,0,0,-0.196725741697513,0,0,0,0,0,0,0,-0.0155068554218872,0,0.00472914660527348,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694744378938849,0,0,0,0,0,0.123540990467964,0.185938670512086,0,0,0,0,0,0.117580503556741,0,0,0.0487359621940269,0.204973055115672,0,0,0,0,0,0,0.315314482241674,0,0.226715407869459,0,0,0,0,0,0.426174760413705,0,0,0,0,0.00844464810157021,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.244880030681322,0,0,0.117211097950747,0,0,0,0,0,0,0,0,0.24003455745614,0,0,0,0,0,0,0.142731717485148,0,0,0,0,-0.0176815843793717,0.0180912219342758,0.105732128415329,0,0,0,0,0,0.0066658233059979,0,0.225948014716887,0,0,0,0,0,0,0,0,0,0,-0.0050506122779723,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.210815140571971,0,0,0,0.203266754602091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106161012444841,0.642900930220944,0,0,0.289974291513125,0.170530778005083,0,0,0,0,0,0.0568308715109778,0,0,0,0,0.0204027596680422,0.011960762407247,0,0,0,0.0350627742295731,0,0
X601898.SH,0.0066131466506385,0,0.294727205449638,0,0.173013258750177,0.0603057253162372,0,0,0,0,0,0,0,0,0,0.028466222241307,0.0152478595788287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648203832052387,0,0,0,0,0.0305079571154623,0,0,0.178690935705541,0,0,0,0,0,0,0,0.00605700958662051,-0.0155795279515689,0,0,0,0.0245785342409091,0,0
X600011.SH,-0.00773289391813755,0,0,0,0,0,0,0,0,0.00508117504194075,0,0.219621443585987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280873971922165,0,0.0969431102927436,0,0,0,-0.0325961256946707,0.101467952532661,0,0,0,0,-0.033224924988863,0,-0.137313246105039,0.0107554184155449,0,0,0.0737474137503872,0,0,0,0,0,8.67361737988404e-19,-0.00726578135585038,-0.00954458258072663,0,0,0,-0.0174766287313516,0,0
X600585.SH,0,0,0,0,0,0.0285743808466262,0,0,0,0,-0.102024079387792,0,0,0,0,0,0,0,0,0,0,0.0545860815630146,0,0,0.338697002394411,0.0286761955129537,0,0.282081510543257,0,0,0,0,0,0.0376168779670776,0,0.0195763475994606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00461732862548474,0,-0.0441620655250127,0,0,0,0,0
X600547.SH,0,0.117449375211582,0,0,0.0295514833356543,0,0,0,0,0,0,0,0,0,0,-0.0724651626827853,0,0,0,0,0,0,0,0,0,0.0117122163580015,0,0.0557151644739198,0,0.476506252259406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189413603364716,0.000530203421132488,0,0,0,0,0,0
