,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600111.SH,X600019.SH,X002466.SZ,X600010.SH,X600011.SH,X000877.SZ,X600188.SH,X002271.SZ,X600660.SH,X000301.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X000723.SZ,X600426.SH,X600176.SH,X000408.SZ,X601991.SH,X002080.SZ,X600219.SH,X000786.SZ,X600795.SH,X600803.SH,X600027.SH,X600399.SH,X002326.SZ,X000831.SZ,X300037.SZ,X300073.SZ,X600688.SH,X600516.SH,X000959.SZ,X600486.SH,X600141.SH,X600157.SH,X000825.SZ,X600801.SH,X600352.SH,X600489.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.42918982026523,0,0,0,0,0.058076600143631,0,0,0,0,0,0,0,-0.0194860849786444,0,0.0626890557323587,0,0,0.0492254324024336,0,0,0,0.0349856491191462,0.00662452663190271,0,0,0,0,0,0,0,0,0.136797115123537,0,0,0,0,0,0.0676562595837484,0.0794265674363357,0,0,0,0,0,0,0,0,0,0,-0.00815081593008227,0,0,0,0,-0.0443968361015925,0,0
X600028.SH,0.0683430097441423,0,0,0,0,0,0,0,0,0,0,0.00550969309215593,0,0.0633479719979466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118893396569192,0,0,0,-1.73472347597681e-18,0,0,0.0376737710994315,0,0,0,0,0.108427167433226,0,0.0703093689542122,0,0,0.0936725554663808,0,-0.0216841918978766,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.18921951507975,0,0.156116965610002,0,0.325867810773659,0,0,0,0,0,0,0,0,0,0.0752778109255327,0,0,0,-0.169785004292298,0,0.039477979841242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561666271981831,0,0.0650335984635683,0,0,0,-0.0147123165504313,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0901779366471616,0,0,-0.0457242549116538,0,0,0,0,0,0.1442533894925,0,0.00245531212812663,0,0,0,0,0.0813685927722016,0,0.0132971047627168,0,0.107054469347676,0,0,0,0,0,-0.0416136044377389,-0.0349762116078904,0,0,0,0,-0.0996042516922355,0,0,-0.0458354035942616,0,0,0,0,0,0,0,-0.00984222907193478,0.0350602362194875,0,0,0,0,0,0
X600585.SH,-0.0905397218451555,0,0,0,0,0,0.0556152740696298,0,0,0,0,0,0.086788053947398,0.118126266826794,0.0139565086662517,0,0,0,0,0,0,0,0,0,0,0.257440338288052,0,0,-0.153753946112134,0,0.114290730945215,0,0,0,0,-0.0314411290697913,-0.0761129015031628,0,0,0,0,0,0,0,0,0,0.393917210440548,0,0,0,0,-4.33680868994202e-19,0.0134234278763881,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.570161355281382,0,-0.0031565390069417,0,-0.0630818042143205,-0.0428837672748409,0.440818208320803,0.0689709444850534,0,0,0.0173936549953692,0.141066014046547,0,0,-0.046427227143474,0,0.134929234492298,0,0,0,0.0223697114980709,0,0,0,0,0,0,0,0,0,-0.0282742836740355,-0.023700076958367,0,0,0.132622648673203,0,0,0,0,0.116044765791333,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.25983351704741,0,0,0,0,0,0,0,0,-0.0426404513166781,0,0.0113885416361573,0,0,0,0,0,0,0,0,0,0.446427899828046,-0.163751528752026,0.0900617962236579,0,0,0,0,0,0,0.0686101245135367,0.186713804263582,0,0,0.0670780245060843,0.113606635096101,0,0,0.0243133546530616,0,0,0,0,0,0,0,-0.0144502703851409,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.00043524558183242,0,0,0,0.331697541207079,0.332246066158263,0,0,0,0.0153519883434293,0,0.0896993140944832,0,0,0,0,0,0,0,0.0753199263470947,0,0,0,0,0,0,0,-0.184947550867671,0,0.0577712266667046,0,0.183991671294485,0,0.195215196208136,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113140801739383,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0190291938971069,0.0918586271278697,0,0,0.0857247399172573,0,0,0,0,0.0589188513513947,0,0,0,0,0,0.0102956815557512,0,0.0233012762959907,0,0,0.101513455099385,0,0,0,0,0,0,0,0,-0.0236152470397659,0,0,0,0,-0.0599019377166428,0.0630836477286019,0.170913746879901,0.170344889634094,0,0,0.0739064813866928,0,-0.0100303820270362,0,0,0,0,0,0,0
X002466.SZ,-0.0609790747049263,0,0,0,0,0.570742119218613,0.217278502730362,0,0,0,0.0422897935613636,0,0,-0.0454320378685916,0,0,0,0,0,0,0,0,0,0,0,0,0.131083161778697,0,0,0.0464554198429605,0,0,0,-0.031195909666694,0,0,0.143537589219,0,0.0871748723589815,0,0,0.0727931395819502,0,0,0,0,0,0,0,0,-0.0308874463416049,0.0259807518793163,0,0,0,0,0,0,0
