,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X601992.SH,X600299.SH,X600352.SH,X601158.SH,X000027.SZ,X002466.SZ,X600583.SH,X000539.SZ,X600623.SH,X600309.SH,X000630.SZ,X600098.SH,X000792.SZ,X600660.SH,X000883.SZ,X600021.SH,X000709.SZ,X000898.SZ,X600160.SH,X002470.SZ,X600863.SH,X600578.SH,X300072.SZ,X600315.SH,X000060.SZ,X600489.SH,X600547.SH,X601918.SH,X000629.SZ,X600022.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.532275165163505,0.0156670888485362,0,0,0,0,0.0609778265317166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913011922402449,0,0,0,0,0,0.00866099411607642,0,0,0,0,0,0.0321342101192907,0,0,0,0,0,0,0.105096888912655,0,0,0,0,0,0,-0.0123904921798429,0,0,0.00355909703427738,0,0,0,0
X600028.SH,0.61603457930041,0,0.135167005923351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164886159496668,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0556256152554585,0,0,0,0,0,0,0,0,0,0.0304630002873465,0.0623860416994876,0,0,0,0,0,0,-0.00585838568092156,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.528108760971144,0,0,0.269385319461439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039370433160308,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264696329682459,-1.35525271560688e-20,0,0,0,0,0,0,0,-0.00660226178000143,0,0,0,0,-0.00620907062905903,0,0,0.0613823531902695,0,0,0,0
X600011.SH,0,0,0.152020557986839,0,0,0,0,0,0,0,0.431034569039711,0,0.123042091779519,0,0,0,0,0,0.106968769479842,0,0,0,0,0.013134800317303,0,0,0,0,0,-0.0843814634031817,0.0476542205807067,0,0.198095619271129,0,0,0,0,0.0192651816138701,0,0,0,0,0,-0.073046699742374,0,-0.00814862207771816,0,0,0,0,-0.00331177760454095,0.0093322716011116,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.0274764303565432,0,0,0,0.217582766256345,0,0.265716965038308,0,0,0,0,0,0.131966934182382,0,0,0,0,0,0,0,0,0,0,0,0.0977217823123814,-0.0380148422339044,0,0,0,0.0271307078517101,0,0.0158944590748929,0,0,0.0104720985276574,0.154568469841925,0,0.0266563101319638,0,-0.0212238673821022,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.065959770287439,0,0.0118241489869953,0,0,0.0875291338159871,0,0,0.0874995124037017,0,0,0,0,0,0.0678460952917314,0.0302803146220719,0,0,0,0,0,0,0,0,0,0,0,0,0.0755408344065038,0.0401098885686349,0,0,0,1.73472347597681e-18,0.0707309248916755,0,0,0,0,0.123547020972212,0,-0.0395664330729877,0,0,0,0,0,0,0
X600585.SH,0,0,0.121580356392429,0,0.000390970209879078,0,0,0,0,0,0,0,0,0.0796160422488061,0,0,0,0,0,0,0,0.11292376191436,0,0,0.136138138833995,0,0,0.0161627902055426,0,0,0,0,0,0,0,0,0.0151045571528528,0,0,0,0,0,0.113304665570597,0,0,0,0,0,0,0,-0.0287294139545789,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.371476252737441,0,0,0,0,0.106965384863096,0,0,0,0,0,0,0.0819215821624988,0.0966195680459816,0,0,0,0,0,0,0,0,0,0,0.289035651019685,0,0,0.01017205474284,0,0,0,0,0,0,0,0,0.0466707829671207,0,0,0,0,-0.0194777771495504,0.00768388097007139,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0141582179232827,0,0,0,0,0,0,0.00822117041500744,0,0.0768568466032349,0,0,0,0,0,0,0,0,0,0,0.129880236837747,0,0,0,0,0,0.00143767597694744,0.155349523191035,0.0706539466873837,0,0,0,0,0,0,0.0308103155895247,0,0,0,0,-0.0668117693502994,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271320766786437,0,0,0,0,0.0147342103453236,0,0.0763447951881207,0.0163692544502666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304040506927351,0,0.117438459394917,0,0,0,0,-0.0143422990180876,0,0,0,0,0,0,0
