,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X600299.SH,X601992.SH,X000792.SZ,X600188.SH,X601158.SH,X600160.SH,X600623.SH,X000883.SZ,X600583.SH,X000027.SZ,X600309.SH,X000539.SZ,X600660.SH,X600352.SH,X002466.SZ,X000709.SZ,X000898.SZ,X600098.SH,X000630.SZ,X002470.SZ,X000629.SZ,X600021.SH,X000060.SZ,X600547.SH,X600489.SH,X002004.SZ,X600578.SH,X000012.SZ,X600315.SH,X300072.SZ,X600022.SH,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.616394631125244,0.0217477712142161,0,0,0,0,0,0,0,0.0150380678517217,0,0,0,0.0077951855156325,0,0,0,0,0,0,0,0.0349150853633292,0,0,0.0604378994537851,0,0.0477550670162236,0,0,0,0,0.0488766976360613,0,0,0,0,0,0,0.00795618879646623,0,0,0,0,0,0,0,0,0,0,0.0014504703173868,0,0,0,0,0,0,0
X600028.SH,0.300566795227051,0,0.0502312684647851,0,0,0,0.154788815555474,0,0,0,0,0,0,0,0,0,0,0,0,0.0120829605190347,0,0,0,0,0,0.166827948317586,0,0,0,0,0,0,0,0,0,0,0,0.00790416623060429,0,-1.73472347597681e-18,0,0,0.00649470557178277,0,1.73472347597681e-18,0,0.0705841368725722,0,0,0,-0.00552551759301957,0.00803326936025238,0.0507137507619548,0,0,0,0,0
X601088.SH,0.28306291938651,0,0,0,0,0,0.0582145372832888,0.239772077119074,0,0,0,0,0,0,0,0,0,0,0,0.0261505994678552,0.0083398539919038,0,0,-0.0129846935110895,0,0,0,0,0,0,0,0.0323487352669826,0,0,0,0,0,0,0,0.0477436798425927,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.000444423957519999,-0.00667826619985184,0.0211925413246507,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.016199125552574,0,0,0,0,0.216072242739002,0,0,0,0,0,0,0.018331692584747,0.0570043907148226,0,0.0286461789680756,0,0,0,0,0.037654192168635,0,0,0,0,0,0,0.0177647876184083,0,0,0,0.0400322992921359,0.0404652500790353,0,0,0,0,0.0575966586090368,0,0,0,0,0,0,0.0222176798372751,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.00612578593553424,0,0,0,0.0164655229685618,0,0.392240430075543,-4.33680868994202e-19,0,0,0.0746978437202988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739295709905074,0,0.135456687245349,0,0.089787490573919,0,0,0,0,0,0,0,0,0,0,0,0.000677197264150454,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197433505475214,0,0.051473756846476,0,0,0,0,0,0,0,0,0,0,0,0.0617688797290245,0,0,0,0,0,0,0.0449301958324961,0,0.032055245216939,0,0,0,0,0,0,0,0,0,0.0207865657060238,0,0,0,0,0,0
X600585.SH,0,0.258533358325159,0,0,0,0,0,0,0.0601906055764591,0,0,0,0.0406027981440366,0,0,0,0,-0.00209643117506934,0.0176638767378661,0,0.00736953112993373,0,0.0378255548819012,0,0,0.0655530174364579,0,0,0,0,0.076207217348227,0.0596481962973188,0.138159463272291,0,0,0,0,0,0,0.0478398840888401,0,0,0,0,0,0,0,0,0,0,-0.0247880473229786,0.00463299175515776,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.103568959150615,0,0,0,0.120424961724585,0,0.0210733755078766,0,0,0.0642538520968359,0.165217453308452,0.0147186291955669,0,0,0,0,0.0863203675728439,0,0,0,0,0,0,0,0.0440555370865333,0,0,0,0.0177113794069341,0.025589459127958,0,0,0.0727711734365259,0,0.0668309820791018,0,0,0,0,0,-0.0107678399785453,0.00345721328396007,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.166736536267823,0,0,0,0.0842280471015609,0,0,0,0.0214951176889544,0,0,0,0.00371115324645385,0.0072153281078091,0,0,0.0184190491182618,0,0,0,0.0433375096057593,0,0,0,0.0192457307666432,0.0156490343388682,0.0290657221709307,0,0.0496908435022166,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.00350909504028073,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.0402221610859235,0,0,0,0.148304367647519,0.00231211538123294,0,0,0,0,0.205186003643662,0,0.00782721232696925,0,0,0,0,0,0,0,0,0,0.184548430561742,0,-0.00793340268411223,0.00986297489072774,0,0,0,0.126420421637743,0.0457573077587925,0.0101525479837678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
