,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600688.SH,X600795.SH,X002466.SZ,X300072.SZ,X600188.SH,X601992.SH,X601991.SH,X600547.SH,X600362.SH,X600886.SH,X002460.SZ,X600111.SH,X600516.SH,X000898.SZ,X000786.SZ,X000709.SZ,X600157.SH,X600027.SH,X600176.SH,X000553.SZ,X000792.SZ,X000408.SZ,X600352.SH,X600339.SH,X600219.SH,X600489.SH,X002271.SZ,X000959.SZ,X000723.SZ,X600808.SH,X601158.SH,X600299.SH,X000883.SZ,X002470.SZ,X000630.SZ,X000983.SZ,X000825.SZ,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.350880757688193,0,0,0,0,0,0,0,0,0,0,0,0,0.0476936465175346,0,0,0,-0.0196147062215064,0,0,0.0281363153272625,0,0,0,0,0,0,0,0,0,0.0436701312835066,-0.0389628615260409,0.0499478983885108,0,4.33680868994202e-19,0,0.00508311199128869,0,0.0320656020764063,-0.0694425291588513,0,0,0,0,0,0,0,0,0,0,0.009717124355108,0,0,0,0,0,0
X600028.SH,0.310338927002134,0,0,0,0.1294870491078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00676963756982683,0.0109725260509149,0.0413145485973033,0,0,0,0,-0.0686521968503703,0,0.0252205360478272,-0.00240430966355722,0,0,0,0,0.00458281692003752,0.00542903438015573,0,0,0,0,0,0,0,0,0,0,0,0,0.00634098245673184,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0411472741216328,0,0,0,0,0,0,0.698028190332908,0,0,0,0,0,0,0,0,-0.0150961914222099,0.113003746458012,0,0,0,0,0,0,-0.00613274015088517,0,-0.0677374938910631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858786384247019,0.118918298181295,0,0,-0.00108622696719801,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040836020283618,0,0,0,0,0,0,0,0,0.0428838295972899,0.0296180285819133,0.173435121241677,0,0,0,0,0,0,2.16840434497101e-19,-0.10830406823247,0,0,0,0,0,0,0,0.0360965621943478,0,-0.0327250807167848,0,0,0,0.228420910714823,0.0126634548667893,0,-0.00838485293909889,0,-0.0231136670767768,0,0,0,0,0,0
X600585.SH,0,0,0.111145900597886,0,0,0.0779067356331948,0,0,0,0,0,0,0,0,0.089115400588043,0,0,0,0,0,0,0,0,0.1097532770656,0,0.00829667227347323,0,0,0,0.0315127430939855,0,-0.0569839318952667,0,-0.1044568424243,0,0,0,0,0,-0.210388981118443,0.243356710045149,0,0,0,0,0,0.117008590304204,-0.317587017987464,0,0,0,0.0222502574110155,-3.46944695195361e-18,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126306846964537,0,0,0,0,0,0,0,0.111078740069895,0,0,0,0.00367567868339927,0,0,0,0,0,0,-0.0126072671687601,0,-0.031269148577215,0.165753899901782,0,0,0,0,0,0,0,0,0,0,0,0.0678265228857471,0,0,-0.0840564712812644,0,0,0,0,0,0,0
X600010.SH,0,0,-0.0398159900770699,0,0,0.0113221337165185,0,0.0854312815928153,0,0,0,0,0,0,0,0,0,0,0,0.107374221631072,0,0.0299553414735092,0,0,0,0.0481517413271939,0.108804526768655,0,0,0,0,0,0,0,0,0,0,0,0,0.0626372811350444,0.0771377378922581,0,0,0,0,0,0.166377727823111,0.0731089589669606,0,0,-0.00315032107510636,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0871709113568078,0.213987022324963,0,0,0,0,0,0,-0.193156817769411,-0.0439517922062032,0,0,0,0,1.38777878078145e-17,0,0,0.0356325275803778,0.146757732720851,0,-0.219071445196038,0,0,0,0.252192722225025,0,0,0.0247613518657744,0.25155750048416,0,0,0,-0.324124075036515,0,0,0,0,0,0,0,0,0,0,0.166879145847854,0,0,0.0238563067852147,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-0.0220818344328299,0,0,0,0,0,0,0,0.0930360238030671,0.0408515490675187,0,0,0,0,0,0,0,0,0,0,0,0,-0.00989849523964364,0,0,0,0,0,0,0,0,0.0908640716159044,0,0,0,0.0901528506049686,0,0,0,0.036824480132045,0,0,0,0,0.00781482827228075,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0301834236954521,0,0,0.308521859040064,0,0,0,0,0,0,0,0,0.0210811933540719,0,0,0,0,0,0,0.00380159241685149,0,0,0,0,0,0,0,0,0.0631024841913699,0,0,0,0,0,0.180131370791004,0,0.0259954611195944,0,0,-0.00172916007321333,0,0,0,0,0,0
