,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X002466.SZ,X601600.SH,X601991.SH,X600688.SH,X600660.SH,X600362.SH,X600795.SH,X600516.SH,X002460.SZ,X600547.SH,X600886.SH,X300072.SZ,X601992.SH,X600111.SH,X000898.SZ,X600176.SH,X600352.SH,X600027.SH,X000553.SZ,X000786.SZ,X000792.SZ,X600299.SH,X000709.SZ,X000825.SZ,X600426.SH,X000408.SZ,X002271.SZ,X000830.SZ,X601158.SH,X601699.SH,X600315.SH,X600157.SH,X600489.SH,X000883.SZ,X600219.SH,X600808.SH,X600583.SH,X600339.SH,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.163188535395297,0.16205660025573,0,0,0,0,0.0316858750177222,0,0,0.0254880998407509,0,0,0,0,0,0.0898940713207643,0,0.046758401745999,0,0,0,0,0,0.0287362521368924,0,0,0,0,0,0.0630028549519953,0,0,0,0,0,0.0267051981211996,0,0,0,0,0,0,0,0,0.0487024434580146,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.343042698433007,0,0.169910283823666,0,0,0,0,0,0,0,0,0,0.460573701693015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426069999106772,0,0,0.106144098815113,-0.0402717679341013,0,0,0,0.0696382982894774,0,0,0,0,0,0,0,-0.0107560420780628,0,0,-0.0308549567437929,0.0030083590097545,0,-0.132264854001995,0,0,0,0
X601088.SH,0,0.0993890072546673,0,0.188736395819945,0.10267380061392,-0.109513912642708,0,0.0409310922160529,0,0,0,0,0.378764379532207,0,0,0,0,-0.0473052619916119,0,0,0,0,0,0,0,0,-0.139012881833254,0,0,0,-0.0325094697332923,0,0,0,-0.0739570692723202,0.00628458951682911,0,0,0.366600837147732,0,0,0,0,0,0,0,0.0183193582858025,0,0,0.00558630539685062,-0.0274148230592983,0,0.0617094041891203,0,0,0,0
X600019.SH,0,0,0.269858765235815,0,0,0,0,0.304559170044673,0,0,0,0,0,0,0,0,-0.0840088881653632,0,0,0,0,0,0,0,0,-0.0929748928297786,0,0,0,0,-0.0891854381215143,0,0.128270687844118,0,0,0,-0.111355056932915,0,0,0,0,0,0,0,0.192017790292125,0,0,-0.0355295263254506,0,0.0190268221587824,0,0,0,0,0,0,0
X600585.SH,0,0,0.419830338749743,0,0,0,0,0.112568883530405,0,0,0,0,0,0,0,0,0.0304586596555912,0,0,0,0,0,0,0,0,-0.0241152624342047,0,0,0,0,0.0511245649402687,0,0,0.0241025695281958,0,0,0.196762539357751,0,0,0,0.0853188750985472,0,0,0,0,0,0,-0.091297177096399,0,-1.0842021724855e-19,0.0678363269501685,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.106951677991043,0,0,0,0,0,0,0,0,0,0,0,0,0.00776529313162043,0,0,0.0613616632086514,0,-3.46944695195361e-18,0,0,0,0.361678979323031,0,0,-0.0289119908013773,0.135886881135467,0,0,0,0,0.2927233931436,0,0,0.0996477943703508,0,0.0239066778077179,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0203727679984002,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151116770119794,0,0,0,0.162374270851378,0,0,0,0,0,0.0465463071915802,0,0,0,0.0916413516404428,0,0.0931327386268527,0,0,0,0,0.0321200967569041,0,0,0,0.039212699968028,0,0.0470397775353368,0.0926928225474048,0.000205293617575355,0,-0.00985985753415951,0.0102763599845976,0,0,0,0,0,0
X600188.SH,0,0,0.508576901241687,0.166279774538782,0,0,0,0,0,0.281635621475492,0.0331520016388608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236620514586188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168106485224907,0,0,0,0,0,0.0136975001187287,0.150249930711524,0.17509596813977,0,0,-0.0041889511020572,0.0191221495735231,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0888180387348312,0,0,0,0,0,0,0,0,0.0169767711609058,0,0,0,0,0.0499757355849361,0,0.107251795108499,0,2.16840434497101e-19,0,0,0.0229323154109829,0,0,0,0,0.0162325890489149,0,0,0.018577780938969,0,0.0183965051041056,0,0,0,0,0.0369159630787434,0,0,0,0,0,0,-0.015478858354012,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.12032193478451,0,0,0,0,0,0,0,0,0.0167628586128119,0.452888597786859,0,0,0,0,0.0316501685350295,0,-0.0619012661540282,0,0,0,-0.0387543004057634,-0.0193720525199052,0.120009878896803,0,0,0.0257859135401637,0,0,0,0,0,0.111486919762835,0,0,0,0,0,0,0,0.0533465579030643,0,0.0120057616629365,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.478965566984022,-0.0375877089931813,-0.435077621352405,0,0,0,-0.149653180294035,0,0,-0.343279820388821,0.108840181477846,0,0,0,-0.0244284347772802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25412929444784,-0.088773074053513,0,0,0,0,0,0,0,0,0,0,-0.248623148814146,-0.0969253072587274,0.220747132882089,-8.67361737988404e-19,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111832362694708,0.00130961345452586,0,0,0,0,0,0,0.0345352058755031,0.0121930830227889,0,0.0793803726409464,0.0919564556544452,0,0,0,0,0,0,0,0.0410919795239296,0,0,0,0,0.018382165235891,-0.019108966821753,0,0,0,0,0,0
X600688.SH,0,0.152159276640143,0.154595843111508,0,0,0.0266366556731941,0,0,0,0,0,0,0,0,0,0,0.0449897713475482,0,0,0,0.0391694187535904,0,0,-0.00109188986511987,0,0,0,0,0.0359066511440856,-0.038755602531809,0.00944709896131792,0,-0.0732099646653886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132255296575316,0,0,0,0,0,0,0
