,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600011.SH,X600585.SH,X600188.SH,X002460.SZ,X600547.SH,X601898.SH,X002466.SZ,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X600489.SH,X000983.SZ,X000807.SZ,X601699.SH,X000786.SZ,X600160.SH,X000932.SZ,X000539.SZ,X000629.SZ,X600219.SH,X000408.SZ,X300037.SZ,X600995.SH,X002080.SZ,X600688.SH,X000933.SZ,X600612.SH,X000630.SZ,X600096.SH,X600157.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.453788974449308,0,0,0,0.0308228181527198,0,6.93889390390723e-18,0,0,0.114571019432325,0,0,0.144211505918722,0,0,0,0,0,0,0,0.0379201771603602,0,0,0,0,0,0,0.0344668178570149,0,-0.111725148711602,0,0,0,0.0277943244961707,0,0,0,0,0,0.123570161113325,0,0,0,0,0.325528860555798,0,0,0,0,0,0.0802187571525176,0,0,0,0,0,0,0
X600028.SH,0.588629814491116,0,0,0,0,0,0.212300979433143,0,0,0,0.169662552724409,0,0,0,0,0,0,0,0,0,0,-0.0765448835032759,0,0,0.132972076181659,-0.0580495292708341,-0.0252793950355086,0.0424856715844068,0,0,0,0,0.0325518485242324,0,-0.000407499006127048,0,0,0,0,0,-0.0499572387482764,-0.108554549390449,0,0,0,0,0,-0.0367551065065317,0,0,-0.143900112829145,0.0213572153352573,0.016131357731283,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.336422982418156,0,-0.0432460986893083,0,0,0,0.0770338666274451,0,0,0.0322617001308786,0,0.107758057682382,0,0,0,0.0845242679361144,0,0,0.189350778580139,0,0,0,0,0,0,0,0,-0.0183042806684762,0,-0.0604222247381792,0,0,-0.101470683814055,0,-0.136670707692447,0,0,0,0,0,0,0,0,-0.0436108441346488,-0.0127225985757375,0.0212497548087469,0,0,0,0,0,0
X600309.SH,-0.00390044266414919,0,0,0,0,-0.161719418593865,0,-0.0338981775573976,0,0,0,0,0,0,0,0,-0.0192270213136071,0,0,0,-0.229927007788649,-2.71050543121376e-20,0.231537376562628,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0705736094526864,0,0,0,0,0,0,0,0,0,0,0.110456932655724,0.00851438988321046,0,0,0,0,0,-0.0116919777872382,0,0,0,0,0,0,0
X600019.SH,0,0.0571778915913715,0,0,0,0,0.135191395731615,0.0417198861518956,0,0,0,0,0,0.115714617177795,0,0,0,0,0,0,0,0,0.0370619178466455,0,0,0,0,0,0,0,0,0.142628091839237,0,0,0,0,2.16840434497101e-19,0,0,0,-0.0969547682726125,0.0176194818602025,0,0,0,-0.0301990537316995,0,0,0,0,0,0.070291317113177,8.67361737988404e-19,0,0,0,0,0,0
X600011.SH,0,0,-0.0128440481225158,0,0,0,0.0792523188627828,-0.078904988126544,0,0,0,0,0,0,0,0.177517448002041,0,0,0,0,0,0,0,0,0,0,0.251492805382581,0,0.59005105537908,0.103258417917479,0,0,0,-0.154361292997558,-0.0185345869947644,0,0,0.100114336598389,0,-0.210645691954734,0,0,-0.33295904812799,0,0,0,0,0,0.11427902591759,0,0,0.0301826575536105,-0.0503612325823403,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.361951467963266,0.154289641631981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204513924756812,0,0,0,0,0,0,0,0,0,0.0601981831618593,0.042560462130164,0,0.185362673026191,0,1.73472347597681e-18,0,0,0.0227379105767729,-0.0132672671980227,0,0,0.0687325069841578,0,0,-0.00116700421514466,-0.0584891939872261,0,0,0,0,0,0
X600188.SH,0,0,0.506894509936529,0,0,0,0,0,0,0,0.138591766247735,0,0,0.148225376687387,0,-0.106651217870441,0,0,0.0282277877636768,0,0,0,0,0,0,0,0,0,0,-0.222326708181103,0,0,0.487954047714868,0,0.0355327455532037,-0.0305617918034235,0,0,0,0,0,0.118138874842354,0,0,0,0,0.0627814784794771,0.19380393857673,0,-0.195541917499334,0,0,-0.200721149306423,0,0,0,0,0,0
X002460.SZ,0,0,0,-0.0740295016574483,0,0,0,0,0,1.73472347597681e-18,0,0.587574610787289,0,0,0,0,0,0,0,0,0.0238673954655855,0,0,0,0.0869052937611491,0,0,0,0,-0.0396642191354843,0,0,0,0,0.0435507312040058,0.220674116409264,0.00637162820644449,0,0,0.32724047484887,0,0,0,0,-0.0430041836406645,-0.00863305982556277,0,0,0,0,0.1341631626562,0.0160816504043173,-4.33680868994202e-19,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0189233373540923,0,0,0,0,0,0,0,0,0,0,0,-0.235436838807042,0.0344540863727359,-0.0439131767382212,0,0,0,0,-0.00799856078556586,0,0.108908367896526,0.706333225904167,0,0,0,0,0,0,0.0232262236220863,0,0,0,-0.0484328509204748,0,0.140035118503076,0,0.140470745126191,-2.16840434497101e-19,0,0,-0.261639602176695,-0.11411987789544,0,0,-0.0395088988802596,0,0,0,0,0,0
