,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X000301.SZ,X600010.SH,X000708.SZ,X600547.SH,X002271.SZ,X601600.SH,X000877.SZ,X600886.SH,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X601699.SH,X600027.SH,X601991.SH,X600803.SH,X000983.SZ,X600995.SH,X000786.SZ,X600096.SH,X600160.SH,X000629.SZ,X000408.SZ,X000723.SZ,X600219.SH,X000807.SZ,X600489.SH,X002080.SZ,X600348.SH,X600141.SH,X600378.SH,X000933.SZ,X000630.SZ,X600688.SH,X600157.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.619455872350143,0,0,0,0,0,0,0,0.320123251952153,0,0,0,0,0,0,0,0,0.0299977162443798,0,0,0,0,0,0,0,0,0.0110306692683352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0.00525993906462672,-0.0269616784162481,-0.0133119871935529,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.403172181751406,0,0,0,0,0,0,0,0,-0.00528627097996854,0,0,0,0,0,0,0,0,0,0.0334816968700685,0,0.0540242558877771,0,0,0,0.144416188047415,0,0,0,0,0.0217625757590544,-0.0636554152677931,0.102248905189578,0,0,0,0,0,0,0,0,0,0.0366091217730136,0,0,0,0,-0.0118101894749348,0.0041531613307019,0,0,0,0,0,0
X600028.SH,0.605712389122412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127690251273489,0,0,0,0,0,0,0,0.020011761651463,0,0,0,0,0.0420455685868957,0.0383772925331633,0,-0.0121207435802915,0,-0.0504399357159329,0,0,0,0.0719952903217354,0.0139101137256615,0,0,0,0,0,0,0,0,-0.06485176462594,0,0,0,0.00219893879375372,-0.00358592510809487,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713002294705745,0,0,0.117420891888163,0,0,0,0,0,0.337256122714641,0,0,0,0.124868117361521,0,0,0,0.0287713811404386,0.109658136737776,0,-0.128095702376498,-0.0718988545145287,0,0,0,0.134887438320491,0,0,-0.22697630392785,0,0,0,0,0,0,0,0,-0.00299627366512996,-0.0119048721371259,0,0,0,0,0,0
X600188.SH,0,0.71024296827667,0,0,0,0,0,0,0,0,0.112209920787379,0,0,0,0.061222182424428,0,0,0,-0.0840376095146386,0,0,0,0,0,0,0,0,0,0,0,0.0307682393666314,0,0,0,0,0.0277215494830903,-0.0458546190754403,0,0,0,0,0,0,-0.0232458459633978,0,0.253577282319844,0,0,0,0,0,0.00200327372990592,0.0658811377514562,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.442366900649594,0.14295912073605,0,0,0,0,0.0125939467432966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627071852435861,0,0,0,0,0,0,0.0932165691570637,0,0,0,0,0,0,0,0,0,0.00319485620180448,0.0317893099270004,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,-0.0685925431174476,0,0,0,0,0,0,0,0,0.269424155225712,0,0,0,0.279487009331467,0,0.0620765200488564,0,0,0,-0.00872034682477116,0.0258847311572399,0.0645510629598941,0,0,0,0.340546946707496,0,0,0.00375007123489203,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.636197269524333,0,0,0,0,0,0,0,0,0,0,0,0,0.159793830200409,0,0,0,0,0,0,0,0.0839435644609693,0,0,0,0.019726520809831,0,-0.0999463713352279,0.192968422826342,-0.0313842315509382,0.126292097443183,0,0,0,0,0,0,0.078351795355014,0,0,0,0,-0.0706327798518901,0,0,-0.0141857706566011,-0.0202967882944428,-0.0428616489386643,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.372126982796956,0.0854131429219135,0.135519343143726,0,0,0,0,0,0.15841177960956,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205396156520094,0,0,0,0,0,-1.73472347597681e-18,0,0,0.00142352265493974,0,0,0,0.111749679978259,0,0,0,0,0,0,0,0,0,0,0.0851933127199205,-0.0232874069413807,-0.00120071287976104,0,0.207630340106346,0,0,0,0
X600019.SH,0,0,0,0,-4.33680868994202e-19,0,0.0544654960093916,-0.127046490469983,0,0,0,0,0,4.4678166598552e-05,0,0,0,0,0,0.345785708650734,0,0,0,0.199904210323987,0,0,0,0,0,0,0,-0.051078689327959,0.0542529836844122,0,-0.0987422851343352,1.6940658945086e-21,0,0,0,0,0,0,0,0,0,0,0,0.0180470359430013,0,0.146727242411344,0,-0.00684991879784006,0.00801265747307055,0,0,0,0,0,0
