,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600011.SH,X600886.SH,X601600.SH,X600585.SH,X600660.SH,X600547.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X000708.SZ,X600010.SH,X600803.SH,X600027.SH,X600160.SH,X600111.SH,X002460.SZ,X601991.SH,X600426.SH,X000301.SZ,X000983.SZ,X000807.SZ,X002466.SZ,X000877.SZ,X601699.SH,X600219.SH,X000630.SZ,X002128.SZ,X000786.SZ,X000933.SZ,X601168.SH,X600176.SH,X600985.SH,X000408.SZ,X600096.SH,X000883.SZ,X002353.SZ,X000027.SZ,X002409.SZ,X002271.SZ,X000932.SZ,X600282.SH,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.488975767540159,0,0,0,3.46944695195361e-18,0.0857865728189501,0,0.0950864556555154,0,0,0,0,-0.197686515470011,0.0310253782019336,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0549415314528149,0,0,0.0290131717438933,0,-0.014010856494618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109365616715241,0,0
X601088.SH,0.214461505362832,0,0,0,0,0,0.0683598031710601,0,0,0.0121913275345553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934134560471101,0,0,0,0,0,0,0,0,0,0.0271349374423663,0,0.0597116115289922,-3.46944695195361e-18,0.0147246688568891,0,0,0,0.180377348280881,0,0.0322502423526101,0,0,0,0,0.0553276177525394,0,0
X600028.SH,0.398495650481636,0.144123825648728,0,0,0,0.075542174510335,0,0,0,0.0584182823782226,0,0,0,0,0,-0.0420708074465982,0,0,0,0,0.048953706040902,-0.00371921200170627,0,0,0,0,0,0,0,-0.0100522163040102,0,0,0,0,0,-0.113154171423249,0,3.46944695195361e-18,0,0,0.0125172095205035,0.0615492270190783,0,0,0,-0.0747998804419555,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0298723374880892,0,0
X600309.SH,-0.116796679391212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017861395999534,0,0,0,0,0,0,0,0,0.119347819775864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00217609531118536,0,0,0.196137774530029,0,0.0390868997882325,0,0,-0.0110863157402973,-0.0307270996081074,0,0,0,0.0186710990727813,0,0
X601898.SH,0,0,0,0,0,0,0.0462446691048725,0,0,0,0,0,0,0,0,0,0,0.0712542788344246,0,0,0.0259371880306153,0.0530964968156197,0,0,0,0,0,0,0,-0.046936969067275,0,0.267777885284112,0,0,0.0618134147458236,0,0,0,-0.0215477838835026,0.287109304315704,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
X600019.SH,0,0,0.20218618963876,0,0.150905590170952,0,0,0,0,0,0,0,0,0,0,0,0.0351074210206768,0,-0.108843513453538,0,0.0854215726489591,0,0,0,0,0,0,0,0,-0.107032392452718,0,0,0,0,0,0.0313861794152248,0,0.00829685364889286,0,0,0,0,0,0,0,0,0.0950341238793784,0.275237864311859,0.144534630217956,0,0,0.07059783412798,0,0,0,0,0.0627872302467819,0,0
X600188.SH,0.138408239438681,0,0,0,0.275954281682816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394930526280097,0,0,0.116315883033943,0,0,0,-0.148646498022835,0,0,0,0.181904608363721,0,0,-0.252674643602485,0,0,0,-0.0233237836164885,0,0,0.421595579094555,0,-0.0635721237368071,0,0,0,0,0.0243982867887755,0,0
X600011.SH,0.0240912213070471,0,0,0,0,0,0,0,0,0,0,0,0,0.128292951608155,0,0,0,0,0,0.0502034764054619,0.264028450714279,0,0,0,0.286228454755295,0,0,0,0,0,0,-0.152700444693202,0,0,0.116498395354883,-0.0388389907752236,0,6.93889390390723e-18,0,0,0,0,0.1087721890728,0.0155847661586963,0,0,-0.05816017919685,0,0,-0.0109512802429775,0,0.0278085330337845,0.0128256133281037,0,0,0,-0.0415912852993082,0,0
X600886.SH,0,0,0,0,0.0636030322479339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275193934557516,-0.0561235060106009,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775549355872995,-0.130431732259697,0,0,0,0,0,0,0,0,0,0,0,0,0.160892846406132,-0.169892522730946,0,0,0,0,0,0.0642257048606486,0,0
X601600.SH,0,0.000902738333000934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12162079000852,0,0,0,0,0,0,0.325603004948641,0,0,0,0,0.19913597658626,0,0,0.242951401488658,0.0448002358360935,0,0,-1.38777878078145e-17,0,0.0622206436206473,0.0362910982600242,0,0,0,0,0.102726815067323,0.0397845523222742,0,0,0.0281291788052136,0,0,0,-6.93889390390723e-18,0,0
