,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X601991.SH,X600660.SH,X600547.SH,X600188.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X600111.SH,X601992.SH,X002466.SZ,X600516.SH,X000709.SZ,X600176.SH,X600808.SH,X000629.SZ,X002460.SZ,X600299.SH,X600801.SH,X600339.SH,X000825.SZ,X002110.SZ,X600352.SH,X600426.SH,X600489.SH,X600583.SH,X601158.SH,X300072.SZ,X600219.SH,X000553.SZ,X000932.SZ,X000786.SZ,X601699.SH,X000883.SZ,X000301.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.14429945544159,0,0,0,0.105508372160949,-0.0461004208258817,0.017036280229778,0,0,0.265149282081423,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0526959880156327,0,-0.017771726761566,0,0,0.13186734379775,0,0,0,0,0,0.118204930783557,0,0,0,0,0,0,0,0,0.058115307787457,0,0,0.016924691286108,0.00720855760209514,0,0,0,0,0,0
X600028.SH,0.0769239456289044,0,0,0,0.243277992358442,0,0,0,0,0,0,0,0,0,0,0.0734066452939114,0,0,0,0,0,0,0,0.130031304872861,0.30596093562983,0,0,0,0.0243549677548953,0,0,0.118912676820713,0,0,0,0,0,0,0,0,0,0,0,0.0380785446728396,0,0,0,0,-0.0818085025399981,0.0159580024801816,0.0406925542278169,0.05531723400593,0,0,0,-0.00406716126547156,0
X601088.SH,0,0.0801994674127114,0,0.0457282538325146,0,0,0,0,0.0255179284120048,0,0,0,0,0,0.10608107257818,0,0,0,0,0,0,0.0294358049335742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00364039597625756,0,0.381253759402018,0,0,0.00740172757941038,0,0,-0.00122852095568938,0,0,0,0,0,0
X600585.SH,0,0.0117588294567626,0,0,0.152923171506925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375951873427293,0,0,0,0,0,0,0,0,0,0,0,0.356066325848877,0,0,0,0,0,0,0.119231374072335,0,0,0,0,0,0.195278351524496,0,0,0,0,-0.0223628330280951,-0.00173226148355966,-0.00378390063446379,0,0,0,0,0,0
X600019.SH,0,0.034324493276701,0,0.0365584133355872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555518959552374,0,0,0,0.0233077602629561,0,0,0,0,0,0,0,0.211470934578557,0,0,0,0,0,0,0,0,0,0,0,0.0684963303801817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191148376930719,0,0.121724906103222,0,0,0,0.769287600621899,0,0,0.0532692740551351,0,0,0,0,-0.0677832673224614,0,0,0,0,0,0,0.107344025003437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109512368047023,0.0218776648391723,0,0,0,0,0,0
X600309.SH,0,0,0,0.0816145022554775,0,0,0,-0.318360834068826,0,0,0,0.342059118596131,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.304357838116456,0,0,0,0,0,0.08508882186726,0,0,0.118414975370585,0,0,0.0787572221348843,0,0,0,0,0,0,0.0516640118370843,0,0,0,0,0,0,0.0194999316375078,0.0349524465789846,0,0.300008682603823,0,0,0,0
X600010.SH,0,0,0,-0.0326331303335306,0,-0.0480570025215147,-0.0697180679900959,0,0,0,0,0,0,0,0,0,0,0,0.0485601477658292,0,0.133052113208258,0.210459900730658,0.0844832635435668,0.146309557565949,0,0,0,0,0,0,0,0,0.0159175054313805,0,0,0,0,0,0,0,0,0,0.0309510024742484,0,0,0,0,0,0,0.00131614187619623,-0.0341913641274507,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255478280165213,0.188045789835073,0,0,0,0,0,0,0,0,0.00896557394044862,0,0,0,-0.0283968066722711,0.124068772126609,0.0129456614496569,-0.0327902762321941,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0198618479524304,0.342085652745455,0,0,0,0,-0.00589280145986054,0.00554028377044124,0,0,0,0,0,0
X600688.SH,0.0306241087633849,0.167909336140904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204052832386137,0,0.0362629347631879,0,0,0,0,0.0622719524384516,0,0.0682163742445601,0,0.0768013592460232,0,0.0430765102457214,0,0,0,0,0,0,0,0,0,0.0027977240441818,-0.0142250469194159,0,0,0,0,0,0
