,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X600111.SH,X600010.SH,X600362.SH,X000301.SZ,X000877.SZ,X600426.SH,X000983.SZ,X600027.SH,X002271.SZ,X600803.SH,X600489.SH,X601991.SH,X600160.SH,X600985.SH,X000807.SZ,X000786.SZ,X000408.SZ,X600176.SH,X000630.SZ,X600612.SH,X000933.SZ,X000932.SZ,X300037.SZ,X600348.SH,X600219.SH,X002128.SZ,X600995.SH,X600688.SH,X601168.SH,X600157.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.800937159848848,0,0,0,0,0,0,0,0,0.0392675161057498,0,0,-0.185393844808126,0,0,0.243826330413127,0,0,0,0,0,0,0,0,0,0,-0.232268855839036,0,0,0,0,0,0,0,0,0,0,0.244208165658868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378166167888801,0,0,0,0.0152452914136447,0,0
X600028.SH,0.699948383671391,0,0,0,0,0,0,0,0,0,0,0,-0.0207941874777509,0,0,0,0,-0.0900680831960866,0,-0.0538625596096841,0,0,0,0,0,0,0.085315613424168,0.119969261348162,0,0.136266091104009,0.0259239246725287,0,0,0,0,0,0,0,0,0,0,0,-0.0373671331695336,0,0,0,0,0,0,0,0,-0.000927083449756139,-0.0040505086101318,0.0156342549553376,0,0,0,0,0
X601088.SH,0.123899933315098,0.0534421756309377,0,0,0.113437516386709,1.73472347597681e-18,0.169411093324689,0,0,0,0,0,0,-0.0190648923381859,0,0,0,0,0,-0.0633031932667598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932439008247999,0,0,0.0244438702493134,0,-0.170852670437955,0,0,0,0,0,0,0,0,0,0.000736266377898781,0.00610673511018506,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559673341671697,0,0,0,0,0,0,0.234249760651311,0,0,0.067128242927902,0.222232395459731,0,0,0,0,0,0,0,0.0898554875215741,0,0,0,0,0,0,0,0.46093764683103,0,0,-0.01655417069765,0.0521172922951664,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.296771241853695,0,0,0.13775818302506,0,0,0,0,0,0,0,0.219502151549623,0,0,0,0,0,0,0,0.0728131528425655,0,0,0,0,0,0.0300339958755598,0.123371663832376,0,0,0,0,0,0,0.187978818843301,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.0119090739404953,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0614588475944468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863026250141672,0.689505038483797,0,0,0,0.11666302700227,0.430280243948398,0,0,0,0,0,0,0.0543835938826147,0,0,0,0,0.0342152605098046,0,0,0,0.0342553493562612,0,0
X601898.SH,0.077596076660664,0,0.20018169543443,0,0.27374377510935,0.00213411224509828,0,0,0,0,0,0,0,0,0,0.0756992146106726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263023212459652,0,0.0313940073603238,0,0,0,0,0.0277710577129267,0,0,0,0,0.0320059560674916,0,0,0,0,0,0,0.00760078479959487,-0.0207417185538467,0,0,0,0.0364423387855444,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.206584307244632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292134729282972,0,0.0961163420097455,0,0,0,-0.0189288173084807,0,0,0,0.0779225874367719,0,-0.0420870615787602,-0.138024730764092,-0.00336360470372513,0.00129073315882652,0,0,0,0.073129568242012,0,0,0,0,0,-0.00468474199401495,-0.00709466028842337,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0135269176152301,0,0,0,0,0,-0.0701649623315918,0,0,0,0,0,0,0,0,0,0,0,0.306700305774141,0.121240553063148,0.0280259181173074,0,0.226854111251001,0,-0.0282789079147536,0,0,0,0,0.0506202708703136,0,0.0575225109697168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136774651962019,0.00793297179984799,-0.124601770402817,0,0,0,0,0
X600547.SH,0,0.0309173490757512,0,0,0.192933352321511,0,0,0,0,0,0,0,0,0,0,-0.00345238475897187,0,-0.0973147441113519,0,0,0,0.0107822439824685,0,0,-0.120922518063112,0.0179653160323055,0,0.0117647013406159,0,0.552242325822989,0,0.017054417924822,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.00391422592745566,-0.047739264798129,0.00871447209832016,0,0,0,0,0,0,0
