,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601991.SH,X601898.SH,X600010.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X000792.SZ,X600583.SH,X601158.SH,X000898.SZ,X600547.SH,X600352.SH,X000709.SZ,X000831.SZ,X600489.SH,X000883.SZ,X002353.SZ,X000539.SZ,X000027.SZ,X600008.SH,X000825.SZ,X000629.SZ,X600549.SH,X000630.SZ,X600808.SH,X600660.SH,X600315.SH,X002470.SZ,X600021.SH,X600578.SH,X000983.SZ,X600307.SH,X601699.SH,X600863.SH,X600098.SH,X000960.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.519250595132257,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.162833077886325,0.150647369379885,0,0,0,0,0.0323764896016798,0,0,0,0,0,0,0,0,0.0358359749329088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345143054068214,0,0,0,0,0,0,0,0,0,-0.00859041410306551,0,0,0,0,0,0,0
X600028.SH,0.479177691998787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432444873778527,0,0,0,0,0,-0.110685788181332,0.022615847796134,0,0.0203850116844011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308915709574458,-0.0152584743538017,0,0,0,0,0,0
X601088.SH,0,0.0749961588426891,0,0,0,0.0150300631574402,0,0.110357200988012,0,0,0,0.0985358688442568,0.132684458083654,0,0,0,0.0377270988863252,0,0,0,0,-0.00574792994851019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566396106214519,0.0276432180036213,0,0,0,0,0.336135410836383,0,0.0248489999391836,0,0,0,0,0,0,0.00319301430166279,0,0,0,0,0,0
X600011.SH,0,0.0540857585024355,0,0,0,0.034962249603621,0,0,0,0,0,0.108533000686299,0.0332037908899516,0,0,0.133531074245118,-3.46944695195361e-18,0,0.155329190781671,0,0.10460872649762,0,0,0,0,0.1671987912606,0,0,-0.151724501357776,0,0,0.0797438832165745,0,0,0,0,0,0,0,0,0,0,0,0.0427087120890483,3.46944695195361e-18,0,0,0,0,0,0,0,0.0112868357401874,0,0,0,0,0,0
X600585.SH,0,0.0894676135062461,0.133294092024314,0,0,0,0,0,0.035961637464279,0,0,0,0.0074411748635769,0,0,0,0,0,0,0,0.057154741499797,0,0,0,0,0,0,0,0,0,0,0.0345122713617151,0,0,0,0,0,0,0.0979820547017473,0,0,0,0,0,0,0.117997491552572,0,0.206932968160122,0,0,0,0,-0.00226849967249719,0,0,0,0,0,0
X600019.SH,0.0134294808087575,0,0,0,0,0,0,0,0.194911879981853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315980995874877,0,-0.0335522853541376,0.268999439866848,0,0,0,0,0,0,-0.00839137532706211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06838929885591,-0.0167932364632574,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0775133510198079,0,0,0.322031260950142,0.0906707102006609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106619454621264,0,0,0,0,0,0,0,0,0,0,0.0866976460142578,0,0,0,0,0,0,0,0,0,-0.026648140722193,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.148511188850229,0,0,0,0.064604696430012,0,0.0208162351537504,0,0.0035849583950651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161372010548616,0,0,0,0,0,0,0,0.0128457484022794,0.320102737625132,0,0.172826583313806,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-0.107758137708191,0,0.141143854734643,0,0,0,0,0,0.0567158042150825,0,0,0.561092759861439,0,0.06123602624713,0,0,0,-0.226239687786483,0,0,0,0,0,0.0752054778965341,0.0531506569537409,0,0,0,0,0,0,-0.00225850649971542,0,0.0297624937948924,0,0,0.0111888575966021,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0.0713498354980606,0,0.1743352149211,0,0,0,0,0,0,0.0667968374107234,0.294847407576183,0,0,0,0.0627230687607859,0.0129587866437879,0,0,0,0,0,0,0,0,0.107106016083275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113389902341256,0,0,0,0,0,0
