,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600352.SH,X000708.SZ,X600795.SH,X600688.SH,X000723.SZ,X600801.SH,X600111.SH,X600027.SH,X601992.SH,X600516.SH,X600489.SH,X002271.SZ,X000786.SZ,X000898.SZ,X600176.SH,X002460.SZ,X600299.SH,X002466.SZ,X000709.SZ,X601158.SH,X600426.SH,X600612.SH,X000883.SZ,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X000027.SZ,X000630.SZ,X000553.SZ,X601699.SH,X000825.SZ,X600315.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0168965874440235,0,0,0,0,0,0,0,0,0,0.036579978075249,0,0,0,0.0487141492313977,0,0,0,0,0.042343209462101,0,0,0,0,0,0.0194457366669199,0.074605820874394,0,0,0,0.0753241492741682,0,0,0,0,0.0613019488256292,0.0143601001605252,0,0,0,0,0,0,0,0,-0.00671528607228244,0.00604591012065921,0,0,0,0,0,0
X600028.SH,0,0,0.0242547513255422,0,0.0947621642326062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808067845487077,0,-0.0180053834493928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590041536539522,0,0,0,0,0,0,-0.0151094397370393,0,0,-0.0116958868280028,0.0019450557632577,0,0.185995346800764,0,0.0187875166660957,0,0
X601088.SH,0,0,0,0.331520266123963,0,0,0,0,0,0,0,0,0,0.102745680321518,0,0,1.73472347597681e-18,0.0726051432833808,0,0,0,0,-0.00667773759800605,0,0,0.0386297773534919,-0.0222463450828355,0.079858295061884,0,0,0,0,0.0204908968763179,0,0,0,0.0335044267198623,0,0.0109250083343501,0,0,-0.00803934264274255,0,0,0,0,0,0,0,0,0,-0.0330486690687633,0.0497189807459715,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0382491705282553,0,0,0.0170949483400978,0,0,0,0,0,0,0.175687111378911,0,0,0,-0.0277267420713882,0.409329273763552,0,-0.153891312308371,0,0,0,0.137618886279398,0,0,0,0,0,0,0,0,0.0162831676052006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00504879645857487,0,0,0,0,0.0338150527548508,0,0
X600309.SH,0,0,0,0,0,0,-0.0594558055215356,0,0,0,0,0,0,0.0778257294753288,0,0,0,0,0,0,0.0718520983731181,0,0,0,0,0.234215161749636,0,0,0,0,0,0.0756178980035151,0,0.00747202707090943,0,0,0.0281560213807894,0,0.148521904635333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0825002682322934,0.0528266925184455,0,0,0,0.110074197073724,0,0,0,0.129591608367849,0,0,0,0,0,0,0,0,0,0,0,0,0.0425960772360344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575168729522685,0,0,0,0,0,-0.0147253276579987,0.0262115202706807,0,0,0,0,0,0
X600547.SH,0,0,0,-0.0937311437296834,0,0,0,0,0,0,0,0,-0.3022773409163,0,0,0,0,0,0,0,-0.00241951058079127,-0.118760253916099,0.0357017047180866,0.134215788994658,0,0,0.610629794631887,0,0,0,0.0476748639757615,0,0,-0.0580668851959724,0,0,0,0.160919211169096,0,0,0,0,0,0,0,0,0,0,-0.318379822918534,0,0,-0.0395618301506137,-0.0163187010432718,0,0,0,0.0939102616224497,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,-0.00594663035628632,0,0,0,-0.0255689280654542,0.112884566816838,0,0.437216304381388,0,0,0,0,0,0,0,0,0,0.0626885089372868,0,0.0147713637975842,0,-0.118819114440775,0,0.101173916006237,0,0.182423860629794,0,0,0,0,0,0,0,-0.109043696245401,0,0.0234209008603699,-0.0448798146377628,0,0,0,-0.0140451539209764,0,0
X600010.SH,0,0,0,0,0,0,-0.00745561089414526,0,0,0.0215270821802707,0,0,0,0,0,0,0,0,0,0.0147810259240176,0.114281234157907,-0.0201385320427438,0.0802702011199016,0,0,0.0623484051932075,0,0,0,0.109772351987854,0,0.015605245501241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560992376123703,0,0.110545269063964,0,0.123002782510831,0,0.00715880183330086,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,-0.0268157336137167,0,0,0,0,0,0,0.0975412048785236,0,0,0,0,0,0,0.0726969771903536,0,0,0,0,0.000265736603037761,0,0,0,0,0.0518564067566766,0.0142668937551704,0.0326904046227152,0,0,0,0,0,0,0,0,0,0,0.0928519462828675,0,0,0,0.288866011699346,0,0.077869826876121,0,0.0133558540333214,0,0,0,0,0.0213908878984958,0,0
