,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X601898.SH,X002466.SZ,X601600.SH,X600688.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600516.SH,X002460.SZ,X300072.SZ,X600886.SH,X600547.SH,X600111.SH,X600176.SH,X000898.SZ,X601992.SH,X600352.SH,X000786.SZ,X000553.SZ,X600027.SH,X000792.SZ,X600299.SH,X000709.SZ,X002271.SZ,X600426.SH,X000825.SZ,X000408.SZ,X601699.SH,X000830.SZ,X601158.SH,X600339.SH,X600489.SH,X600808.SH,X600219.SH,X600157.SH,X600583.SH,X000883.SZ,X002470.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.113498615391705,0.0155109998854922,0,0,0.0129167153358103,0,0,0,0,0.0203534271512066,0,0,0,0,0,0.0319168385488765,0,0,0,0.0507424159846555,0,0.0652058465056966,0,0,0.0930103950485168,0,0,0,0,0,0,0.0495919123185188,0,0,0,0.1058070523372,0.0272366867379727,0,0,0,0,0,0,0.0632128422367779,0,0,0,0,0.00285576421788004,-0.005895020892459,0,0,0,0,0,0
X600028.SH,0.342451106838981,0,0.285509136840792,0,0,0,0,0,0,0,0,0.22288635325301,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0115739620899238,0,0,0.072461874027909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247001052047919,0.00786362447817518,0,-0.0903114033165077,0,0,0,0
X601088.SH,0,0.0135127797287783,0,0.389178548413509,0.0514335338937806,0,0,0,0,-0.0405689388839903,0,0.0714171109683243,0,0,0,0,0,0,0,0,0,-0.0465664175800488,0,0,0,0,0,0,0,0,-0.0858488565841224,0,0.00892220022997843,0,0,0,0.264357623413786,0.0452779519660655,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218504570897104,0,0,0,0,0,0
X600019.SH,0,0,0.323568165107612,0,0,0,0,0.282693450726286,0,0,0,0,0,-0.00593019439325777,0,0,-0.0103585529203078,0.0508635087896987,0,0,0,0,0,0,0,-0.143678479006839,0,0,0,-0.00207067584333555,-0.15672942359676,0,0,0,0.110377531971235,0.0581359720025991,0,-0.135687075860083,0,0,0,0.180113440362514,0,0,0,0,-0.0610714525031961,0,0,0.0179494604270639,0.0172777837058851,0,0,0,0,0,0
X600585.SH,0,0,0.612944341266544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788144828978643,0.0570565300249161,-0.0381718046495545,0,0,0,0,0,0,-0.0385717955561102,0,-0.0742830125602402,0,0,0.012491979345026,0,0.0879248985582377,0,0,0,0,0.157915388528895,0,0,0,0,0,0.0813752037995303,0,0,0,0.0375306107803489,0,0,0.0635054516069057,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.107140007938657,0,0,0,0,0,0,0,0,0,0,0,0,0.00521210356961808,0.0518442405290713,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.279173493259161,-0.0169802537350057,0.150495146733197,0,0.349269993908692,0,0,0,0.112036981880231,0,0,0,0,0,0,0.0263239327824858,0,0,0,0,0,-0.00891903891162306,-0.0268367046537634,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0290867482783547,0,0,0,0,0,0,0,0,0,0,0,0,0.0465056363534105,0.145596944616718,0,0,0,0.157250176621232,0,0,0,0,0,0,0,0,0.049286248406794,0.0944645482920432,0,0,0,0,0,0.0110431640985763,0,0.0256699624083207,0.117119710173739,0,0.0413518681611557,0,0,0,0.0184603409880496,0,0,0,0,0,0
X600188.SH,0,0,0,0.351491096967494,0,0,0,0,0,0.111824696947847,0.0745296104009338,0,0,0,0,0,0,0,0,0,0,0,0.224402358511488,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.177470312209134,0.0720716395321686,0,0.127961810618622,0,0.0438206794171159,0,0,0.191529702705573,0,0,0,0,-0.0517671604435463,0,0,0,0,0,0,0
X601898.SH,0,0.062150915520097,0,0,0,0.0835240712441633,0,0,0,0,-0.0382980910822112,0,0,0,0.204986030325306,0,0,0,0,0,0.00943725520466815,0,0,0,0.0289228240733891,0.0333101519585589,0,0,0,0,0,0,0,0,0.0183269548463456,0,0.202804845906062,0.0171771939492978,0,0,0,0.237737406548313,0,0,0.0471048199578222,0,0.0391160057976227,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.165956091273894,0,0,0,0,0,0,0,0,0,0.424575834512447,0,0,0,0.123374015171911,-0.0781039313979424,0,0,0,-0.0522086630036925,0,0,-0.0319702147610335,0.153990114700627,0,0.0300542483935408,0,-0.0100582996708197,0,-3.46944695195361e-18,0,0,0,-0.0111555121711041,0,0,0,0,0,0.059921299048976,0.0141945346503596,0,0.0246081192421343,0.000134361048720069,0,0,0,0,0,0
