,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600795.SH,X601600.SH,X600188.SH,X601991.SH,X600027.SH,X600362.SH,X600489.SH,X600157.SH,X600111.SH,X600886.SH,X601992.SH,X600623.SH,X600309.SH,X600660.SH,X300072.SZ,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X600583.SH,X000723.SZ,X000709.SZ,X000883.SZ,X600352.SH,X000898.SZ,X000983.SZ,X000408.SZ,X600549.SH,X000539.SZ,X002470.SZ,X600176.SH,X000027.SZ,X002460.SZ,X000630.SZ,X600021.SH,X000060.SZ,X002407.SZ,X600612.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0252402840076406,2.16840434497101e-19,0,0,0.0933515140160335,0,0,0,0.0281052098734893,0,0,0,0,0,0.0208548408568785,0,0,0,0,0,0,0,0,0,0,0,0.0339831418478698,0.069686604602749,0,0,0,0,0,0,-0.0169075219799859,0,0.0255164201155463,0,0,0,0,0,0,-0.00237162161015852,0,0,0,-0.00466215965940076,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0453535824673196,0,0,0,0,0.0172169356724557,0,0,0,-0.0207688729501063,0,0,0,0,0.00869544367669531,0,0,0.053283874889977,0,0,0,0.0176875253759839,0,0,0,0,0,0,0,0.071887614176699,0,0.0388535572686411,0,0,0,0,0,0,0,0,-0.00981083958934698,-0.00435137579458726,0.0563143570301343,0,4.33680868994202e-19,0.00870266963086089,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0854231871053183,0,0,0,0,0.098885876535149,0,0,0,0,0.0199434903169905,0.0248622332495587,0,0,0.0475283629325761,0,0,0,0,0.0287779516009194,0.0565101207789486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134283244212822,0,0,0,0,0,0,0,0,0.038254550728893,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.112504298191374,0,0,0.00862643608946176,0,0,0,0,0.0952993205279591,0,0,0,0,0,0,0.190210856227004,0,0,0.079326122032953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458533481891747,0.112129573708148,0,0,1.73472347597681e-18,-0.0607052074569249,0,0.0496844364911011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.081697482556824,0,0.0970445510442441,0,0,0,0,0,0,0,0,0,0,0.442632698124722,0,0,0.0154128221485275,0,0,0,0,0,0,0,0,0,0.0805914948731645,0,0,0,0,0.00932396463079249,0.0224421218858601,-0.0685961986690756,0,0.0309176291843696,-0.0146662387236357,0,0,0,0,0,0.0574494825609656,0.0671896944832087,0,0,0,-0.0202750524191496,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.126175289178548,0,0,0,0.0246508257140926,0,0,0,0.0966714915318646,0,0.117384889018902,0,0.0385793764705722,0,0,0,0,0.0928612806522767,0,0,0,0,0,0,-0.101517453355159,0,0,0,0,0,0.0935724120359614,0,0.0348412509925297,0,0.0548685179376154,0,0,0.016958678351887,0,0,0,0,0,0,0,0.0348632283276752,0,0,0.00465451737097862,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660161887222866,0,0,0.0634862297005697,0,0,0.109371946465395,0.00893676366884579,0,0,0.0456036340578579,0,0,0,0,0,0,0,0.104877484464621,0.019171280860068,0.00865331234686928,0,0.0484106714104531,0,0,0,0,0,0,0,-0.0139179173094134,0,0,0.00900444772159081,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0480009653620813,0,0,0,0,0,0,0,0,0.0465370132767092,0.035889025076592,0,0,0,0,0,0,0,0,0,0,0,0.0640391357355385,0,0.173304486676097,0.0424087965523657,0.106657563627314,0,0,0,0,0.0368364682764859,0,0,0.0682648460378782,0,0,0.0435143899279625,0,-0.0193777975367098,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.127647582454036,0,0,0,0,0,0,0.0143096363269027,0,0,0,-0.0441799444088746,0.2618355091718,0,0,0,0,0,0,0,0,0.0531012945329381,0,0.0365029134350012,0,0.103520010340908,0,0,0,0.0771022603939637,0,0.124125000105627,0,0,0,0,0,0,0.12581051502477,0,0,0,0,0,0,0,0,0.0450699402938156,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417931631475218,0,-0.00677400963663656,0,0,0.301272442136137,0,0,0,0,0.0569123641448503,0,-0.0445871069229862,0,0,0,0,0,0,0,0,0,0.0582796998181795,0,0,-0.0594434660649516,0,-3.46944695195361e-18,0,0,0,0,0.123578523355459,0,0,-1.0842021724855e-19,0,0,0,0,0.00610586979883387,0,0
