,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600547.SH,X000723.SZ,X600352.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002466.SZ,X000709.SZ,X002460.SZ,X000786.SZ,X600299.SH,X002271.SZ,X000629.SZ,X002110.SZ,X600219.SH,X600489.SH,X601158.SH,X600808.SH,X000990.SZ,X000883.SZ,X000553.SZ,X600985.SH,X000630.SZ,X000027.SZ,X000825.SZ,X600157.SH,X600583.SH,X600339.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0536692905550975,0,0,0,0,0,0.0312556795439547,0,0,0,-0.0105035091371945,0,0,0,0,0,0,0.0229406679104737,0,0,0.0677894529671298,0,0,0.0363638586940204,0,0.0178133945227898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930041770308367,0,0,0,0,0,0.0642808063162635,0,0,-0.00623474671943536,-0.0107410914891545,0,0,0,-0.00377462545237014,0,0
X600028.SH,0,0,0.100308170691213,0,0,0,0,0,0.0986702611035036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621764352975373,0,0,0,0,0,0,0,0,0,0.058669221720651,0,0,0,0,0,0,0.0252162818891579,0,0,0,0.0349968965449075,0,0,0.0235013767398342,0,0.0584582409288099,0,0,0,-0.0166593117478896,0,0,0,-0.000411888394205516,0,0
X601088.SH,0,0,0,0.218462879393651,0,0,0,0,0,0,0,-0.0274511618378658,-0.182819011984778,0,0,0,0.133402805333531,0,0,0,0.0110253790423065,0,0.154327786427679,0,0,0.107901126011571,0,0,0,0,0,0,0.0520877670678041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330812868769777,0,0,0,0,0.000760479183564773,-0.0243820039078395,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.119945620143003,0,0,0,0,0,0,-0.00280178457817754,0,0,0,0,0,0,0,0,0,0.498087996861314,0,0,0,0,0,0,0,0,-0.000706022392260347,0,0,0,0,0,0,0,-0.013250057088821,0,0,0,0,0,0,-0.00733438127611937,0,0,0,0,-0.0155346376820413,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.0319356509641001,0,-1.73472347597681e-18,0,0,0,0,0,0.0254926047692519,0,0,0,0,0.0738415483963083,0,0,0.112424546159132,0,0,0.113090208461464,0,0,6.93889390390723e-18,0,0,0,0,0.09800518202394,0.0296110247855379,0,0,0,0,0,0,0,0,0,0,0.0689812840950855,0.0427784421867239,0,0.0315382366986954,0.0486909014311342,0,0,0,0,0,-0.00229685319140939,0,0.0277283160500176,0,0,0,0
X600309.SH,0,0,0,0.0312684219719247,0,0,-0.0320357901305287,0,0,0,0,-3.46944695195361e-18,0.0223174271873536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104468914897225,0,0,0.246299750291684,0,0,0,0.307871981252091,0,0,0,-3.46944695195361e-18,0.114180577708128,0,0,0,0,0,0,-0.0185078478349781,0,0,0,0,-0.0226610233033593,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0801433456583352,0,-0.0158664642082909,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.377661206042076,0,0,0.406401871884002,0,0,0,0,0,0,0,0,0.0431153735386896,0,0,0,0,0,0,0,0,-0.0530985073889342,0,0,0,0,0,0,0,0,0.0262182934773465,0,0,0.0349970405443279,0.00733405071144814,0,0,0,0.0715687092804411,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703613761973308,0,0,0,0,0,0.0361844755168108,0,0,0,0.111934064393927,0,0,0,0.0564240997225619,0,0.266512615618993,0,0,0,0,0,0,0,0,0.0906791418550001,0,0.168557182784467,0,0,0,0,0,-0.0402613929609128,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.108012510294856,0,0,0,0.00522961635251378,0,0,0,0,0.116091586997432,0,0,0.186640360841825,0,0,0,0,0,0.124914409678155,0,0,0,0.0296764602850478,0,0,0,0,0,0.204481795071138,0,0,0,0,0,0.112336351680725,0.0328580233904283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.13902458830457,0,0,0.023352591884498,0,0,0,0,0.0891034512509128,0,0,0.136885490655881,0,0,0.0318991871693637,0,0,0,0,0,0,0.0265803708177493,0,0,0,0,0,0,0,0,0,0,0,0,0.0421581154683006,0,0,0,0.0634740019663859,0,0,0,0,0,0,0,0,0,-0.0240210971915378,0,0
