,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X002466.SZ,X002460.SZ,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X000301.SZ,X600489.SH,X601699.SH,X000983.SZ,X600160.SH,X000877.SZ,X600803.SH,X601991.SH,X600426.SH,X000630.SZ,X000408.SZ,X000786.SZ,X000807.SZ,X000933.SZ,X600985.SH,X601168.SH,X600176.SH,X600612.SH,X600219.SH,X002128.SZ,X002271.SZ,X000932.SZ,X000883.SZ,X600096.SH,X600348.SH,X000027.SZ,X000831.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.275485589246554,0,0,0.149827971234808,0,0.0729476696559273,0,0.0117719587465273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211564023747979,0,0,0,0,0,0,0,0.00891141317142627,0,0,0,0.0513143752530509,0,0,0,0,0,0,0,0,0,0,0,-0.00855559523688902,0,0,0.0228280459068725,0,0.0594646413853856,0,0,0,0,0
X601088.SH,0.0131662300443523,0,0,0,0.194503912286728,0,0.218013879180132,0,0,0,0,0,0,0,0,0,0,-0.0171885941068932,0,0,0,0,0,0,0,0.0700841061132745,0,0,0,0,0,0,0,0,0,0,0.109437609835189,0.0247890053846861,-0.0438853606851384,0,0,0,0,0,0,0,0,0,0,0.0817687114888955,0,0,-0.023440700407687,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.12460756138461,0,0,0.100426886772662,0,0,0,0,0,0.0279970735534213,0,-0.0603107678982426,-0.0673092827106355,0,0,0,0,0,0.0773526698802948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124986833163805,0,0,0,0,-0.0974135125025429,0.0377227013864896,0,0,0,0,0,0,0,0.0165250614509277,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142794261976189,-0.0238804082009191,0,0.0691997679153719,0,0,0,0.074228882647662,0,0,0,0.158548673434318,0,0,0,0.302735974627509,0,0,0.102764395357502,0.0670405421396023,0,0,0,0,-0.185915206077441,0,0,0,0,0,0,0,0,0.0583692553356551,0.0468758141731122,0,0,-0.0422970485882549,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.170074481357776,0,0,0,0,0,0,0,0,0,0,0,-0.0452586077435708,0,0,0,0,0,0.105912674114818,0.326407803716131,0.18688965681357,0,0,0,0,0,0.0270105466309574,0,0,0,0,0,0,0,0,0,0.0835676016564855,0,0,0,0,0.052496397130471,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0338233846694701,0,0.53462113325171,0,-0.128009158615555,0,0.46700617194022,0,0,0,0,0,0,-0.16501613062922,0,0,0,0,0,0,0.221206940890895,0,0,0,0,0,0,0,0,0,0,0,0.255736669584122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166437739040526,0,0.0670708475862718,0,0,0,0,0
X600011.SH,0.0329973686975402,0,0,0,0,0.154624261464533,0,0,0,0,0,0,0,0,0.183462957420884,0,0,0,0,0,0,0.261951842941545,0,0,0,0,0,-0.03046357693312,0,0.14409046508889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339496874330703,-0.0613571288050425,0.0308555388957077,0,0,0,0,0
X600019.SH,0,0,0,0,0.118295079080962,0,0,0,0,0,0,0,0,0,0.0430437792408455,0,0,0,-0.011936088819438,0,0,0,0,0.0447374727073603,0,0,0.00476812990161725,0,0,0,0,0,0,0,0,0,0,0.0967475141573664,0,-0.0383834828320937,0,0,0,0.118426998906021,0,0,0,0,0,-0.057834715028189,0,0,0,-0.00150752788150868,0,0,0,0,0
X600547.SH,0,0,0,0,-0.291782851880207,-0.0392423654191254,0,0,0,0,0,0,0,0,0,0,-0.0102201878314511,-0.0512863600233854,0,0,0,0,-0.00174658050722653,0.863791324265741,0,0,0,0,0,0,0,0,0,0,0,0.135037733650162,0,0,0,0,0,0,-0.0382150285164234,0,0,0,0,0,0,0,0,0,0,-0.0647985742191024,0,0,0,0,0
X601600.SH,0.335927664273285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976121901923982,0,-1.38777878078145e-17,0,0,0.0912680944771393,0,0,0,0.0142771285726874,0,0,0,0.162553189033242,0,0,0.132133095852206,0.0201193172267728,0.195526509541502,0,0,0,0,0,0,0,0,0,0,0,0,0.00642285156908834,0.0416420743009344,0,0,0,0,0
