,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600801.SH,X600886.SH,X601898.SH,X600660.SH,X600010.SH,X601600.SH,X600362.SH,X600489.SH,X600188.SH,X600352.SH,X000786.SZ,X601991.SH,X600688.SH,X600111.SH,X600027.SH,X600795.SH,X601992.SH,X600126.SH,X002466.SZ,X600176.SH,X600299.SH,X002075.SZ,X600426.SH,X600529.SH,X600486.SH,X600315.SH,X000723.SZ,X600516.SH,X601158.SH,X002353.SZ,X600612.SH,X600219.SH,X000401.SZ,X000932.SZ,X000898.SZ,X000883.SZ,X000553.SZ,X002409.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0103329685786771,0,0,0.0221861999872246,0,0,0,0.14550275387109,0,0,0,0,0.0731182410711206,0,0,0,0,0,6.7762635780344e-21,0.121706496002282,0,0.00113312626648763,0,0,0,0,0,0,0,0,0,0,0.0290007999813539,0,0,0,0.0172262032373153,0.0218412234238016,0,0.0338494266756733,0.00363018678513958,-0.00439915166035551,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-0.0113238999396191,0.0164207287780075,0,0,0,0,0,0,0,0,0,0.0273860659333315,0,0,0,0,0,0,0,0,0,0,0,0.137840023170757,0.126161398190196,-0.0230986205096292,0,0,0,0,0,0.0874303842258186,0,0,0,0,0,0,0,0,0.00508855907115341,0,0,0,0.00840587196354233,-0.00860950781224061,0,0,0,0,0,0
X601088.SH,0,0,0,0.213975388035919,0,0,0,0,0.182443659952868,0,-0.169790906057645,0,0.258837863753128,0,0,0,0,0,0,0.669465764350405,0,0,0,0,-0.0493486012008394,0,0,0,-0.00107073158756639,0.00375913949806518,0,0,-0.0852416911379449,0,0,0,0,0,-0.0102014706515475,0,0,0,0,0,0,0,0,0,-0.0547402704194991,0,0,0.0105356835599938,-0.00402278882349149,0,0,0,0,0,0
X600585.SH,0,0,6.93889390390723e-18,0,0.212105919491834,0,0,0,0,0.00985812711882783,0,0.483726762885739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100045642213245,0,0,0,-0.0586525625034681,0,0.0680272326994809,0,-0.0364243292345845,0,0,0,0,0,0,0.0239861591833442,0,0,0,0,0,0,-0.0442862157306444,-0.00587559416110168,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.018530493374199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241204046899384,0.115220260589949,0,0,0.23178516192653,0.0107162531613166,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154611544885557,0.0113559734758745,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569024327944187,0,0,0.0526328100069844,0,0,0,0,0,0,0,0.190660901551634,0,0,8.67361737988404e-19,-0.102999640449775,-0.0825716967985671,0,0,-0.00587470961735104,-0.00929649156848007,0,-8.67361737988404e-19,0.142717451865219,0,0,0,0,0,0.0236453111828777,-0.0818147652101404,0,0,0.0022942086904293,0.0295603854479226,0,0,0,0,0,0
X600019.SH,0,0,0.052020566666015,0,0.151977577603419,0,0,0,0,0,0,0,0,0,0,0,0,0.118012201790238,0,0,0,0.0984522005914493,0,0.0734943431956166,0,0,0,0,0,0,0.0170215447810249,0,-0.00763368761902693,0.046273542434074,0.013759675653233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051797754287989,-0.0117398940333692,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.056731110480657,0,0,0,0,0.163530020441083,0.0283282556789572,0,0,0,0,0,0,0,0,0,0.211967559987087,0,0.0538652605214303,0,-0.122609492129169,0,0,0.0536664017755811,0,0,0,0.0370558293982986,0,0,0,0,0,0,0,0.167187674557737,0,0,0,0,0,0,0,0,0,-0.0724142292540637,-0.00391367122180514,-0.0345830095157774,0,0,0,0,0,0
X600011.SH,0,0,0.297911913200256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0413931593530278,0,0,0,0,0,0,0.260752516334916,0,0,-0.0470566820512407,-0.110468130116566,0,0.147241755124314,0,0.109166099338724,0,0.0891231610466192,0.0712963617164548,0,0,0,0,0.0775485248064349,0,0.067666297653545,0,0,0,0.0470979437512631,0,0,0,0,-0.0139412739800068,0,0,0,-0.0369242328303419,0,0
X002460.SZ,0,0,0,0,0.0415176924610351,0.0809281913553252,0,0,0,0,0,0,0,0,0.317852667877823,0,0,0,0,0,0,0.112300464484227,0,-0.020283276089075,0,0,0,0,0,0.105801395570331,0,3.46944695195361e-18,0.0281070085388832,0,0.163022927291658,0,0,0,0.0384584453645026,0,0.0939254459039285,0.191501751166924,0,0,0,0,0,0,0.180589635710642,0,0,-0.0153074040427855,-0.0204015605392133,0,0,0,0,0,0
