,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600660.SH,X600010.SH,X601600.SH,X600886.SH,X600362.SH,X002460.SZ,X600188.SH,X600801.SH,X002466.SZ,X600352.SH,X600795.SH,X601991.SH,X000786.SZ,X600688.SH,X002271.SZ,X600111.SH,X002353.SZ,X600176.SH,X601992.SH,X600027.SH,X600583.SH,X000723.SZ,X600426.SH,X600516.SH,X600299.SH,X000898.SZ,X600489.SH,X600612.SH,X600219.SH,X601158.SH,X000709.SZ,X000883.SZ,X000792.SZ,X000553.SZ,X000027.SZ,X000630.SZ,X000629.SZ,X000825.SZ,X002080.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0041976257946674,0.0926700119810575,0,0,0,0,0,0,0,0,0.0272869687628578,0,0,0,0,0.220400228932873,0,0,0,0.0144427936973708,0,0,0,0.00773605612777304,0,0.0177422369803091,0,0,0.189441429938845,0,0,0,0,0,0,0,0,0,0,0,0.0140986562410423,0,0,-0.001799461677369,0,0,0,0,-0.00828773033446258,0,0
X600028.SH,0.132239654933876,0,0,0,0,0,0,0,0,0,0.127398845767839,0,0,0,0,0,0,0,0.0221926183530793,0,0,0,0,0.245038932611508,0,0,0.0549137310601342,0,0,0,0,0,0,0,0,0,0.0388183377228312,0,-0.0108772752991434,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0072094600973274,0.00287288060840751,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.10772089064795,0,0,0,0,0,0,0.237101327562092,0.0160716256422981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118079746107483,0,0.0026005160253324,0,0,0,0,0,0,0,0,0,0.0512924109307887,0,0,0,0,0,0,0,-0.00801376304733456,0.0108153170855666,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0902105344297768,0,0,0,0,0,0,0,0,0,0,0,0,0.391079624650251,0,0,0,0,0.0522326116847485,0,0.0671001258802623,0,0,0,0,0,0,6.93889390390723e-18,0.0607293870276752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495773887347527,0,0,0.0229891496847909,0,0,0,0,0.0687088741691578,0,0
X600309.SH,0,0,0,0.0873966964868212,0,0,0,0,-0.0402513348445017,0,0,0,0,0,0,0,0,0.24926406536218,-0.0148673751850487,0,0,0,0,0,0.0104869121907472,0,0,0,0,0,0,-0.279639771954563,0,0.159844171242528,0,0,0.133785168631777,0,0,0,0,0,0,0,0,0,0,0,0.0592892051729177,0,0,-0.0131774578565583,-0.0235180618613918,0,0,0,-1.73472347597681e-18,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0255735965905545,0,0,0.0703512718307898,0,0,0.201573095531549,0,0.0634049214796761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999267294825217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141518977590703,0.0201090079308461,0,0,0,0.0292080510501052,0,0
X600547.SH,0,0,0,0,0,-0.0583623355900326,0,0,-0.0483631037102492,0,-0.100697809413325,0,0,0,0,0,-0.0896529413626469,0,-0.044884300006348,-0.166391041332651,0,0,0,0,0,0,0,0,0,0,0,-0.0688962629905077,0,0,0,0,0.883901576947724,8.67361737988404e-19,0,0,0,0,0.0460817808748509,0,-0.152525638327603,0,0,0,0,0,0,-0.0683802780577159,0.0753198827857016,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.179083416591212,0,0,0,0,0,0,0,0,0,-0.0832103392686167,0,0.131325918678166,0,0,0.13550219871025,0,-0.00914686597611408,0,0.135240236705118,0,0.567539254666174,0,0,0,0,0,0,-0.174748909411338,0,0,0,0,0,0,0,0,0,0,0,0.0543079096725144,0,0,0,0,0,0,0,-0.00568981973881167,0,0
X000708.SZ,0,0,0,0.183877519795382,0,0,0,0,0,0,0,0.500141338031996,0,0,0,-0.19821116323439,0,0,0,0.101946422510051,0,0,0.445740659797693,0,0.0278212191760964,0,0,0,0,0,0,0.292852080161533,0,0,0.135666794889711,0,0.0268721713948544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050771761809841,0,0
X601898.SH,0.162759708647938,0,0,0,0,0,3.46944695195361e-18,0,0.0471235193652613,0,0,0,0,0.026133864970827,0,0,0.473538556512713,0,0,0,0,0,0,0,0,0,0.0143938552555439,0.105009427425439,0,0,0,0.102843840818769,-0.116706731944197,0,0.0327110046156127,0,0,0,0,0,0,0,0,0.103849481546828,0,0,0,0,0,0,0,-0.0388570475714473,0.0311829825491723,0,0,0,-0.0511659978120586,0,0
X600660.SH,0,0,0,0,0,0,0.100989398507796,0,0,0,0,0.00343512535194629,0,0,0,0.0237136518014488,0,0,0,0,0,0,0.211169923762145,0,0,0,-0.141257170625202,0,0.0235461839987155,0,0,0.0574827175182528,0,0,-0.031310937019455,0.00979756613673564,0,0,0,0,0,0,0,0,0,0,0.186542957941196,0,-0.0284682737790624,0,0,-0.00716816342731606,0.0133850517248823,0,0,0,0.00372748049230763,0,0
