,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600027.SH,X600157.SH,X600111.SH,X600489.SH,X600886.SH,X601992.SH,X600309.SH,X600623.SH,X600660.SH,X300072.SZ,X600299.SH,X002466.SZ,X000792.SZ,X601158.SH,X002075.SZ,X000709.SZ,X600583.SH,X000723.SZ,X000983.SZ,X000408.SZ,X000898.SZ,X600352.SH,X000883.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X002460.SZ,X601699.SH,X000012.SZ,X000060.SZ,X002407.SZ,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397618173939549,0.0126402269259487,-0.06833608288732,0,0,0.157414695033137,0.00927264706597894,0,0.138448582833442,0,0,0,0,0.00165563189796528,0,0,0,0.0646622497147446,-0.0406530290270961,0,0,0,0.0400171833229407,0,0.0343384073612817,-0.0328357061306097,0,0,0,0,0.0903769687932953,0,0,0,0,0,0.109505798980085,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,-0.0174569251331447,0,0,0,0,-0.132285750009705,0,0,0,0,0,-0.0676072779982622,0,0.154563230632499,0,0,0,0,0,0,0,0,0.152709794421551,0,0.0335143131126897,0,0,0,0.0961434395736906,0,0.246885708328169,0,0,0,0,0.200254508874324,0,0,0,0,0,0.00702080359211313,0.0535383025292324,-0.253035744218815,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0.114008213534957,0,0,0,0,0,0,0,0,-0.106800311650682,0,0,0,0,0,0,0,0,0,0,0.0488333483382969,0,0.021261005215258,0,0,0.197529800973343,0,0,0,0,0,0,0,0,0,0,0,0.126506097189949,0.0367273027360557,0,0,0,0,0.0763169943440162,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0.0986671426698225,0,0,0,0,0,0,0.166752837298209,0.0431347005678383,0,0,0,0.197664797315626,0,-0.163028220481569,0,0,0.230194180166238,0,0,0,0,0,0,0,-0.0769978836264361,0,0,0,0,0,0,0,0,0.682614578052847,0.0019554033763464,-0.182742691532622,0,0,0,0,0,-0.238219162660325,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318372465544918,0,0,0,0.113362401262521,0.0349070839883566,0,0,0,0,0.140112423853847,0,0,0,0,0,0,0,0,0,0,0.170374990374674,0,0,0.213363870509501,0,0.14281021002105,0.155124004582971,0.0704019676187719,0,0,0.0608297141968545,-0.00594210188505672,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072779948700244,0.0305425351045139,0.0714385787523411,0.0488522580106322,0,0,0.0962705270475528,0,0,0,0,0,0,0,0,0,0,0,0,0.105350766153822,0,0,0,0,0,0.156706569329145,0,0,0.0683275864462859,0,0,0,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0.324686987991961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346632147078101,0,0,0.394043835659304,0,0,0,0,0.418074527112662,0.0278818878484388,0,0,0,0,0,0,0,0,-0.0353986149868492,0,0,0,0.163862601071049,0,0,0.00297443619022757,0,0.0306241895206887,0,-0.431407993577872,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0.106400610744328,0,0,0,0,0.00627751584757395,0,0,0.0493910229054919,0,0,0,0,0.0596975975269931,0,0.0839949545619422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669506192594205,0.0548037092811855,0.0691623108440111,0.178992507152407,0,0,0,0,0,0,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.224403635029625,0,0,0,0,0,0,0,0,0,0,0,0,0.079605878245733,0,0,0,0,0,0,0,0.027675074125444,0,0,0,0,0.092948472961388,0,0,0,0,0,0.106099238382974,0,0,0,0,0,0,0,0,0.0521395306384158,0,0.03986491602361,0.00492829673883028,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,-0.0010637409964186,0.00712470123115664,0,0,0,0,0,0,0.159457576079036,0.0904778285503988,0,0,0,-0.00731554030897838,0,0,0,0,0.0858877962722833,-0.0830057543074603,-0.0227588030608907,0,0,0,0,0,0,0,0,0.0283457153167191,0,0,0,-0.0545623699588162,0,0,0,0,0,0,0,0,-0.0349556616266787,-0.0635673655416873,0,0,0,0,0,0
